run_id,variant,seed,accuracy,f1,data_mode,forbidden_inputs_absent,bounded_feature_audit_pass,anti_collapse_pass,delta_task,feature_order
future_relational_witness_dual_content-dualcontent-s42,V_future_relational_witness_dual_content,42,1.0,1.0,synthetic_dual_sector_content_agreement_binary+readout_relational_witness_dual_content+head_logreg,True,True,,,cross_sign_small|cross_sign_large|cross_mag_pos|cross_mag_neg|cross_sign_sum|cross_mag_sum|content_agreement|content_disagreement|coupled_xnor
future_relational_witness_dual_content-dualcontent-s123,V_future_relational_witness_dual_content,123,1.0,1.0,synthetic_dual_sector_content_agreement_binary+readout_relational_witness_dual_content+head_logreg,True,True,,,cross_sign_small|cross_sign_large|cross_mag_pos|cross_mag_neg|cross_sign_sum|cross_mag_sum|content_agreement|content_disagreement|coupled_xnor
future_relational_witness_dual_content-dualcontent-s777,V_future_relational_witness_dual_content,777,1.0,1.0,synthetic_dual_sector_content_agreement_binary+readout_relational_witness_dual_content+head_logreg,True,True,,,cross_sign_small|cross_sign_large|cross_mag_pos|cross_mag_neg|cross_sign_sum|cross_mag_sum|content_agreement|content_disagreement|coupled_xnor
control_symbolic_dual_sector_interaction-dualcontent-s42,V_control_symbolic_dual_sector_interaction,42,0.5,0.666667,synthetic_dual_sector_content_agreement_binary+readout_symbolic_dual_sector_interaction+head_logreg,True,,,,pair_P_small__P_small|pair_P_small__P_large|pair_P_small__N_small|pair_P_small__N_large|pair_P_large__P_small|pair_P_large__P_large|pair_P_large__N_small|pair_P_large__N_large|pair_N_small__P_small|pair_N_small__P_large|pair_N_small__N_small|pair_N_small__N_large|pair_N_large__P_small|pair_N_large__P_large|pair_N_large__N_small|pair_N_large__N_large
control_symbolic_dual_sector_interaction-dualcontent-s123,V_control_symbolic_dual_sector_interaction,123,0.5,0.666667,synthetic_dual_sector_content_agreement_binary+readout_symbolic_dual_sector_interaction+head_logreg,True,,,,pair_P_small__P_small|pair_P_small__P_large|pair_P_small__N_small|pair_P_small__N_large|pair_P_large__P_small|pair_P_large__P_large|pair_P_large__N_small|pair_P_large__N_large|pair_N_small__P_small|pair_N_small__P_large|pair_N_small__N_small|pair_N_small__N_large|pair_N_large__P_small|pair_N_large__P_large|pair_N_large__N_small|pair_N_large__N_large
control_symbolic_dual_sector_interaction-dualcontent-s777,V_control_symbolic_dual_sector_interaction,777,0.5,0.666667,synthetic_dual_sector_content_agreement_binary+readout_symbolic_dual_sector_interaction+head_logreg,True,,,,pair_P_small__P_small|pair_P_small__P_large|pair_P_small__N_small|pair_P_small__N_large|pair_P_large__P_small|pair_P_large__P_large|pair_P_large__N_small|pair_P_large__N_large|pair_N_small__P_small|pair_N_small__P_large|pair_N_small__N_small|pair_N_small__N_large|pair_N_large__P_small|pair_N_large__P_large|pair_N_large__N_small|pair_N_large__N_large
control_symbolic_dual_content_interaction-dualcontent-s42,V_control_symbolic_dual_content_interaction,42,0.5,0.666667,synthetic_dual_sector_content_agreement_binary+readout_symbolic_dual_content_interaction+head_logreg,True,,,,content_aligned__aligned|content_aligned__crossed|content_crossed__aligned|content_crossed__crossed
control_symbolic_dual_content_interaction-dualcontent-s123,V_control_symbolic_dual_content_interaction,123,0.5,0.666667,synthetic_dual_sector_content_agreement_binary+readout_symbolic_dual_content_interaction+head_logreg,True,,,,content_aligned__aligned|content_aligned__crossed|content_crossed__aligned|content_crossed__crossed
control_symbolic_dual_content_interaction-dualcontent-s777,V_control_symbolic_dual_content_interaction,777,0.5,0.666667,synthetic_dual_sector_content_agreement_binary+readout_symbolic_dual_content_interaction+head_logreg,True,,,,content_aligned__aligned|content_aligned__crossed|content_crossed__aligned|content_crossed__crossed
control_symbolic_dual_cross_interaction-dualcontent-s42,V_control_symbolic_dual_cross_interaction,42,1.0,1.0,synthetic_dual_sector_content_agreement_binary+readout_symbolic_dual_cross_interaction+head_logreg,True,,,,cross_same__same|cross_same__diff|cross_diff__same|cross_diff__diff
control_symbolic_dual_cross_interaction-dualcontent-s123,V_control_symbolic_dual_cross_interaction,123,1.0,1.0,synthetic_dual_sector_content_agreement_binary+readout_symbolic_dual_cross_interaction+head_logreg,True,,,,cross_same__same|cross_same__diff|cross_diff__same|cross_diff__diff
control_symbolic_dual_cross_interaction-dualcontent-s777,V_control_symbolic_dual_cross_interaction,777,1.0,1.0,synthetic_dual_sector_content_agreement_binary+readout_symbolic_dual_cross_interaction+head_logreg,True,,,,cross_same__same|cross_same__diff|cross_diff__same|cross_diff__diff
