run_id,variant,seed,slot_swap,accuracy,f1,forbidden_inputs_absent,bounded_feature_audit_pass,expected_slot_swap
vcontrol-dual-symbolic-s42,V_control_symbolic_dual_sector,42,0,0.5,0.666667,True,,0
vcontrol-dual-symbolic-s123,V_control_symbolic_dual_sector,123,0,0.5,0.666667,True,,0
vcontrol-dual-symbolic-s777,V_control_symbolic_dual_sector,777,0,0.5,0.666667,True,,0
vfuture-witness-dual-s42,V_future_relational_witness_dual,42,0,1.0,1.0,True,True,0
vfuture-witness-dual-s123,V_future_relational_witness_dual,123,0,1.0,1.0,True,True,0
vfuture-witness-dual-s777,V_future_relational_witness_dual,777,0,1.0,1.0,True,True,0
vcontrol-dual-symbolic-s42-slotswap,V_control_symbolic_dual_sector,42,1,0.5,0.666667,True,,1
vcontrol-dual-symbolic-s123-slotswap,V_control_symbolic_dual_sector,123,1,0.5,0.666667,True,,1
vcontrol-dual-symbolic-s777-slotswap,V_control_symbolic_dual_sector,777,1,0.5,0.666667,True,,1
vfuture-witness-dual-s42-slotswap,V_future_relational_witness_dual,42,1,1.0,1.0,True,True,1
vfuture-witness-dual-s123-slotswap,V_future_relational_witness_dual,123,1,1.0,1.0,True,True,1
vfuture-witness-dual-s777-slotswap,V_future_relational_witness_dual,777,1,1.0,1.0,True,True,1
