run_id,variant,seed,mae,rank_correlation,calibration_slope,accuracy,f1
latent-witness-s42,V_future_relational_witness_latent_phase,42,0.203938,0.890859,0.764053,0.0,0.0
latent-witness-s123,V_future_relational_witness_latent_phase,123,0.405356,0.93589,0.892937,0.0,0.0
latent-witness-s777,V_future_relational_witness_latent_phase,777,0.283537,0.808702,0.568318,0.0,0.0
latent-coarse-s42,V_control_symbolic_coarse_lookup_regressor,42,0.319855,0.027196,0.0,0.0,0.0
latent-coarse-s123,V_control_symbolic_coarse_lookup_regressor,123,0.247878,0.054353,1.148482,0.0,0.0
latent-coarse-s777,V_control_symbolic_coarse_lookup_regressor,777,0.276323,0.164771,-1.507601,0.0,0.0
latent-analog-s42,V_control_symbolic_analog_only_regressor,42,0.267588,0.256678,0.336178,0.0,0.0
latent-analog-s123,V_control_symbolic_analog_only_regressor,123,0.133208,0.819872,1.045424,0.0,0.0
latent-analog-s777,V_control_symbolic_analog_only_regressor,777,0.326501,0.29455,0.175449,0.0,0.0
latent-nonlinear-s42,V_control_symbolic_nonlinear_manifold_regressor,42,0.246317,0.870924,0.630171,0.0,0.0
latent-nonlinear-s123,V_control_symbolic_nonlinear_manifold_regressor,123,0.214907,0.894002,1.039637,0.0,0.0
latent-nonlinear-s777,V_control_symbolic_nonlinear_manifold_regressor,777,0.167586,0.921054,0.838163,0.0,0.0
latent-insensitive-s42,V_control_symbolic_phase_insensitive_regressor,42,0.302244,0.88231,0.515861,0.0,0.0
latent-insensitive-s123,V_control_symbolic_phase_insensitive_regressor,123,0.279222,0.920358,0.80444,0.0,0.0
latent-insensitive-s777,V_control_symbolic_phase_insensitive_regressor,777,0.278626,0.921054,0.66605,0.0,0.0
latent-globalphase-s42,V_control_symbolic_global_phase_regressor,42,0.288957,0.473373,0.748817,0.0,0.0
latent-globalphase-s123,V_control_symbolic_global_phase_regressor,123,0.219837,0.491876,0.806652,0.0,0.0
latent-globalphase-s777,V_control_symbolic_global_phase_regressor,777,0.236285,0.61086,0.677679,0.0,0.0
