run_id,variant,seed,mae,rank_correlation,calibration_slope,accuracy,f1
atlas-witness-s42,V_future_relational_witness_local_atlas,42,0.355463,0.804748,0.778764,0.0,0.0
atlas-witness-s123,V_future_relational_witness_local_atlas,123,0.041937,0.985224,0.978757,0.0,0.0
atlas-witness-s777,V_future_relational_witness_local_atlas,777,0.178925,0.837762,0.790847,0.0,0.0
atlas-coarse-s42,V_control_symbolic_coarse_lookup_regressor,42,0.226846,-0.109109,1.004904,0.0,0.0
atlas-coarse-s123,V_control_symbolic_coarse_lookup_regressor,123,0.211468,0.109109,-5.025085,0.0,0.0
atlas-coarse-s777,V_control_symbolic_coarse_lookup_regressor,777,0.261838,0.0,0.0,0.0,0.0
atlas-analog-s42,V_control_symbolic_analog_only_regressor,42,0.235351,-0.573343,-8.762185,0.0,0.0
atlas-analog-s123,V_control_symbolic_analog_only_regressor,123,0.176026,0.795299,3.605165,0.0,0.0
atlas-analog-s777,V_control_symbolic_analog_only_regressor,777,0.297124,-0.288071,-0.659408,0.0,0.0
atlas-nonlinear-s42,V_control_symbolic_nonlinear_manifold_regressor,42,0.225509,0.814594,0.588576,0.0,0.0
atlas-nonlinear-s123,V_control_symbolic_nonlinear_manifold_regressor,123,0.114847,0.901541,0.822596,0.0,0.0
atlas-nonlinear-s777,V_control_symbolic_nonlinear_manifold_regressor,777,0.210519,0.855258,0.812548,0.0,0.0
atlas-insensitive-s42,V_control_symbolic_phase_insensitive_regressor,42,0.277654,0.849675,0.564536,0.0,0.0
atlas-insensitive-s123,V_control_symbolic_phase_insensitive_regressor,123,0.103684,0.901541,0.806554,0.0,0.0
atlas-insensitive-s777,V_control_symbolic_phase_insensitive_regressor,777,0.162443,0.843724,0.686038,0.0,0.0
atlas-globalphase-s42,V_control_symbolic_global_phase_regressor,42,0.227958,0.485119,0.589777,0.0,0.0
atlas-globalphase-s123,V_control_symbolic_global_phase_regressor,123,0.233121,0.357143,0.655049,0.0,0.0
atlas-globalphase-s777,V_control_symbolic_global_phase_regressor,777,0.209145,0.680473,2.219847,0.0,0.0
atlas-singlechart-s42,V_control_symbolic_single_chart_regressor,42,0.261278,0.790767,0.572276,0.0,0.0
atlas-singlechart-s123,V_control_symbolic_single_chart_regressor,123,0.101711,0.901541,0.844349,0.0,0.0
atlas-singlechart-s777,V_control_symbolic_single_chart_regressor,777,0.187276,0.855258,0.735113,0.0,0.0
