run_id,variant,dataset,seed,backend,accuracy,f1,train_loss_final,eval_loss,qubit_count,gate_count_total,circuit_depth,shot_count,noise_model,dry_run,run_mode,data_mode,mixing_preset,local_readout
mixshadow-weighted-mix_v0-yelp-s42,V3,yelp,42,sim_quantum_statevector,0.5,0.333333,0.722934,0.73129,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v0,mix_v0,weighted
mixshadow-weighted-mix_v0-yelp-s123,V3,yelp,123,sim_quantum_statevector,0.5,0.0,0.694875,0.769903,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v0,mix_v0,weighted
mixshadow-weighted-mix_v0-yelp-s777,V3,yelp,777,sim_quantum_statevector,0.625,0.4,0.701811,0.695488,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v0,mix_v0,weighted
mixshadow-weighted-mix_v0-yelp-s2024,V3,yelp,2024,sim_quantum_statevector,0.75,0.75,0.768481,0.646882,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v0,mix_v0,weighted
mixshadow-weighted-mix_v0-yelp-s9001,V3,yelp,9001,sim_quantum_statevector,0.75,0.75,0.718929,0.680769,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v0,mix_v0,weighted
mixshadow-weighted-mix_v0-imdb-s42,V3,imdb,42,sim_quantum_statevector,0.25,0.4,0.740756,0.751711,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v0,mix_v0,weighted
mixshadow-weighted-mix_v0-imdb-s123,V3,imdb,123,sim_quantum_statevector,0.875,0.888889,0.689452,0.633154,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v0,mix_v0,weighted
mixshadow-weighted-mix_v0-imdb-s777,V3,imdb,777,sim_quantum_statevector,0.5,0.0,0.747084,0.707278,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v0,mix_v0,weighted
mixshadow-weighted-mix_v0-imdb-s2024,V3,imdb,2024,sim_quantum_statevector,0.375,0.0,0.757506,0.706935,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v0,mix_v0,weighted
mixshadow-weighted-mix_v0-imdb-s9001,V3,imdb,9001,sim_quantum_statevector,0.625,0.571429,0.716496,0.655648,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v0,mix_v0,weighted
mixshadow-weighted-mix_v0-amazon-s42,V3,amazon,42,sim_quantum_statevector,0.5,0.666667,0.712715,0.735633,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v0,mix_v0,weighted
mixshadow-weighted-mix_v0-amazon-s123,V3,amazon,123,sim_quantum_statevector,0.75,0.75,0.71872,0.685871,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v0,mix_v0,weighted
mixshadow-weighted-mix_v0-amazon-s777,V3,amazon,777,sim_quantum_statevector,0.625,0.727273,0.739364,0.692019,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v0,mix_v0,weighted
mixshadow-weighted-mix_v0-amazon-s2024,V3,amazon,2024,sim_quantum_statevector,0.625,0.727273,0.677158,0.722159,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v0,mix_v0,weighted
mixshadow-weighted-mix_v0-amazon-s9001,V3,amazon,9001,sim_quantum_statevector,0.25,0.4,0.729388,0.739327,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v0,mix_v0,weighted
mixshadow-weighted-mix_v2-yelp-s42,V3,yelp,42,sim_quantum_statevector,0.5,0.0,0.703733,0.696067,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v2,mix_v2,weighted
mixshadow-weighted-mix_v2-yelp-s123,V3,yelp,123,sim_quantum_statevector,0.375,0.0,0.666603,0.7347,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v2,mix_v2,weighted
mixshadow-weighted-mix_v2-yelp-s777,V3,yelp,777,sim_quantum_statevector,0.625,0.4,0.67702,0.687882,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v2,mix_v2,weighted
mixshadow-weighted-mix_v2-yelp-s2024,V3,yelp,2024,sim_quantum_statevector,0.75,0.75,0.700624,0.623972,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v2,mix_v2,weighted
mixshadow-weighted-mix_v2-yelp-s9001,V3,yelp,9001,sim_quantum_statevector,0.375,0.545455,0.727432,0.722765,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v2,mix_v2,weighted
mixshadow-weighted-mix_v2-imdb-s42,V3,imdb,42,sim_quantum_statevector,0.25,0.25,0.690939,0.823556,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v2,mix_v2,weighted
mixshadow-weighted-mix_v2-imdb-s123,V3,imdb,123,sim_quantum_statevector,0.625,0.571429,0.711228,0.647621,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v2,mix_v2,weighted
mixshadow-weighted-mix_v2-imdb-s777,V3,imdb,777,sim_quantum_statevector,0.5,0.666667,0.729997,0.667848,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v2,mix_v2,weighted
mixshadow-weighted-mix_v2-imdb-s2024,V3,imdb,2024,sim_quantum_statevector,0.625,0.571429,0.699107,0.660896,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v2,mix_v2,weighted
mixshadow-weighted-mix_v2-imdb-s9001,V3,imdb,9001,sim_quantum_statevector,0.625,0.571429,0.704782,0.628203,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v2,mix_v2,weighted
mixshadow-weighted-mix_v2-amazon-s42,V3,amazon,42,sim_quantum_statevector,0.5,0.333333,0.695618,0.68084,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v2,mix_v2,weighted
mixshadow-weighted-mix_v2-amazon-s123,V3,amazon,123,sim_quantum_statevector,0.5,0.5,0.727256,0.797409,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v2,mix_v2,weighted
mixshadow-weighted-mix_v2-amazon-s777,V3,amazon,777,sim_quantum_statevector,0.625,0.727273,0.696294,0.676708,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v2,mix_v2,weighted
mixshadow-weighted-mix_v2-amazon-s2024,V3,amazon,2024,sim_quantum_statevector,0.5,0.666667,0.705163,0.672393,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v2,mix_v2,weighted
mixshadow-weighted-mix_v2-amazon-s9001,V3,amazon,9001,sim_quantum_statevector,0.375,0.285714,0.713787,0.766759,8,112,7,256,none,False,real,local_jsonl+readout_weighted+mix_mix_v2,mix_v2,weighted
