variant,seed,mae,rank_correlation,calibration_slope
V_future_relational_witness_nonlinear,42,0.151237,0.920713,0.763784
V_future_relational_witness_nonlinear,123,0.120145,0.977158,0.8932
V_future_relational_witness_nonlinear,777,0.094774,0.92842,0.923423
V_control_symbolic_coarse_lookup_regressor,42,0.2284,0.136692,2.814041
V_control_symbolic_coarse_lookup_regressor,123,0.299021,0.163058,-1.005118
V_control_symbolic_coarse_lookup_regressor,777,0.240053,0.08165,-2.681377
V_control_symbolic_analog_only_regressor,42,0.218403,0.087773,0.663905
V_control_symbolic_analog_only_regressor,123,0.275254,0.297106,0.528221
V_control_symbolic_analog_only_regressor,777,0.298928,0.349184,0.191158
V_control_symbolic_full_declared_additive_regressor,42,0.201233,0.303574,0.895186
V_control_symbolic_full_declared_additive_regressor,123,0.277773,0.267159,0.451659
V_control_symbolic_full_declared_additive_regressor,777,0.29437,0.268148,0.164179
