variant,seed,mae,rank_correlation,calibration_slope,bounded_feature_audit_pass,anti_collapse_pass,forbidden_inputs_absent
V_future_relational_witness_orthogonalized,42,0.034266,0.886968,1.055435,True,True,True
V_future_relational_witness_orthogonalized,123,0.150819,0.995578,1.000414,True,True,True
V_future_relational_witness_orthogonalized,777,0.095668,0.889425,0.773438,True,True,True
V_control_symbolic_coarse_lookup_regressor,42,0.155556,-0.164646,0.0,,,True
V_control_symbolic_coarse_lookup_regressor,123,0.218924,0.0,-1030.859376,,,True
V_control_symbolic_coarse_lookup_regressor,777,0.166233,0.109517,2.005742,,,True
V_control_symbolic_analog_only_regressor,42,0.028399,0.942521,1.118102,,,True
V_control_symbolic_analog_only_regressor,123,0.134821,0.991068,1.032056,,,True
V_control_symbolic_analog_only_regressor,777,0.036968,0.953712,0.893073,,,True
V_control_symbolic_full_declared_residual_regressor,42,0.029941,0.890247,1.10667,,,True
V_control_symbolic_full_declared_residual_regressor,123,0.147798,0.971135,0.990615,,,True
V_control_symbolic_full_declared_residual_regressor,777,0.030475,0.977622,0.898416,,,True
