"run_id","variant","seed","accuracy","f1"
"ctrl_transition_localization_cross_direction-s42","V_control_symbolic_transition_localization_cross_direction","42","1","0"
"ctrl_transition_localization_cross_direction-s123","V_control_symbolic_transition_localization_cross_direction","123","0.909091","0"
"ctrl_transition_localization_cross_direction-s777","V_control_symbolic_transition_localization_cross_direction","777","1","0"
"ctrl_transition_localization_lookup-s42","V_control_symbolic_transition_localization_lookup","42","0","0"
"ctrl_transition_localization_lookup-s123","V_control_symbolic_transition_localization_lookup","123","0","0"
"ctrl_transition_localization_lookup-s777","V_control_symbolic_transition_localization_lookup","777","0","0"
"ctrl_transition_localization_orbit_permuted-s42","V_control_symbolic_transition_localization_orbit_permuted","42","1","0"
"ctrl_transition_localization_orbit_permuted-s123","V_control_symbolic_transition_localization_orbit_permuted","123","0.909091","0"
"ctrl_transition_localization_orbit_permuted-s777","V_control_symbolic_transition_localization_orbit_permuted","777","1","0"
"ctrl_transition_localization_quadratic-s42","V_control_symbolic_transition_localization_quadratic","42","1","0"
"ctrl_transition_localization_quadratic-s123","V_control_symbolic_transition_localization_quadratic","123","0.909091","0"
"ctrl_transition_localization_quadratic-s777","V_control_symbolic_transition_localization_quadratic","777","1","0"
"transition_orbit_asymmetric_sign_localization-s42","V_future_relational_witness_transition_orbit_asymmetric_sign_localization","42","0.818182","0"
"transition_orbit_asymmetric_sign_localization-s123","V_future_relational_witness_transition_orbit_asymmetric_sign_localization","123","1","0"
"transition_orbit_asymmetric_sign_localization-s777","V_future_relational_witness_transition_orbit_asymmetric_sign_localization","777","0.545455","0"
