run_id,variant,seed,accuracy,f1,eval_loss,train_loss_final,data_mode
listwise-witness-s42,V_future_relational_witness_transition_orbit_listwise,42,0.090909,0.397835,0.339912,0.302237,synthetic_transition_orbit_listwise_ranking+readout_relational_witness_transition_orbit_listwise+head_linear
listwise-witness-s123,V_future_relational_witness_transition_orbit_listwise,123,0.454545,0.432468,0.34744,0.30953,synthetic_transition_orbit_listwise_ranking+readout_relational_witness_transition_orbit_listwise+head_linear
listwise-witness-s777,V_future_relational_witness_transition_orbit_listwise,777,0.363636,0.56342,0.324467,0.322561,synthetic_transition_orbit_listwise_ranking+readout_relational_witness_transition_orbit_listwise+head_linear
listwise-lookup-s42,V_control_symbolic_transition_list_lookup,42,0.0,0.0,0.333333,0.333333,synthetic_transition_orbit_listwise_ranking+readout_symbolic_transition_list_lookup+head_linear
listwise-lookup-s123,V_control_symbolic_transition_list_lookup,123,0.0,0.0,0.333333,0.333333,synthetic_transition_orbit_listwise_ranking+readout_symbolic_transition_list_lookup+head_linear
listwise-lookup-s777,V_control_symbolic_transition_list_lookup,777,0.0,0.0,0.333333,0.333333,synthetic_transition_orbit_listwise_ranking+readout_symbolic_transition_list_lookup+head_linear
listwise-xdir-s42,V_control_symbolic_transition_list_cross_direction,42,0.363636,0.345455,0.329457,0.32695,synthetic_transition_orbit_listwise_ranking+readout_symbolic_transition_list_cross_direction+head_linear
listwise-xdir-s123,V_control_symbolic_transition_list_cross_direction,123,0.272727,0.323377,0.329168,0.325626,synthetic_transition_orbit_listwise_ranking+readout_symbolic_transition_list_cross_direction+head_linear
listwise-xdir-s777,V_control_symbolic_transition_list_cross_direction,777,0.272727,0.318182,0.330421,0.326417,synthetic_transition_orbit_listwise_ranking+readout_symbolic_transition_list_cross_direction+head_linear
listwise-quad-s42,V_control_symbolic_transition_list_quadratic,42,0.272727,0.377922,0.330901,0.327961,synthetic_transition_orbit_listwise_ranking+readout_symbolic_transition_list_quadratic+head_linear
listwise-quad-s123,V_control_symbolic_transition_list_quadratic,123,0.272727,0.318182,0.330952,0.32661,synthetic_transition_orbit_listwise_ranking+readout_symbolic_transition_list_quadratic+head_linear
listwise-quad-s777,V_control_symbolic_transition_list_quadratic,777,0.181818,0.318182,0.331823,0.327299,synthetic_transition_orbit_listwise_ranking+readout_symbolic_transition_list_quadratic+head_linear
listwise-perm-s42,V_control_symbolic_transition_list_orbit_permuted,42,0.363636,0.390909,0.327867,0.329122,synthetic_transition_orbit_listwise_ranking+readout_symbolic_transition_list_orbit_permuted+head_linear
listwise-perm-s123,V_control_symbolic_transition_list_orbit_permuted,123,0.272727,0.323377,0.32788,0.328403,synthetic_transition_orbit_listwise_ranking+readout_symbolic_transition_list_orbit_permuted+head_linear
listwise-perm-s777,V_control_symbolic_transition_list_orbit_permuted,777,0.272727,0.336364,0.329061,0.329079,synthetic_transition_orbit_listwise_ranking+readout_symbolic_transition_list_orbit_permuted+head_linear
