run_id,variant,dataset,seed,backend,mae,rank_correlation,calibration_slope,train_loss_final,eval_loss,accuracy,f1,data_mode
transition_orbit_order_margin-s42,V_future_relational_witness_transition_orbit_order_margin,synthetic_transition_orbit_order_margin_response,42,sim_quantum_statevector,0.153947,0.07629,0.168826,0.22777,0.247768,0.0,0.0,synthetic_transition_orbit_order_margin_response+readout_relational_witness_transition_orbit_order_margin+head_linear
transition_orbit_order_margin-s123,V_future_relational_witness_transition_orbit_order_margin,synthetic_transition_orbit_order_margin_response,123,sim_quantum_statevector,0.172423,-0.340207,-0.428381,0.236975,0.253052,0.0,0.0,synthetic_transition_orbit_order_margin_response+readout_relational_witness_transition_orbit_order_margin+head_linear
transition_orbit_order_margin-s777,V_future_relational_witness_transition_orbit_order_margin,synthetic_transition_orbit_order_margin_response,777,sim_quantum_statevector,0.176454,-0.498908,-0.504129,0.23238,0.259118,0.0,0.0,synthetic_transition_orbit_order_margin_response+readout_relational_witness_transition_orbit_order_margin+head_linear
ctrl_transition_margin_lookup-s42,V_control_symbolic_transition_margin_lookup,synthetic_transition_orbit_order_margin_response,42,sim_quantum_statevector,0.195455,0.0,0.0,0.25,0.25,0.0,0.0,synthetic_transition_orbit_order_margin_response+readout_symbolic_transition_margin_lookup+head_linear
ctrl_transition_margin_lookup-s123,V_control_symbolic_transition_margin_lookup,synthetic_transition_orbit_order_margin_response,123,sim_quantum_statevector,0.199091,0.0,0.0,0.25,0.25,0.0,0.0,synthetic_transition_orbit_order_margin_response+readout_symbolic_transition_margin_lookup+head_linear
ctrl_transition_margin_lookup-s777,V_control_symbolic_transition_margin_lookup,synthetic_transition_orbit_order_margin_response,777,sim_quantum_statevector,0.199091,0.0,0.0,0.25,0.25,0.0,0.0,synthetic_transition_orbit_order_margin_response+readout_symbolic_transition_margin_lookup+head_linear
ctrl_transition_margin_cross_direction-s42,V_control_symbolic_transition_margin_cross_direction,synthetic_transition_orbit_order_margin_response,42,sim_quantum_statevector,0.192549,0.284398,1.388614,0.244947,0.247014,0.0,0.0,synthetic_transition_orbit_order_margin_response+readout_symbolic_transition_margin_cross_direction+head_linear
ctrl_transition_margin_cross_direction-s123,V_control_symbolic_transition_margin_cross_direction,synthetic_transition_orbit_order_margin_response,123,sim_quantum_statevector,0.194534,0.031235,0.599552,0.244197,0.247747,0.0,0.0,synthetic_transition_orbit_order_margin_response+readout_symbolic_transition_margin_cross_direction+head_linear
ctrl_transition_margin_cross_direction-s777,V_control_symbolic_transition_margin_cross_direction,synthetic_transition_orbit_order_margin_response,777,sim_quantum_statevector,0.196381,0.031235,0.871686,0.244105,0.246565,0.0,0.0,synthetic_transition_orbit_order_margin_response+readout_symbolic_transition_margin_cross_direction+head_linear
ctrl_transition_margin_quadratic-s42,V_control_symbolic_transition_margin_quadratic,synthetic_transition_orbit_order_margin_response,42,sim_quantum_statevector,0.193556,0.0,2.035316,0.245632,0.248237,0.0,0.0,synthetic_transition_orbit_order_margin_response+readout_symbolic_transition_margin_quadratic+head_linear
ctrl_transition_margin_quadratic-s123,V_control_symbolic_transition_margin_quadratic,synthetic_transition_orbit_order_margin_response,123,sim_quantum_statevector,0.196704,-0.046852,0.60671,0.244986,0.248786,0.0,0.0,synthetic_transition_orbit_order_margin_response+readout_symbolic_transition_margin_quadratic+head_linear
ctrl_transition_margin_quadratic-s777,V_control_symbolic_transition_margin_quadratic,synthetic_transition_orbit_order_margin_response,777,sim_quantum_statevector,0.19782,-0.102899,1.384153,0.24499,0.2481,0.0,0.0,synthetic_transition_orbit_order_margin_response+readout_symbolic_transition_margin_quadratic+head_linear
ctrl_transition_margin_orbit_permuted-s42,V_control_symbolic_transition_margin_orbit_permuted,synthetic_transition_orbit_order_margin_response,42,sim_quantum_statevector,0.191514,0.284398,0.870237,0.24654,0.246407,0.0,0.0,synthetic_transition_orbit_order_margin_response+readout_symbolic_transition_margin_orbit_permuted+head_linear
ctrl_transition_margin_orbit_permuted-s123,V_control_symbolic_transition_margin_orbit_permuted,synthetic_transition_orbit_order_margin_response,123,sim_quantum_statevector,0.192578,0.031235,0.605205,0.246201,0.246747,0.0,0.0,synthetic_transition_orbit_order_margin_response+readout_symbolic_transition_margin_orbit_permuted+head_linear
ctrl_transition_margin_orbit_permuted-s777,V_control_symbolic_transition_margin_orbit_permuted,synthetic_transition_orbit_order_margin_response,777,sim_quantum_statevector,0.194794,-0.046852,0.554911,0.246143,0.245485,0.0,0.0,synthetic_transition_orbit_order_margin_response+readout_symbolic_transition_margin_orbit_permuted+head_linear
