"run_id","variant","seed","mae","rank_correlation","calibration_slope"
"orbitpr-relational_witness_transition_orbit-s42","V_future_relational_witness_transition_orbit","42","0.077266","0.978661","1.3879"
"orbitpr-relational_witness_transition_orbit-s123","V_future_relational_witness_transition_orbit","123","0.111288","0.884474","1.187198"
"orbitpr-relational_witness_transition_orbit-s777","V_future_relational_witness_transition_orbit","777","0.074762","0.872701","0.926811"
"orbitpr-ctrl_symbolic_transition_additive_regressor-s42","V_control_symbolic_transition_additive_regressor","42","0.13835","0.960834","2.210423"
"orbitpr-ctrl_symbolic_transition_additive_regressor-s123","V_control_symbolic_transition_additive_regressor","123","0.134397","0.905469","1.400134"
"orbitpr-ctrl_symbolic_transition_additive_regressor-s777","V_control_symbolic_transition_additive_regressor","777","0.089774","0.76628","1.269251"
"orbitpr-ctrl_symbolic_transition_unordered_regressor-s42","V_control_symbolic_transition_unordered_regressor","42","0.179903","0.677049","2.32297"
"orbitpr-ctrl_symbolic_transition_unordered_regressor-s123","V_control_symbolic_transition_unordered_regressor","123","0.179638","0.791428","1.365073"
"orbitpr-ctrl_symbolic_transition_unordered_regressor-s777","V_control_symbolic_transition_unordered_regressor","777","0.152747","0.609354","1.71498"
"orbitpr-ctrl_symbolic_transition_cross_direction_regressor-s42","V_control_symbolic_transition_cross_direction_regressor","42","0.144903","0.969704","2.220165"
"orbitpr-ctrl_symbolic_transition_cross_direction_regressor-s123","V_control_symbolic_transition_cross_direction_regressor","123","0.134191","0.905469","1.406165"
"orbitpr-ctrl_symbolic_transition_cross_direction_regressor-s777","V_control_symbolic_transition_cross_direction_regressor","777","0.089348","0.748528","1.216545"
"orbitpr-ctrl_symbolic_transition_quadratic_regressor-s42","V_control_symbolic_transition_quadratic_regressor","42","0.154372","0.97266","2.497055"
"orbitpr-ctrl_symbolic_transition_quadratic_regressor-s123","V_control_symbolic_transition_quadratic_regressor","123","0.135443","0.923195","1.43465"
"orbitpr-ctrl_symbolic_transition_quadratic_regressor-s777","V_control_symbolic_transition_quadratic_regressor","777","0.090036","0.748528","1.211789"
"orbitpr-ctrl_symbolic_transition_orbit_additive_regressor-s42","V_control_symbolic_transition_orbit_additive_regressor","42","0.13835","0.960834","2.210423"
"orbitpr-ctrl_symbolic_transition_orbit_additive_regressor-s123","V_control_symbolic_transition_orbit_additive_regressor","123","0.134397","0.905469","1.400134"
"orbitpr-ctrl_symbolic_transition_orbit_additive_regressor-s777","V_control_symbolic_transition_orbit_additive_regressor","777","0.089774","0.76628","1.269251"
