"run_id","variant","seed","accuracy","f1"
"ctrl_transition_consistency_cross_direction-s42","V_control_symbolic_transition_consistency_cross_direction","42","0.727273","0"
"ctrl_transition_consistency_cross_direction-s123","V_control_symbolic_transition_consistency_cross_direction","123","0.636364","0"
"ctrl_transition_consistency_cross_direction-s777","V_control_symbolic_transition_consistency_cross_direction","777","1","0"
"ctrl_transition_consistency_lookup-s42","V_control_symbolic_transition_consistency_lookup","42","0","0"
"ctrl_transition_consistency_lookup-s123","V_control_symbolic_transition_consistency_lookup","123","0","0"
"ctrl_transition_consistency_lookup-s777","V_control_symbolic_transition_consistency_lookup","777","0","0"
"ctrl_transition_consistency_orbit_permuted-s42","V_control_symbolic_transition_consistency_orbit_permuted","42","0.727273","0"
"ctrl_transition_consistency_orbit_permuted-s123","V_control_symbolic_transition_consistency_orbit_permuted","123","0.636364","0"
"ctrl_transition_consistency_orbit_permuted-s777","V_control_symbolic_transition_consistency_orbit_permuted","777","1","0"
"ctrl_transition_consistency_quadratic-s42","V_control_symbolic_transition_consistency_quadratic","42","0.727273","0"
"ctrl_transition_consistency_quadratic-s123","V_control_symbolic_transition_consistency_quadratic","123","0.636364","0"
"ctrl_transition_consistency_quadratic-s777","V_control_symbolic_transition_consistency_quadratic","777","1","0"
"transition_orbit_sign_consistency-s42","V_future_relational_witness_transition_orbit_sign_consistency","42","0.818182","0"
"transition_orbit_sign_consistency-s123","V_future_relational_witness_transition_orbit_sign_consistency","123","0.636364","0"
"transition_orbit_sign_consistency-s777","V_future_relational_witness_transition_orbit_sign_consistency","777","0.636364","0"
