"run_id","variant","seed","accuracy","f1"
"ctrl_transition_flip_cross_direction-s42","V_control_symbolic_transition_flip_cross_direction","42","0.727273","0.842105"
"ctrl_transition_flip_cross_direction-s123","V_control_symbolic_transition_flip_cross_direction","123","0.636364","0.777778"
"ctrl_transition_flip_cross_direction-s777","V_control_symbolic_transition_flip_cross_direction","777","1","1"
"ctrl_transition_flip_lookup-s42","V_control_symbolic_transition_flip_lookup","42","1","1"
"ctrl_transition_flip_lookup-s123","V_control_symbolic_transition_flip_lookup","123","1","1"
"ctrl_transition_flip_lookup-s777","V_control_symbolic_transition_flip_lookup","777","1","1"
"ctrl_transition_flip_orbit_permuted-s42","V_control_symbolic_transition_flip_orbit_permuted","42","0.727273","0.842105"
"ctrl_transition_flip_orbit_permuted-s123","V_control_symbolic_transition_flip_orbit_permuted","123","0.818182","0.9"
"ctrl_transition_flip_orbit_permuted-s777","V_control_symbolic_transition_flip_orbit_permuted","777","1","1"
"ctrl_transition_flip_quadratic-s42","V_control_symbolic_transition_flip_quadratic","42","0.727273","0.842105"
"ctrl_transition_flip_quadratic-s123","V_control_symbolic_transition_flip_quadratic","123","0.636364","0.777778"
"ctrl_transition_flip_quadratic-s777","V_control_symbolic_transition_flip_quadratic","777","1","1"
"transition_orbit_sign_flip_contrast-s42","V_future_relational_witness_transition_orbit_sign_flip_contrast","42","0.818182","0.9"
"transition_orbit_sign_flip_contrast-s123","V_future_relational_witness_transition_orbit_sign_flip_contrast","123","0.636364","0.777778"
"transition_orbit_sign_flip_contrast-s777","V_future_relational_witness_transition_orbit_sign_flip_contrast","777","0.727273","0.842105"
