run_id,variant,dataset,seed,backend,accuracy,f1,train_loss_final,eval_loss,data_mode
transition_orbit_sign_only-s42,V_future_relational_witness_transition_orbit_sign_only,synthetic_transition_orbit_sign_only_binary,42,sim_quantum_statevector,0.818182,0.9,0.180984,1.989119,synthetic_transition_orbit_sign_only_binary+readout_relational_witness_transition_orbit_sign_only+head_linear
transition_orbit_sign_only-s123,V_future_relational_witness_transition_orbit_sign_only,synthetic_transition_orbit_sign_only_binary,123,sim_quantum_statevector,0.818182,0.9,0.17722,2.37936,synthetic_transition_orbit_sign_only_binary+readout_relational_witness_transition_orbit_sign_only+head_linear
transition_orbit_sign_only-s777,V_future_relational_witness_transition_orbit_sign_only,synthetic_transition_orbit_sign_only_binary,777,sim_quantum_statevector,0.909091,0.941176,0.218935,1.644428,synthetic_transition_orbit_sign_only_binary+readout_relational_witness_transition_orbit_sign_only+head_linear
ctrl_transition_sign_lookup-s42,V_control_symbolic_transition_sign_lookup,synthetic_transition_orbit_sign_only_binary,42,sim_quantum_statevector,0.818182,0.9,0.53596,1.2591,synthetic_transition_orbit_sign_only_binary+readout_symbolic_transition_sign_lookup+head_linear
ctrl_transition_sign_lookup-s123,V_control_symbolic_transition_sign_lookup,synthetic_transition_orbit_sign_only_binary,123,sim_quantum_statevector,0.909091,0.952381,0.53596,1.370352,synthetic_transition_orbit_sign_only_binary+readout_symbolic_transition_sign_lookup+head_linear
ctrl_transition_sign_lookup-s777,V_control_symbolic_transition_sign_lookup,synthetic_transition_orbit_sign_only_binary,777,sim_quantum_statevector,0.818182,0.9,0.474139,1.431279,synthetic_transition_orbit_sign_only_binary+readout_symbolic_transition_sign_lookup+head_linear
ctrl_transition_sign_cross_direction-s42,V_control_symbolic_transition_sign_cross_direction,synthetic_transition_orbit_sign_only_binary,42,sim_quantum_statevector,0.818182,0.9,0.525127,1.258413,synthetic_transition_orbit_sign_only_binary+readout_symbolic_transition_sign_cross_direction+head_linear
ctrl_transition_sign_cross_direction-s123,V_control_symbolic_transition_sign_cross_direction,synthetic_transition_orbit_sign_only_binary,123,sim_quantum_statevector,0.909091,0.952381,0.525127,1.363864,synthetic_transition_orbit_sign_only_binary+readout_symbolic_transition_sign_cross_direction+head_linear
ctrl_transition_sign_cross_direction-s777,V_control_symbolic_transition_sign_cross_direction,synthetic_transition_orbit_sign_only_binary,777,sim_quantum_statevector,0.818182,0.9,0.463318,1.4255,synthetic_transition_orbit_sign_only_binary+readout_symbolic_transition_sign_cross_direction+head_linear
ctrl_transition_sign_quadratic-s42,V_control_symbolic_transition_sign_quadratic,synthetic_transition_orbit_sign_only_binary,42,sim_quantum_statevector,0.818182,0.9,0.529624,1.257594,synthetic_transition_orbit_sign_only_binary+readout_symbolic_transition_sign_quadratic+head_linear
ctrl_transition_sign_quadratic-s123,V_control_symbolic_transition_sign_quadratic,synthetic_transition_orbit_sign_only_binary,123,sim_quantum_statevector,0.909091,0.952381,0.529624,1.368389,synthetic_transition_orbit_sign_only_binary+readout_symbolic_transition_sign_quadratic+head_linear
ctrl_transition_sign_quadratic-s777,V_control_symbolic_transition_sign_quadratic,synthetic_transition_orbit_sign_only_binary,777,sim_quantum_statevector,0.818182,0.9,0.467772,1.427257,synthetic_transition_orbit_sign_only_binary+readout_symbolic_transition_sign_quadratic+head_linear
ctrl_transition_sign_orbit_permuted-s42,V_control_symbolic_transition_sign_orbit_permuted,synthetic_transition_orbit_sign_only_binary,42,sim_quantum_statevector,0.818182,0.9,0.530382,1.260963,synthetic_transition_orbit_sign_only_binary+readout_symbolic_transition_sign_orbit_permuted+head_linear
ctrl_transition_sign_orbit_permuted-s123,V_control_symbolic_transition_sign_orbit_permuted,synthetic_transition_orbit_sign_only_binary,123,sim_quantum_statevector,0.909091,0.952381,0.530382,1.366696,synthetic_transition_orbit_sign_only_binary+readout_symbolic_transition_sign_orbit_permuted+head_linear
ctrl_transition_sign_orbit_permuted-s777,V_control_symbolic_transition_sign_orbit_permuted,synthetic_transition_orbit_sign_only_binary,777,sim_quantum_statevector,0.727273,0.842105,0.469412,1.42943,synthetic_transition_orbit_sign_only_binary+readout_symbolic_transition_sign_orbit_permuted+head_linear
