run_id,variant,dataset,seed,backend,mae,sign_agreement_accuracy,calibration_slope,train_loss_final,eval_loss,accuracy,f1,data_mode
transition_orbit_signed_margin-s42,V_future_relational_witness_transition_orbit_signed_margin,synthetic_transition_orbit_signed_margin_response,42,sim_quantum_statevector,0.104609,0.272727,0.356308,0.052577,0.175649,0.0,0.0,synthetic_transition_orbit_signed_margin_response+readout_relational_witness_transition_orbit_signed_margin+head_linear
transition_orbit_signed_margin-s123,V_future_relational_witness_transition_orbit_signed_margin,synthetic_transition_orbit_signed_margin_response,123,sim_quantum_statevector,0.095468,0.454545,0.18892,0.052012,0.144837,0.0,0.0,synthetic_transition_orbit_signed_margin_response+readout_relational_witness_transition_orbit_signed_margin+head_linear
transition_orbit_signed_margin-s777,V_future_relational_witness_transition_orbit_signed_margin,synthetic_transition_orbit_signed_margin_response,777,sim_quantum_statevector,0.089168,0.363636,1.198178,0.053716,0.149665,0.0,0.0,synthetic_transition_orbit_signed_margin_response+readout_relational_witness_transition_orbit_signed_margin+head_linear
ctrl_transition_signed_margin_lookup-s42,V_control_symbolic_transition_signed_margin_lookup,synthetic_transition_orbit_signed_margin_response,42,sim_quantum_statevector,0.098182,0.0,0.0,0.050909,0.166401,0.0,0.0,synthetic_transition_orbit_signed_margin_response+readout_symbolic_transition_signed_margin_lookup+head_linear
ctrl_transition_signed_margin_lookup-s123,V_control_symbolic_transition_signed_margin_lookup,synthetic_transition_orbit_signed_margin_response,123,sim_quantum_statevector,0.098182,0.0,0.0,0.047273,0.162297,0.0,0.0,synthetic_transition_orbit_signed_margin_response+readout_symbolic_transition_signed_margin_lookup+head_linear
ctrl_transition_signed_margin_lookup-s777,V_control_symbolic_transition_signed_margin_lookup,synthetic_transition_orbit_signed_margin_response,777,sim_quantum_statevector,0.090909,0.0,0.0,0.050909,0.14463,0.0,0.0,synthetic_transition_orbit_signed_margin_response+readout_symbolic_transition_signed_margin_lookup+head_linear
ctrl_transition_signed_margin_cross_direction-s42,V_control_symbolic_transition_signed_margin_cross_direction,synthetic_transition_orbit_signed_margin_response,42,sim_quantum_statevector,0.100582,0.0,-3.79966,0.053273,0.163069,0.0,0.0,synthetic_transition_orbit_signed_margin_response+readout_symbolic_transition_signed_margin_cross_direction+head_linear
ctrl_transition_signed_margin_cross_direction-s123,V_control_symbolic_transition_signed_margin_cross_direction,synthetic_transition_orbit_signed_margin_response,123,sim_quantum_statevector,0.098864,0.181818,-5.17648,0.047679,0.139626,0.0,0.0,synthetic_transition_orbit_signed_margin_response+readout_symbolic_transition_signed_margin_cross_direction+head_linear
ctrl_transition_signed_margin_cross_direction-s777,V_control_symbolic_transition_signed_margin_cross_direction,synthetic_transition_orbit_signed_margin_response,777,sim_quantum_statevector,0.0914,0.0,1.342069,0.055814,0.142687,0.0,0.0,synthetic_transition_orbit_signed_margin_response+readout_symbolic_transition_signed_margin_cross_direction+head_linear
ctrl_transition_signed_margin_quadratic-s42,V_control_symbolic_transition_signed_margin_quadratic,synthetic_transition_orbit_signed_margin_response,42,sim_quantum_statevector,0.099438,0.090909,-4.457265,0.054161,0.160659,0.0,0.0,synthetic_transition_orbit_signed_margin_response+readout_symbolic_transition_signed_margin_quadratic+head_linear
ctrl_transition_signed_margin_quadratic-s123,V_control_symbolic_transition_signed_margin_quadratic,synthetic_transition_orbit_signed_margin_response,123,sim_quantum_statevector,0.09768,0.181818,0.806433,0.048264,0.138485,0.0,0.0,synthetic_transition_orbit_signed_margin_response+readout_symbolic_transition_signed_margin_quadratic+head_linear
ctrl_transition_signed_margin_quadratic-s777,V_control_symbolic_transition_signed_margin_quadratic,synthetic_transition_orbit_signed_margin_response,777,sim_quantum_statevector,0.090999,0.0,39.371382,0.056821,0.139701,0.0,0.0,synthetic_transition_orbit_signed_margin_response+readout_symbolic_transition_signed_margin_quadratic+head_linear
ctrl_transition_signed_margin_orbit_permuted-s42,V_control_symbolic_transition_signed_margin_orbit_permuted,synthetic_transition_orbit_signed_margin_response,42,sim_quantum_statevector,0.101858,0.0,-2.508555,0.053582,0.163127,0.0,0.0,synthetic_transition_orbit_signed_margin_response+readout_symbolic_transition_signed_margin_orbit_permuted+head_linear
ctrl_transition_signed_margin_orbit_permuted-s123,V_control_symbolic_transition_signed_margin_orbit_permuted,synthetic_transition_orbit_signed_margin_response,123,sim_quantum_statevector,0.102688,0.0,-2.659326,0.051164,0.136392,0.0,0.0,synthetic_transition_orbit_signed_margin_response+readout_symbolic_transition_signed_margin_orbit_permuted+head_linear
ctrl_transition_signed_margin_orbit_permuted-s777,V_control_symbolic_transition_signed_margin_orbit_permuted,synthetic_transition_orbit_signed_margin_response,777,sim_quantum_statevector,0.091523,0.0,-1.912879,0.055827,0.141438,0.0,0.0,synthetic_transition_orbit_signed_margin_response+readout_symbolic_transition_signed_margin_orbit_permuted+head_linear
