"run_id","variant","seed","mae","rank_correlation","calibration_slope"
"orbitsr-relational_witness_transition_orbit-s42","V_future_relational_witness_transition_orbit","42","0.095241","0.854198","1.300595"
"orbitsr-relational_witness_transition_orbit-s123","V_future_relational_witness_transition_orbit","123","0.054621","0.935294","0.879397"
"orbitsr-relational_witness_transition_orbit-s777","V_future_relational_witness_transition_orbit","777","0.119693","0.752024","1.237451"
"orbitsr-ctrl_symbolic_transition_additive_regressor-s42","V_control_symbolic_transition_additive_regressor","42","0.121242","0.876573","1.439799"
"orbitsr-ctrl_symbolic_transition_additive_regressor-s123","V_control_symbolic_transition_additive_regressor","123","0.100036","0.736536","0.687665"
"orbitsr-ctrl_symbolic_transition_additive_regressor-s777","V_control_symbolic_transition_additive_regressor","777","0.112256","0.689301","1.059594"
"orbitsr-ctrl_symbolic_transition_unordered_regressor-s42","V_control_symbolic_transition_unordered_regressor","42","0.159416","0.76423","1.488181"
"orbitsr-ctrl_symbolic_transition_unordered_regressor-s123","V_control_symbolic_transition_unordered_regressor","123","0.126632","0.627776","0.501082"
"orbitsr-ctrl_symbolic_transition_unordered_regressor-s777","V_control_symbolic_transition_unordered_regressor","777","0.163996","0.290991","0.952414"
"orbitsr-ctrl_symbolic_transition_cross_direction_regressor-s42","V_control_symbolic_transition_cross_direction_regressor","42","0.121523","0.876573","1.439507"
"orbitsr-ctrl_symbolic_transition_cross_direction_regressor-s123","V_control_symbolic_transition_cross_direction_regressor","123","0.089415","0.739488","0.723464"
"orbitsr-ctrl_symbolic_transition_cross_direction_regressor-s777","V_control_symbolic_transition_cross_direction_regressor","777","0.118849","0.698157","1.065492"
"orbitsr-ctrl_symbolic_transition_quadratic_regressor-s42","V_control_symbolic_transition_quadratic_regressor","42","0.121136","0.876573","1.447807"
"orbitsr-ctrl_symbolic_transition_quadratic_regressor-s123","V_control_symbolic_transition_quadratic_regressor","123","0.090761","0.739488","0.743482"
"orbitsr-ctrl_symbolic_transition_quadratic_regressor-s777","V_control_symbolic_transition_quadratic_regressor","777","0.123301","0.709965","1.073174"
"orbitsr-ctrl_symbolic_transition_orbit_additive_regressor-s42","V_control_symbolic_transition_orbit_additive_regressor","42","0.121242","0.876573","1.439799"
"orbitsr-ctrl_symbolic_transition_orbit_additive_regressor-s123","V_control_symbolic_transition_orbit_additive_regressor","123","0.100036","0.736536","0.687665"
"orbitsr-ctrl_symbolic_transition_orbit_additive_regressor-s777","V_control_symbolic_transition_orbit_additive_regressor","777","0.112256","0.689301","1.059594"
