dataset,variant,seed,accuracy,f1,mae,rank_correlation,data_mode
synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response,V_future_relational_witness_transition_orbit_topk_pair_order_drift_invariant,42,0.0,0.0,0.462202,0.059761,synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response+readout_relational_witness_transition_orbit_topk_pair_order_drift_invariant+head_linear
synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response,V_future_relational_witness_transition_orbit_topk_pair_order_drift_invariant,123,0.0,0.0,0.441209,-0.387298,synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response+readout_relational_witness_transition_orbit_topk_pair_order_drift_invariant+head_linear
synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response,V_future_relational_witness_transition_orbit_topk_pair_order_drift_invariant,777,0.0,0.0,0.445859,0.322749,synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response+readout_relational_witness_transition_orbit_topk_pair_order_drift_invariant+head_linear
synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response,V_control_symbolic_transition_topk_pair_order_drift_invariant_lookup,42,0.0,0.0,0.5,0.0,synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response+readout_symbolic_transition_topk_pair_order_drift_invariant_lookup+head_linear
synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response,V_control_symbolic_transition_topk_pair_order_drift_invariant_lookup,123,0.0,0.0,0.5,0.0,synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response+readout_symbolic_transition_topk_pair_order_drift_invariant_lookup+head_linear
synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response,V_control_symbolic_transition_topk_pair_order_drift_invariant_lookup,777,0.0,0.0,0.5,0.0,synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response+readout_symbolic_transition_topk_pair_order_drift_invariant_lookup+head_linear
synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response,V_control_symbolic_transition_topk_pair_order_drift_invariant_cross_direction,42,0.0,0.0,0.49472,0.619113,synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response+readout_symbolic_transition_topk_pair_order_drift_invariant_cross_direction+head_linear
synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response,V_control_symbolic_transition_topk_pair_order_drift_invariant_cross_direction,123,0.0,0.0,0.496342,0.316761,synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response+readout_symbolic_transition_topk_pair_order_drift_invariant_cross_direction+head_linear
synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response,V_control_symbolic_transition_topk_pair_order_drift_invariant_cross_direction,777,0.0,0.0,0.495011,0.457544,synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response+readout_symbolic_transition_topk_pair_order_drift_invariant_cross_direction+head_linear
synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response,V_control_symbolic_transition_topk_pair_order_drift_invariant_quadratic,42,0.0,0.0,0.496778,0.619113,synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response+readout_symbolic_transition_topk_pair_order_drift_invariant_quadratic+head_linear
synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response,V_control_symbolic_transition_topk_pair_order_drift_invariant_quadratic,123,0.0,0.0,0.497857,0.316761,synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response+readout_symbolic_transition_topk_pair_order_drift_invariant_quadratic+head_linear
synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response,V_control_symbolic_transition_topk_pair_order_drift_invariant_quadratic,777,0.0,0.0,0.4969,0.457544,synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response+readout_symbolic_transition_topk_pair_order_drift_invariant_quadratic+head_linear
synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response,V_control_symbolic_transition_topk_pair_order_drift_invariant_orbit_permuted,42,0.0,0.0,0.492361,0.619113,synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response+readout_symbolic_transition_topk_pair_order_drift_invariant_orbit_permuted+head_linear
synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response,V_control_symbolic_transition_topk_pair_order_drift_invariant_orbit_permuted,123,0.0,0.0,0.49428,0.105587,synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response+readout_symbolic_transition_topk_pair_order_drift_invariant_orbit_permuted+head_linear
synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response,V_control_symbolic_transition_topk_pair_order_drift_invariant_orbit_permuted,777,0.0,0.0,0.493304,0.387153,synthetic_transition_orbit_slot_invariant_topk_pair_order_drift_response+readout_symbolic_transition_topk_pair_order_drift_invariant_orbit_permuted+head_linear
