run_id,variant,seed,accuracy,f1,data_mode
witness-transition_orbit_topk_pair_order_signed_consistency_invariant-s42,V_future_relational_witness_transition_orbit_topk_pair_order_signed_consistency_invariant,42,0.454545,0.0,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_consistency_binary+readout_relational_witness_transition_orbit_topk_pair_order_signed_consistency_invariant+head_linear
witness-transition_orbit_topk_pair_order_signed_consistency_invariant-s123,V_future_relational_witness_transition_orbit_topk_pair_order_signed_consistency_invariant,123,0.454545,0.25,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_consistency_binary+readout_relational_witness_transition_orbit_topk_pair_order_signed_consistency_invariant+head_linear
witness-transition_orbit_topk_pair_order_signed_consistency_invariant-s777,V_future_relational_witness_transition_orbit_topk_pair_order_signed_consistency_invariant,777,0.636364,0.5,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_consistency_binary+readout_relational_witness_transition_orbit_topk_pair_order_signed_consistency_invariant+head_linear
control-transition-topk-pair-order-signed-consistency-invariant-lookup-s42,V_control_symbolic_transition_topk_pair_order_signed_consistency_invariant_lookup,42,0.454545,0.625,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_consistency_binary+readout_symbolic_transition_topk_pair_order_signed_consistency_invariant_lookup+head_linear
control-transition-topk-pair-order-signed-consistency-invariant-lookup-s123,V_control_symbolic_transition_topk_pair_order_signed_consistency_invariant_lookup,123,0.454545,0.625,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_consistency_binary+readout_symbolic_transition_topk_pair_order_signed_consistency_invariant_lookup+head_linear
control-transition-topk-pair-order-signed-consistency-invariant-lookup-s777,V_control_symbolic_transition_topk_pair_order_signed_consistency_invariant_lookup,777,0.454545,0.625,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_consistency_binary+readout_symbolic_transition_topk_pair_order_signed_consistency_invariant_lookup+head_linear
control-transition-topk-pair-order-signed-consistency-invariant-cross-direction-s42,V_control_symbolic_transition_topk_pair_order_signed_consistency_invariant_cross_direction,42,0.636364,0.333333,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_consistency_binary+readout_symbolic_transition_topk_pair_order_signed_consistency_invariant_cross_direction+head_linear
control-transition-topk-pair-order-signed-consistency-invariant-cross-direction-s123,V_control_symbolic_transition_topk_pair_order_signed_consistency_invariant_cross_direction,123,0.636364,0.333333,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_consistency_binary+readout_symbolic_transition_topk_pair_order_signed_consistency_invariant_cross_direction+head_linear
control-transition-topk-pair-order-signed-consistency-invariant-cross-direction-s777,V_control_symbolic_transition_topk_pair_order_signed_consistency_invariant_cross_direction,777,0.636364,0.333333,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_consistency_binary+readout_symbolic_transition_topk_pair_order_signed_consistency_invariant_cross_direction+head_linear
control-transition-topk-pair-order-signed-consistency-invariant-quadratic-s42,V_control_symbolic_transition_topk_pair_order_signed_consistency_invariant_quadratic,42,0.636364,0.333333,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_consistency_binary+readout_symbolic_transition_topk_pair_order_signed_consistency_invariant_quadratic+head_linear
control-transition-topk-pair-order-signed-consistency-invariant-quadratic-s123,V_control_symbolic_transition_topk_pair_order_signed_consistency_invariant_quadratic,123,0.636364,0.333333,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_consistency_binary+readout_symbolic_transition_topk_pair_order_signed_consistency_invariant_quadratic+head_linear
control-transition-topk-pair-order-signed-consistency-invariant-quadratic-s777,V_control_symbolic_transition_topk_pair_order_signed_consistency_invariant_quadratic,777,0.636364,0.333333,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_consistency_binary+readout_symbolic_transition_topk_pair_order_signed_consistency_invariant_quadratic+head_linear
control-transition-topk-pair-order-signed-consistency-invariant-orbit-permuted-s42,V_control_symbolic_transition_topk_pair_order_signed_consistency_invariant_orbit_permuted,42,0.636364,0.333333,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_consistency_binary+readout_symbolic_transition_topk_pair_order_signed_consistency_invariant_orbit_permuted+head_linear
control-transition-topk-pair-order-signed-consistency-invariant-orbit-permuted-s123,V_control_symbolic_transition_topk_pair_order_signed_consistency_invariant_orbit_permuted,123,0.636364,0.333333,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_consistency_binary+readout_symbolic_transition_topk_pair_order_signed_consistency_invariant_orbit_permuted+head_linear
control-transition-topk-pair-order-signed-consistency-invariant-orbit-permuted-s777,V_control_symbolic_transition_topk_pair_order_signed_consistency_invariant_orbit_permuted,777,0.636364,0.333333,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_consistency_binary+readout_symbolic_transition_topk_pair_order_signed_consistency_invariant_orbit_permuted+head_linear
