run_id,variant,seed,mae,rank_correlation,calibration_slope,data_mode
witness-transition_orbit_topk_pair_order_signed_drift_invariant-s42,V_future_relational_witness_transition_orbit_topk_pair_order_signed_drift_invariant,42,0.462202,0.059761,0.0,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_drift_response+readout_relational_witness_transition_orbit_topk_pair_order_signed_drift_invariant+head_linear
witness-transition_orbit_topk_pair_order_signed_drift_invariant-s123,V_future_relational_witness_transition_orbit_topk_pair_order_signed_drift_invariant,123,0.441209,-0.387298,-0.0,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_drift_response+readout_relational_witness_transition_orbit_topk_pair_order_signed_drift_invariant+head_linear
witness-transition_orbit_topk_pair_order_signed_drift_invariant-s777,V_future_relational_witness_transition_orbit_topk_pair_order_signed_drift_invariant,777,0.445859,0.322749,0.0,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_drift_response+readout_relational_witness_transition_orbit_topk_pair_order_signed_drift_invariant+head_linear
control-transition-topk-pair-order-signed-drift-invariant-lookup-s42,V_control_symbolic_transition_topk_pair_order_signed_drift_invariant_lookup,42,0.5,0.0,0.0,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_drift_response+readout_symbolic_transition_topk_pair_order_signed_drift_invariant_lookup+head_linear
control-transition-topk-pair-order-signed-drift-invariant-lookup-s123,V_control_symbolic_transition_topk_pair_order_signed_drift_invariant_lookup,123,0.5,0.0,0.0,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_drift_response+readout_symbolic_transition_topk_pair_order_signed_drift_invariant_lookup+head_linear
control-transition-topk-pair-order-signed-drift-invariant-lookup-s777,V_control_symbolic_transition_topk_pair_order_signed_drift_invariant_lookup,777,0.5,0.0,0.0,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_drift_response+readout_symbolic_transition_topk_pair_order_signed_drift_invariant_lookup+head_linear
control-transition-topk-pair-order-signed-drift-invariant-cross-direction-s42,V_control_symbolic_transition_topk_pair_order_signed_drift_invariant_cross_direction,42,0.49472,0.619113,0.0,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_drift_response+readout_symbolic_transition_topk_pair_order_signed_drift_invariant_cross_direction+head_linear
control-transition-topk-pair-order-signed-drift-invariant-cross-direction-s123,V_control_symbolic_transition_topk_pair_order_signed_drift_invariant_cross_direction,123,0.496342,0.316761,0.0,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_drift_response+readout_symbolic_transition_topk_pair_order_signed_drift_invariant_cross_direction+head_linear
control-transition-topk-pair-order-signed-drift-invariant-cross-direction-s777,V_control_symbolic_transition_topk_pair_order_signed_drift_invariant_cross_direction,777,0.495011,0.457544,0.0,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_drift_response+readout_symbolic_transition_topk_pair_order_signed_drift_invariant_cross_direction+head_linear
control-transition-topk-pair-order-signed-drift-invariant-quadratic-s42,V_control_symbolic_transition_topk_pair_order_signed_drift_invariant_quadratic,42,0.496778,0.619113,0.0,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_drift_response+readout_symbolic_transition_topk_pair_order_signed_drift_invariant_quadratic+head_linear
control-transition-topk-pair-order-signed-drift-invariant-quadratic-s123,V_control_symbolic_transition_topk_pair_order_signed_drift_invariant_quadratic,123,0.497857,0.316761,0.0,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_drift_response+readout_symbolic_transition_topk_pair_order_signed_drift_invariant_quadratic+head_linear
control-transition-topk-pair-order-signed-drift-invariant-quadratic-s777,V_control_symbolic_transition_topk_pair_order_signed_drift_invariant_quadratic,777,0.4969,0.457544,0.0,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_drift_response+readout_symbolic_transition_topk_pair_order_signed_drift_invariant_quadratic+head_linear
control-transition-topk-pair-order-signed-drift-invariant-orbit-permuted-s42,V_control_symbolic_transition_topk_pair_order_signed_drift_invariant_orbit_permuted,42,0.492361,0.619113,0.0,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_drift_response+readout_symbolic_transition_topk_pair_order_signed_drift_invariant_orbit_permuted+head_linear
control-transition-topk-pair-order-signed-drift-invariant-orbit-permuted-s123,V_control_symbolic_transition_topk_pair_order_signed_drift_invariant_orbit_permuted,123,0.49428,0.105587,0.0,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_drift_response+readout_symbolic_transition_topk_pair_order_signed_drift_invariant_orbit_permuted+head_linear
control-transition-topk-pair-order-signed-drift-invariant-orbit-permuted-s777,V_control_symbolic_transition_topk_pair_order_signed_drift_invariant_orbit_permuted,777,0.493304,0.387153,0.0,synthetic_transition_orbit_slot_invariant_topk_pair_order_signed_drift_response+readout_symbolic_transition_topk_pair_order_signed_drift_invariant_orbit_permuted+head_linear
