"variant","seed","accuracy","f1"
"V_control_symbolic_transition_topk_pair_order_signed_flip_hysteresis_invariant_cross_direction","42","0.636364","0.333333"
"V_control_symbolic_transition_topk_pair_order_signed_flip_hysteresis_invariant_cross_direction","123","0.636364","0.333333"
"V_control_symbolic_transition_topk_pair_order_signed_flip_hysteresis_invariant_cross_direction","777","0.636364","0.333333"
"V_control_symbolic_transition_topk_pair_order_signed_flip_hysteresis_invariant_lookup","42","0.454545","0.625"
"V_control_symbolic_transition_topk_pair_order_signed_flip_hysteresis_invariant_lookup","123","0.454545","0.625"
"V_control_symbolic_transition_topk_pair_order_signed_flip_hysteresis_invariant_lookup","777","0.454545","0.625"
"V_control_symbolic_transition_topk_pair_order_signed_flip_hysteresis_invariant_orbit_permuted","42","0.636364","0.333333"
"V_control_symbolic_transition_topk_pair_order_signed_flip_hysteresis_invariant_orbit_permuted","123","0.636364","0.333333"
"V_control_symbolic_transition_topk_pair_order_signed_flip_hysteresis_invariant_orbit_permuted","777","0.636364","0.333333"
"V_control_symbolic_transition_topk_pair_order_signed_flip_hysteresis_invariant_quadratic","42","0.636364","0.333333"
"V_control_symbolic_transition_topk_pair_order_signed_flip_hysteresis_invariant_quadratic","123","0.636364","0.333333"
"V_control_symbolic_transition_topk_pair_order_signed_flip_hysteresis_invariant_quadratic","777","0.636364","0.333333"
"V_future_relational_witness_transition_orbit_topk_pair_order_signed_flip_hysteresis_invariant","42","0.454545","0"
"V_future_relational_witness_transition_orbit_topk_pair_order_signed_flip_hysteresis_invariant","123","0.454545","0.25"
"V_future_relational_witness_transition_orbit_topk_pair_order_signed_flip_hysteresis_invariant","777","0.636364","0.5"
