task,seed,method,epochs,train_row_count,validation_loss,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_target_probability_mae,test_mean_top1_confidence,test_expected_calibration_error,final_training_loss
phase_cued_retrieval,307,no_position,45,8,4.851904,4.852052,128.002843,0.0,0.015703,0.007812,0.992188,0.007814,0.007814,4.851942
phase_cued_retrieval,307,sinusoidal,45,8,4.851904,4.852052,128.002789,0.0,0.01592,0.007812,0.992188,0.007814,0.007814,4.851942
phase_cued_retrieval,307,alibi,45,8,4.851903,4.852052,128.002813,0.0,0.015713,0.007812,0.992188,0.007814,0.007814,4.851944
phase_cued_retrieval,307,rope,45,8,4.851903,4.852052,128.002835,0.0,0.015703,0.007812,0.992188,0.007814,0.007814,4.851942
phase_cued_retrieval,307,phasewrap_bias,45,8,4.8519,4.852053,128.002879,0.0,0.015424,0.007812,0.992188,0.007814,0.007814,4.851945
phase_cued_retrieval,307,phasewrap_adapter,45,8,4.8519,4.852053,128.002863,0.0,0.015441,0.007812,0.992188,0.007814,0.007814,4.851945
phase_cued_retrieval,311,no_position,45,8,4.852007,4.851965,127.991593,0.125,0.202328,0.007813,0.992187,0.007814,0.117186,4.851953
phase_cued_retrieval,311,sinusoidal,45,8,4.852007,4.851965,127.991602,0.125,0.202328,0.007813,0.992187,0.007814,0.117186,4.851953
phase_cued_retrieval,311,alibi,45,8,4.852007,4.851965,127.991594,0.125,0.202328,0.007813,0.992187,0.007814,0.117186,4.851953
phase_cued_retrieval,311,rope,45,8,4.852007,4.851965,127.991596,0.125,0.202328,0.007813,0.992187,0.007814,0.117186,4.851953
phase_cued_retrieval,311,phasewrap_bias,45,8,4.852007,4.851964,127.991576,0.125,0.202311,0.007813,0.992187,0.007814,0.117186,4.851953
phase_cued_retrieval,311,phasewrap_adapter,45,8,4.852007,4.851964,127.991576,0.125,0.202328,0.007813,0.992187,0.007814,0.117186,4.851953
phase_cued_retrieval,313,no_position,45,8,4.852014,4.852013,127.997748,0.0,0.068777,0.007813,0.992187,0.007814,0.007814,4.851994
phase_cued_retrieval,313,sinusoidal,45,8,4.852013,4.852012,127.997639,0.0,0.073442,0.007813,0.992187,0.007814,0.007814,4.851994
phase_cued_retrieval,313,alibi,45,8,4.852014,4.852013,127.997825,0.0,0.069265,0.007813,0.992187,0.007814,0.007814,4.851994
phase_cued_retrieval,313,rope,45,8,4.852014,4.852013,127.997771,0.0,0.069275,0.007813,0.992187,0.007814,0.007814,4.851994
phase_cued_retrieval,313,phasewrap_bias,45,8,4.852014,4.852013,127.997753,0.0,0.063667,0.007813,0.992187,0.007814,0.007814,4.851994
phase_cued_retrieval,313,phasewrap_adapter,45,8,4.852014,4.852013,127.997765,0.0,0.063667,0.007813,0.992187,0.007814,0.007814,4.851994
phase_cued_retrieval,317,no_position,45,8,4.852058,4.852061,128.003996,0.0,0.017484,0.007812,0.992188,0.007814,0.007814,4.852014
phase_cued_retrieval,317,sinusoidal,45,8,4.852057,4.85206,128.003853,0.0,0.017211,0.007812,0.992188,0.007814,0.007814,4.852013
phase_cued_retrieval,317,alibi,45,8,4.852058,4.852061,128.003963,0.0,0.017401,0.007812,0.992188,0.007814,0.007814,4.852014
phase_cued_retrieval,317,rope,45,8,4.852058,4.852061,128.003956,0.0,0.017483,0.007812,0.992188,0.007814,0.007814,4.852014
phase_cued_retrieval,317,phasewrap_bias,45,8,4.852057,4.85206,128.00379,0.0,0.016573,0.007812,0.992188,0.007814,0.007814,4.852016
phase_cued_retrieval,317,phasewrap_adapter,45,8,4.852057,4.85206,128.003774,0.0,0.01661,0.007812,0.992188,0.007814,0.007814,4.852016
phase_cued_retrieval,331,no_position,45,8,4.852065,4.85203,127.999985,0.0,0.022703,0.007813,0.992187,0.007814,0.007814,4.851965
phase_cued_retrieval,331,sinusoidal,45,8,4.852066,4.85203,127.999986,0.0,0.022728,0.007813,0.992187,0.007814,0.007814,4.851965
phase_cued_retrieval,331,alibi,45,8,4.852066,4.85203,127.999977,0.0,0.022703,0.007813,0.992187,0.007814,0.007814,4.851965
phase_cued_retrieval,331,rope,45,8,4.852065,4.85203,127.99998,0.0,0.022729,0.007813,0.992187,0.007814,0.007814,4.851965
phase_cued_retrieval,331,phasewrap_bias,45,8,4.852066,4.852031,128.000046,0.0,0.022895,0.007812,0.992188,0.007814,0.007814,4.851965
phase_cued_retrieval,331,phasewrap_adapter,45,8,4.852066,4.852031,128.000044,0.0,0.023021,0.007812,0.992188,0.007814,0.007814,4.851965
exact_offset_passkey,307,no_position,45,8,4.852026,4.852013,127.997821,0.0,0.029395,0.007813,0.992187,0.007814,0.007814,4.851957
exact_offset_passkey,307,sinusoidal,45,8,4.852024,4.852012,127.997725,0.0,0.029751,0.007813,0.992187,0.007814,0.007814,4.851958
