task,method,seed_count,failed_run_count,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_target_probability_mae_mean,test_target_probability_mae_ci_low,test_target_probability_mae_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high
phase_cued_retrieval,no_position,5,0,4.852024,4.851992,4.852053,127.999233,127.995286,128.002733,0.025,0.0,0.075,0.065399,0.017459,0.130478,0.007813,0.007812,0.007813,0.992187,0.992187,0.992188,0.007814,0.007814,0.007814,0.029688,0.007814,0.073437
phase_cued_retrieval,sinusoidal,5,0,4.852024,4.851995,4.852049,127.999174,127.995224,128.002654,0.025,0.0,0.075,0.066326,0.018901,0.139269,0.007813,0.007812,0.007813,0.992187,0.992187,0.992188,0.007814,0.007814,0.007814,0.029688,0.007814,0.073437
phase_cued_retrieval,alibi,5,0,4.852024,4.851994,4.852053,127.999234,127.995084,128.002706,0.025,0.0,0.075,0.065482,0.017063,0.13873,0.007813,0.007812,0.007813,0.992187,0.992187,0.992188,0.007814,0.007814,0.007814,0.029688,0.007814,0.073437
phase_cued_retrieval,rope,5,0,4.852024,4.851994,4.852051,127.999228,127.994508,128.002495,0.025,0.0,0.075,0.065504,0.01782,0.138748,0.007813,0.007812,0.007813,0.992187,0.992187,0.992188,0.007814,0.007814,0.007814,0.029688,0.007814,0.073437
phase_cued_retrieval,phasewrap_bias,5,0,4.852024,4.851993,4.85205,127.999209,127.994964,128.002495,0.025,0.0,0.075,0.064174,0.017378,0.130545,0.007812,0.007812,0.007813,0.992188,0.992187,0.992188,0.007814,0.007814,0.007814,0.029688,0.007814,0.073437
phase_cued_retrieval,phasewrap_adapter,5,0,4.852024,4.851993,4.852051,127.999204,127.995527,128.00239,0.025,0.0,0.075,0.064213,0.017425,0.129323,0.007812,0.007812,0.007813,0.992188,0.992187,0.992188,0.007814,0.007814,0.007814,0.029688,0.007814,0.073437
exact_offset_passkey,no_position,5,0,4.852021,4.852014,4.852029,127.99888,127.997864,127.999896,0.025,0.0,0.075,0.052068,0.027736,0.09958,0.007813,0.007812,0.007813,0.992187,0.992187,0.992188,0.007814,0.007814,0.007815,0.029689,0.007814,0.073437
exact_offset_passkey,sinusoidal,5,0,4.852021,4.852013,4.85203,127.998883,127.997836,127.999931,0.025,0.0,0.075,0.052092,0.027476,0.09981,0.007813,0.007812,0.007813,0.992187,0.992187,0.992188,0.007814,0.007814,0.007815,0.029689,0.007814,0.073437
exact_offset_passkey,alibi,5,0,4.852021,4.852013,4.852029,127.998864,127.99781,127.999811,0.025,0.0,0.075,0.051887,0.027276,0.099279,0.007813,0.007812,0.007813,0.992187,0.992187,0.992188,0.007814,0.007814,0.007815,0.029689,0.007814,0.073437
exact_offset_passkey,rope,5,0,4.852021,4.852013,4.852029,127.998875,127.99785,127.999901,0.025,0.0,0.075,0.052096,0.02747,0.099589,0.007813,0.007812,0.007813,0.992187,0.992187,0.992188,0.007814,0.007814,0.007815,0.029689,0.007814,0.073437
