job_id,provider,window_id,job_kind,ready,target_evidence_path,missing_evidence
amazon_braket__independent_window_00__calibration__state_00,amazon_braket,amazon_braket__independent_window_00,known_state_calibration,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/calibration/amazon_braket_known_state_execution.json,job_result_missing
amazon_braket__independent_window_00__calibration__state_01,amazon_braket,amazon_braket__independent_window_00,known_state_calibration,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/calibration/amazon_braket_known_state_execution.json,job_result_missing
amazon_braket__independent_window_00__calibration__state_10,amazon_braket,amazon_braket__independent_window_00,known_state_calibration,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/calibration/amazon_braket_known_state_execution.json,job_result_missing
amazon_braket__independent_window_00__calibration__state_11,amazon_braket,amazon_braket__independent_window_00,known_state_calibration,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/calibration/amazon_braket_known_state_execution.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__phasewrap__hwrow-000,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__phasewrap.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__phasewrap__hwrow-001,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__phasewrap.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__phasewrap__hwrow-002,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__phasewrap.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__phasewrap__hwrow-003,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__phasewrap.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__phasewrap__hwrow-004,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__phasewrap.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__phasewrap__hwrow-005,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__phasewrap.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__phasewrap__hwrow-006,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__phasewrap.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__phasewrap__hwrow-007,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__phasewrap.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__rope_like__hwrow-000,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__rope_like.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__rope_like__hwrow-001,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__rope_like.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__rope_like__hwrow-002,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__rope_like.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__rope_like__hwrow-003,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__rope_like.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__rope_like__hwrow-004,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__rope_like.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__rope_like__hwrow-005,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__rope_like.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__rope_like__hwrow-006,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__rope_like.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__rope_like__hwrow-007,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__rope_like.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__sinusoidal_like__hwrow-000,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__sinusoidal_like.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__sinusoidal_like__hwrow-001,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__sinusoidal_like.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__sinusoidal_like__hwrow-002,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__sinusoidal_like.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__sinusoidal_like__hwrow-003,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__sinusoidal_like.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__sinusoidal_like__hwrow-004,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__sinusoidal_like.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__sinusoidal_like__hwrow-005,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__sinusoidal_like.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__sinusoidal_like__hwrow-006,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__sinusoidal_like.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__sinusoidal_like__hwrow-007,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__sinusoidal_like.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__alibi_like__hwrow-000,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__alibi_like.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__alibi_like__hwrow-001,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__alibi_like.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__alibi_like__hwrow-002,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__alibi_like.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__alibi_like__hwrow-003,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__alibi_like.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__alibi_like__hwrow-004,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__alibi_like.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__alibi_like__hwrow-005,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__alibi_like.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__alibi_like__hwrow-006,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__alibi_like.json,job_result_missing
amazon_braket__independent_window_00__packet__braket_product_seed2718_rows8_shots1000__alibi_like__hwrow-007,amazon_braket,amazon_braket__independent_window_00,matched_packet_row,False,logs/automated_stage_gates/stage107_window_execution_orchestrator/windows/amazon_braket__independent_window_00/packet_executions/braket_product_seed2718_rows8_shots1000__alibi_like.json,job_result_missing
