example_id,seed,task,sequence_length,reference_delta,target_deltas,target_rule,phasewrap_rope_8_12_first_relevant_rank,phasewrap_rope_8_12_target_probability_mass,rope_relative_first_relevant_rank,rope_relative_target_probability_mass,alibi_first_relevant_rank,alibi_target_probability_mass,sinusoidal_first_relevant_rank,sinusoidal_target_probability_mass,no_position_first_relevant_rank,no_position_target_probability_mass
passkey_exact_seed401_L128_000,401,passkey_exact,128,65,65,exact passkey offset chosen by RNG and exposed as the query offset,3,0.06460728,1,0.12937597,6,0.08690109,1,0.15415038,6,0.0885933
multi_needle_seed401_L128_000,401,multi_needle,128,13,13,third same-token occurrence in increasing delta order,7,0.02201847,1,0.12927169,3,0.1132319,1,0.14961698,10,0.08139971
aggregation_seed401_L128_000,401,aggregation,128,54,54;65,two explicit offsets selected by the aggregation packet generator,7,0.04804513,1,0.17428051,7,0.13075758,1,0.18988727,6,0.14005505
passkey_exact_seed401_L128_001,401,passkey_exact,128,118,118,exact passkey offset chosen by RNG and exposed as the query offset,5,0.04761244,1,0.13072334,9,0.06139544,1,0.14722467,3,0.0885933
multi_needle_seed401_L128_001,401,multi_needle,128,28,28,third same-token occurrence in increasing delta order,9,0.02523847,1,0.11822991,3,0.10236704,1,0.13641514,10,0.08139971
aggregation_seed401_L128_001,401,aggregation,128,34,34;45,two explicit offsets selected by the aggregation packet generator,9,0.06806035,1,0.1848477,4,0.16651564,1,0.20830068,10,0.14005505
passkey_exact_seed401_L128_002,401,passkey_exact,128,40,40,exact passkey offset chosen by RNG and exposed as the query offset,8,0.02751351,1,0.13286836,4,0.11317635,1,0.15351688,8,0.0885933
multi_needle_seed401_L128_002,401,multi_needle,128,16,16,third same-token occurrence in increasing delta order,7,0.03978808,1,0.12825982,3,0.11148645,1,0.15209453,10,0.08139971
aggregation_seed401_L128_002,401,aggregation,128,45,45;55,two explicit offsets selected by the aggregation packet generator,7,0.07298879,1,0.17589447,3,0.15766352,1,0.18936387,9,0.14005505
passkey_exact_seed401_L128_003,401,passkey_exact,128,52,52,exact passkey offset chosen by RNG and exposed as the query offset,3,0.04234664,1,0.13458945,6,0.08782715,1,0.16123111,6,0.0885933
multi_needle_seed401_L128_003,401,multi_needle,128,51,51,third same-token occurrence in increasing delta order,6,0.02309396,1,0.12471577,3,0.09445792,1,0.1492693,10,0.08139971
aggregation_seed401_L128_003,401,aggregation,128,85,85;91,two explicit offsets selected by the aggregation packet generator,4,0.1159818,1,0.16994082,10,0.12557874,1,0.18054369,4,0.14005505
passkey_exact_seed401_L256_000,401,passkey_exact,256,194,194,exact passkey offset chosen by RNG and exposed as the query offset,7,0.02301939,1,0.13640193,7,0.06953941,1,0.15791517,5,0.08617112
multi_needle_seed401_L256_000,401,multi_needle,256,28,28,third same-token occurrence in increasing delta order,9,0.02013754,1,0.12531036,3,0.10407141,1,0.16263233,10,0.07935036
aggregation_seed401_L256_000,401,aggregation,256,148,148;160,two explicit offsets selected by the aggregation packet generator,7,0.03937675,1,0.18303074,7,0.13294629,1,0.20036435,6,0.1370109
passkey_exact_seed401_L256_001,401,passkey_exact,256,243,243,exact passkey offset chosen by RNG and exposed as the query offset,4,0.03613835,1,0.13924855,11,0.05305675,1,0.17615691,1,0.08617112
multi_needle_seed401_L256_001,401,multi_needle,256,96,96,third same-token occurrence in increasing delta order,7,0.02850003,1,0.12729119,3,0.09482016,1,0.15549212,10,0.07935036
