method,row_count,seed_count,task_count,sequence_length_min,sequence_length_max,top1_accuracy,top1_ci_low,top1_ci_high,mrr,mrr_ci_low,mrr_ci_high,mean_target_probability_mass,target_probability_mass_ci_low,target_probability_mass_ci_high,mean_first_relevant_rank,task
phasewrap_rope_8_12,80,5,1,128,1024,0.0,0.0,0.0,0.134915,0.120837,0.151291,0.026914,0.0236,0.030567,9.6375,passkey_exact
rope_relative,80,5,1,128,1024,1.0,1.0,1.0,1.0,1.0,1.0,0.104367,0.097154,0.111866,1.0,passkey_exact
alibi,80,5,1,128,1024,0.0,0.0,0.0,0.141323,0.121876,0.161737,0.060141,0.054774,0.065737,10.1375,passkey_exact
sinusoidal,80,5,1,128,1024,1.0,1.0,1.0,1.0,1.0,1.0,0.122388,0.114226,0.129897,1.0,passkey_exact
no_position,80,5,1,128,1024,0.0875,0.0375,0.1625,0.231682,0.177174,0.28892,0.06446,0.058962,0.069618,8.8625,passkey_exact
phasewrap_rope_8_12,80,5,1,128,1024,0.0,0.0,0.0,0.115296,0.104837,0.126023,0.022212,0.019919,0.024686,10.85,multi_needle
rope_relative,80,5,1,128,1024,1.0,1.0,1.0,1.0,1.0,1.0,0.097927,0.091499,0.105018,1.0,multi_needle
alibi,80,5,1,128,1024,0.0,0.0,0.0,0.333333,0.333333,0.333333,0.076939,0.071525,0.082208,3.0,multi_needle
sinusoidal,80,5,1,128,1024,1.0,1.0,1.0,1.0,1.0,1.0,0.115323,0.107877,0.122337,1.0,multi_needle
no_position,80,5,1,128,1024,0.0,0.0,0.0,0.072978,0.066857,0.079513,0.059696,0.054592,0.06437,17.5,multi_needle
phasewrap_rope_8_12,80,5,1,128,1024,0.0625,0.0125,0.125,0.220384,0.173293,0.271182,0.069694,0.058528,0.080616,7.675,aggregation
rope_relative,80,5,1,128,1024,1.0,1.0,1.0,1.0,1.0,1.0,0.145218,0.136609,0.154538,1.0,aggregation
alibi,80,5,1,128,1024,0.0,0.0,0.0,0.122891,0.10447,0.144932,0.095125,0.087384,0.103597,12.2625,aggregation
sinusoidal,80,5,1,128,1024,1.0,1.0,1.0,1.0,1.0,1.0,0.161951,0.152123,0.171245,1.0,aggregation
no_position,80,5,1,128,1024,0.15,0.075,0.225,0.30931,0.243107,0.379507,0.107,0.098859,0.114339,7.1875,aggregation
