row_count,loss,perplexity,top1_accuracy,top1_ci_low,top1_ci_high,mrr,mrr_ci_low,mrr_ci_high,mean_target_probability_mass,target_probability_mass_ci_low,target_probability_mass_ci_high,mean_first_relevant_rank,method,task
20,3.496508,33.0,0.05,0.0,0.15,0.122659,0.060123,0.220586,0.030303,0.030303,0.030303,16.55,no_position,passkey_exact
20,3.583519,36.0,0.0,0.0,0.0,0.029412,0.029412,0.029412,0.027778,0.027778,0.027778,34.0,no_position,multi_needle
20,2.890372,18.0,0.1,0.0,0.25,0.202034,0.091714,0.330918,0.055556,0.055556,0.055556,12.5,no_position,aggregation
20,3.517476,33.699266,0.0,0.0,0.0,0.06895,0.057222,0.080972,0.029874,0.028393,0.031291,17.45,alibi,passkey_exact
20,3.373576,29.182692,0.0,0.0,0.0,0.333333,0.333333,0.333333,0.034278,0.03391,0.034667,3.0,alibi,multi_needle
20,2.967405,19.441411,0.0,0.0,0.0,0.057303,0.044447,0.072161,0.051782,0.049066,0.054322,21.25,alibi,aggregation
20,0.192103,1.211795,1.0,1.0,1.0,1.0,1.0,1.0,0.829737,0.792466,0.865785,1.0,rope_relative,passkey_exact
20,0.22854,1.256764,1.0,1.0,1.0,1.0,1.0,1.0,0.801031,0.762358,0.83645,1.0,rope_relative,multi_needle
20,0.189836,1.209052,1.0,1.0,1.0,1.0,1.0,1.0,0.833877,0.787184,0.877285,1.0,rope_relative,aggregation
20,0.93854,2.556246,0.75,0.55,0.9,0.858333,0.741667,0.95,0.403851,0.361286,0.444875,1.35,sinusoidal,passkey_exact
20,1.047219,2.849714,0.45,0.25,0.7,0.716667,0.608333,0.825,0.360323,0.32373,0.397565,1.6,sinusoidal,multi_needle
20,1.007899,2.73984,0.8,0.6,0.95,0.9,0.8,0.975,0.381018,0.334201,0.428242,1.2,sinusoidal,aggregation
20,3.247407,25.723555,0.0,0.0,0.0,0.062774,0.05759,0.068548,0.039057,0.037436,0.040754,16.55,phasewrap_score,passkey_exact
20,3.31398,27.49434,0.0,0.0,0.0,0.056055,0.052175,0.060152,0.036516,0.03513,0.037899,18.25,phasewrap_score,multi_needle
20,2.902442,18.218588,0.05,0.0,0.15,0.123753,0.059476,0.249467,0.05783,0.050084,0.066701,15.5,phasewrap_score,aggregation
20,1.364536,3.913906,0.55,0.35,0.75,0.733333,0.5875,0.854167,0.27429,0.226299,0.318937,1.75,phasewrap_residual_adapter,passkey_exact
20,1.449099,4.259277,0.2,0.05,0.4,0.516667,0.408333,0.641667,0.244193,0.214327,0.275419,2.35,phasewrap_residual_adapter,multi_needle
20,1.356224,3.881507,0.6,0.4,0.8,0.770833,0.641667,0.891667,0.264137,0.237243,0.294466,1.6,phasewrap_residual_adapter,aggregation
20,0.937633,2.55393,1.0,1.0,1.0,1.0,1.0,1.0,0.404775,0.356674,0.45518,1.0,phasewrap_distance_adapter,passkey_exact
20,0.790025,2.203452,1.0,1.0,1.0,1.0,1.0,1.0,0.467463,0.414925,0.51405,1.0,phasewrap_distance_adapter,multi_needle
20,0.908679,2.481042,1.0,1.0,1.0,1.0,1.0,1.0,0.415078,0.370363,0.469576,1.0,phasewrap_distance_adapter,aggregation
