row_count,loss,perplexity,top1_accuracy,top1_ci_low,top1_ci_high,mrr,mrr_ci_low,mrr_ci_high,mean_target_value_probability,target_value_probability_ci_low,target_value_probability_ci_high,mean_first_relevant_value_rank,method,task
20,3.392535,29.741265,0.05,0.0,0.15,0.164709,0.084757,0.281039,0.034848,0.030303,0.039394,13.3,no_position,passkey_exact
20,3.514204,33.589188,0.1,0.0,0.25,0.16411,0.059058,0.29413,0.030556,0.027778,0.034722,18.7,no_position,multi_needle
20,2.794895,16.360905,0.1,0.0,0.25,0.256556,0.143022,0.394861,0.0625,0.056944,0.069444,11.4,no_position,aggregation
20,3.415981,30.446813,0.1,0.0,0.25,0.178599,0.063221,0.315282,0.034419,0.029709,0.040062,15.85,alibi,passkey_exact
20,3.312056,27.441475,0.1,0.0,0.25,0.278929,0.188571,0.398214,0.037174,0.034119,0.041467,4.85,alibi,multi_needle
20,2.854345,17.363069,0.1,0.0,0.25,0.186717,0.072147,0.324006,0.058875,0.053436,0.064656,15.95,alibi,aggregation
20,0.191951,1.211611,1.0,1.0,1.0,1.0,1.0,1.0,0.829863,0.792555,0.866015,1.0,rope_relative,passkey_exact
20,0.228429,1.256625,1.0,1.0,1.0,1.0,1.0,1.0,0.801128,0.762358,0.836657,1.0,rope_relative,multi_needle
20,0.17695,1.193571,1.0,1.0,1.0,1.0,1.0,1.0,0.843671,0.801481,0.883514,1.0,rope_relative,aggregation
20,0.938003,2.554874,0.8,0.6,0.95,0.8875,0.7625,0.975,0.404083,0.361424,0.445034,1.3,sinusoidal,passkey_exact
20,1.039092,2.826648,0.65,0.4,0.85,0.816667,0.7,0.925,0.363219,0.324041,0.398976,1.4,sinusoidal,multi_needle
20,0.972078,2.643431,0.75,0.55,0.95,0.875,0.775,0.95,0.391591,0.347703,0.437318,1.25,sinusoidal,aggregation
20,3.14659,23.256631,0.05,0.0,0.15,0.145608,0.065969,0.264599,0.044492,0.039415,0.051053,14.05,phasewrap_score,passkey_exact
20,3.249766,25.784303,0.05,0.0,0.15,0.127708,0.057029,0.225591,0.039903,0.035693,0.04507,15.75,phasewrap_score,multi_needle
20,2.791735,16.309291,0.05,0.0,0.15,0.168506,0.084698,0.27942,0.065635,0.055484,0.076249,13.1,phasewrap_score,aggregation
20,1.359241,3.893239,0.6,0.4,0.8,0.779167,0.658333,0.9,0.27537,0.22801,0.319294,1.55,phasewrap_residual_adapter,passkey_exact
20,1.411988,4.104107,0.5,0.3,0.7,0.695833,0.558333,0.825,0.25896,0.218187,0.306189,1.85,phasewrap_residual_adapter,multi_needle
20,1.3512,3.862056,0.4,0.2,0.65,0.679167,0.566667,0.8,0.265428,0.238904,0.296562,1.75,phasewrap_residual_adapter,aggregation
20,0.933351,2.543017,1.0,1.0,1.0,1.0,1.0,1.0,0.406146,0.359495,0.456035,1.0,phasewrap_distance_adapter,passkey_exact
20,0.778496,2.178193,1.0,1.0,1.0,1.0,1.0,1.0,0.473362,0.420627,0.52135,1.0,phasewrap_distance_adapter,multi_needle
20,0.90222,2.465069,1.0,1.0,1.0,1.0,1.0,1.0,0.417707,0.372354,0.470795,1.0,phasewrap_distance_adapter,aggregation
