noise_model_id,provider,source_lane_id,circuit_template,phasewrap_mean_absolute_score_error,best_positional_comparator_mean_absolute_score_error,no_position_control_mean_absolute_score_error,phasewrap_beats_positional_comparators,phasewrap_beats_all_families_including_control
biased_observable_plus_2pct,amazon_braket,braket_cx_seed2718_rows8_shots1000,two_ry_cx_parity_z_readout_v1,0.00497288078,0.005700729651,0.01,True,True
biased_observable_plus_2pct,amazon_braket,braket_product_seed2718_rows8_shots1000,two_ry_product_state_z_readout_v1,0.00497288078,0.005700729651,0.01,True,True
biased_observable_plus_2pct,ibm_runtime,ibm_cx_seed314_rows16_shots4096,two_ry_cx_parity_z_readout_v1,0.006554178786,0.005640549437,0.010009765625,False,False
biased_observable_plus_2pct,ibm_runtime,ibm_cx_seed577_rows16_shots4096,two_ry_cx_parity_z_readout_v1,0.005922770506,0.00625728369,0.010009765625,True,True
biased_observable_plus_2pct,ibm_runtime,ibm_product_seed314_rows16_shots4096,two_ry_product_state_z_readout_v1,0.006554178786,0.005640549437,0.010009765625,False,False
biased_observable_plus_2pct,ibm_runtime,ibm_product_seed577_rows16_shots4096,two_ry_product_state_z_readout_v1,0.005922770506,0.00625728369,0.010009765625,True,True
ideal_deterministic_counts,amazon_braket,braket_cx_seed2718_rows8_shots1000,two_ry_cx_parity_z_readout_v1,3.538078e-05,6.9055827e-05,0.0,True,False
ideal_deterministic_counts,amazon_braket,braket_product_seed2718_rows8_shots1000,two_ry_product_state_z_readout_v1,3.538078e-05,6.9055827e-05,0.0,True,False
ideal_deterministic_counts,ibm_runtime,ibm_cx_seed314_rows16_shots4096,two_ry_cx_parity_z_readout_v1,1.6316557e-05,9.673212e-06,0.0,False,False
ideal_deterministic_counts,ibm_runtime,ibm_cx_seed577_rows16_shots4096,two_ry_cx_parity_z_readout_v1,1.7393786e-05,1.0853387e-05,0.0,False,False
ideal_deterministic_counts,ibm_runtime,ibm_product_seed314_rows16_shots4096,two_ry_product_state_z_readout_v1,1.6316557e-05,9.673212e-06,0.0,False,False
ideal_deterministic_counts,ibm_runtime,ibm_product_seed577_rows16_shots4096,two_ry_product_state_z_readout_v1,1.7393786e-05,1.0853387e-05,0.0,False,False
observable_depolarizing_5pct,amazon_braket,braket_cx_seed2718_rows8_shots1000,two_ry_cx_parity_z_readout_v1,0.01178538078,0.009618444174,0.0,False,False
observable_depolarizing_5pct,amazon_braket,braket_product_seed2718_rows8_shots1000,two_ry_product_state_z_readout_v1,0.01178538078,0.009618444174,0.0,False,False
observable_depolarizing_5pct,ibm_runtime,ibm_cx_seed314_rows16_shots4096,two_ry_cx_parity_z_readout_v1,0.010898438322,0.009617788988,0.0,False,False
observable_depolarizing_5pct,ibm_runtime,ibm_cx_seed577_rows16_shots4096,two_ry_cx_parity_z_readout_v1,0.011869202894,0.01021047921,0.0,False,False
observable_depolarizing_5pct,ibm_runtime,ibm_product_seed314_rows16_shots4096,two_ry_product_state_z_readout_v1,0.010898438322,0.009617788988,0.0,False,False
observable_depolarizing_5pct,ibm_runtime,ibm_product_seed577_rows16_shots4096,two_ry_product_state_z_readout_v1,0.011869202894,0.01021047921,0.0,False,False
readout1pct_ry_overrotation1pct_bias1pct,amazon_braket,braket_cx_seed2718_rows8_shots1000,two_ry_cx_parity_z_readout_v1,0.00522288078,0.006422096142,0.003,True,False
readout1pct_ry_overrotation1pct_bias1pct,amazon_braket,braket_product_seed2718_rows8_shots1000,two_ry_product_state_z_readout_v1,0.00441038078,0.003359596142,0.003,False,False
readout1pct_ry_overrotation1pct_bias1pct,ibm_runtime,ibm_cx_seed314_rows16_shots4096,two_ry_cx_parity_z_readout_v1,0.004939881194,0.006722665734,0.002685546875,True,False
readout1pct_ry_overrotation1pct_bias1pct,ibm_runtime,ibm_cx_seed577_rows16_shots4096,two_ry_cx_parity_z_readout_v1,0.005758057874,0.00702745115,0.002685546875,True,False
readout1pct_ry_overrotation1pct_bias1pct,ibm_runtime,ibm_product_seed314_rows16_shots4096,two_ry_product_state_z_readout_v1,0.003490296233,0.003874090587,0.002685546875,True,False
readout1pct_ry_overrotation1pct_bias1pct,ibm_runtime,ibm_product_seed577_rows16_shots4096,two_ry_product_state_z_readout_v1,0.003621827406,0.003815476052,0.002685546875,True,False
