row_count,loss,perplexity,top1_accuracy,top1_ci_low,top1_ci_high,mrr,mrr_ci_low,mrr_ci_high,mean_target_value_probability,target_value_probability_ci_low,target_value_probability_ci_high,mean_first_relevant_value_rank,method,task
20,3.392535,29.741265,0.05,0.0,0.15,0.164709,0.084757,0.281039,0.034848,0.030303,0.039394,13.3,no_position,passkey_exact
20,3.514204,33.589188,0.1,0.0,0.25,0.16411,0.059058,0.29413,0.030556,0.027778,0.034722,18.7,no_position,multi_needle
20,2.794895,16.360905,0.1,0.0,0.25,0.256556,0.143022,0.394861,0.0625,0.056944,0.069444,11.4,no_position,aggregation
20,3.394089,29.787511,0.1,0.0,0.25,0.178599,0.063221,0.315282,0.034816,0.030249,0.039502,15.85,alibi,passkey_exact
20,3.490591,32.805317,0.1,0.0,0.25,0.278929,0.188571,0.398214,0.031261,0.028453,0.035446,4.85,alibi,multi_needle
20,2.800502,16.452898,0.1,0.0,0.25,0.186717,0.072147,0.324006,0.062113,0.05664,0.068686,15.95,alibi,aggregation
20,0.363595,1.438492,0.9,0.75,1.0,0.95,0.875,1.0,0.710085,0.649072,0.765261,1.1,rope_relative,passkey_exact
20,0.536045,1.709234,0.9,0.75,1.0,0.95,0.875,1.0,0.594672,0.548986,0.646987,1.1,rope_relative,multi_needle
20,0.329595,1.390406,1.0,1.0,1.0,1.0,1.0,1.0,0.729874,0.672635,0.779442,1.0,rope_relative,aggregation
20,0.730869,2.076885,0.8,0.6,0.95,0.8875,0.7625,0.975,0.501248,0.445534,0.555268,1.3,sinusoidal,passkey_exact
20,0.822639,2.2765,0.65,0.4,0.85,0.816667,0.7,0.925,0.452152,0.40306,0.498722,1.4,sinusoidal,multi_needle
20,0.779526,2.180439,0.75,0.55,0.95,0.875,0.775,0.95,0.475972,0.418779,0.534547,1.25,sinusoidal,aggregation
20,3.120234,22.651674,0.05,0.0,0.15,0.145608,0.065969,0.264599,0.045682,0.040396,0.052432,14.05,phasewrap_score,passkey_exact
20,3.223099,25.1058,0.05,0.0,0.15,0.127708,0.057029,0.225591,0.040993,0.036663,0.046317,15.75,phasewrap_score,multi_needle
20,2.783893,16.181896,0.05,0.0,0.15,0.168506,0.084698,0.27942,0.066161,0.055898,0.076751,13.1,phasewrap_score,aggregation
20,1.120734,3.067104,0.6,0.4,0.8,0.779167,0.658333,0.9,0.352639,0.289205,0.404851,1.55,phasewrap_residual_adapter,passkey_exact
20,1.180342,3.255489,0.5,0.3,0.7,0.695833,0.558333,0.825,0.328014,0.272116,0.388666,1.85,phasewrap_residual_adapter,multi_needle
20,1.123271,3.074895,0.4,0.2,0.65,0.679167,0.566667,0.8,0.334871,0.298469,0.374286,1.75,phasewrap_residual_adapter,aggregation
20,0.714524,2.043215,1.0,1.0,1.0,1.0,1.0,1.0,0.498528,0.455255,0.543175,1.0,phasewrap_distance_adapter,passkey_exact
20,0.626907,1.871812,1.0,1.0,1.0,1.0,1.0,1.0,0.545433,0.497756,0.594179,1.0,phasewrap_distance_adapter,multi_needle
20,0.704345,2.022522,1.0,1.0,1.0,1.0,1.0,1.0,0.504583,0.45898,0.554085,1.0,phasewrap_distance_adapter,aggregation
