method,init_seed,row_count,top1_accuracy,mrr,mean_target_value_probability,mean_first_relevant_value_rank,loss
no_position,1009,60,0.083333,0.195125,0.042635,14.466667,3.233878
no_position,1013,60,0.083333,0.195125,0.042635,14.466667,3.233878
no_position,1019,60,0.083333,0.195125,0.042635,14.466667,3.233878
no_position,1021,60,0.083333,0.195125,0.042635,14.466667,3.233878
no_position,1031,60,0.083333,0.195125,0.042635,14.466667,3.233878
alibi,1009,60,0.1,0.214748,0.042686,12.216667,3.230919
alibi,1013,60,0.1,0.214748,0.042768,12.216667,3.226309
alibi,1019,60,0.1,0.214748,0.042735,12.216667,3.228126
alibi,1021,60,0.1,0.214748,0.042701,12.216667,3.230055
alibi,1031,60,0.1,0.214748,0.042676,12.216667,3.231469
rope_relative,1009,60,1.0,1.0,0.731759,1.0,0.324207
rope_relative,1013,60,1.0,1.0,0.710769,1.0,0.356619
rope_relative,1019,60,0.983333,0.991667,0.693826,1.016667,0.383836
rope_relative,1021,60,1.0,1.0,0.717202,1.0,0.345674
rope_relative,1031,60,0.933333,0.966667,0.680342,1.066667,0.408355
sinusoidal,1009,60,0.733333,0.859722,0.476096,1.316667,0.77833
sinusoidal,1013,60,0.733333,0.859722,0.475488,1.316667,0.779611
sinusoidal,1019,60,0.733333,0.859722,0.471743,1.316667,0.78715
sinusoidal,1021,60,0.733333,0.859722,0.471383,1.316667,0.787873
sinusoidal,1031,60,0.733333,0.859722,0.47225,1.316667,0.786111
phasewrap_score,1009,60,0.05,0.147274,0.051069,14.3,3.039763
phasewrap_score,1013,60,0.05,0.147274,0.05066,14.3,3.048581
phasewrap_score,1019,60,0.05,0.147274,0.052044,14.3,3.019176
phasewrap_score,1021,60,0.05,0.147274,0.051401,14.3,3.032664
phasewrap_score,1031,60,0.05,0.147274,0.050972,14.3,3.04187
phasewrap_residual_adapter,1009,60,0.5,0.718056,0.326535,1.716667,1.176199
phasewrap_residual_adapter,1013,60,0.5,0.718056,0.327957,1.716667,1.172031
phasewrap_residual_adapter,1019,60,0.5,0.718056,0.339595,1.716667,1.138609
phasewrap_residual_adapter,1021,60,0.5,0.718056,0.338025,1.716667,1.143377
phasewrap_residual_adapter,1031,60,0.5,0.718056,0.330993,1.716667,1.162932
phasewrap_distance_adapter,1009,60,1.0,1.0,0.529001,1.0,0.655274
phasewrap_distance_adapter,1013,60,1.0,1.0,0.525403,1.0,0.662773
phasewrap_distance_adapter,1019,60,1.0,1.0,0.515931,1.0,0.682822
phasewrap_distance_adapter,1021,60,1.0,1.0,0.520592,1.0,0.672708
phasewrap_distance_adapter,1031,60,1.0,1.0,0.521607,1.0,0.670574
