order,stage_id,script_path,script_exists,hardware_submission_command,ready,blockers
1,stage164,scripts/run_stage164_first_provider_result_lock_verifier.py,True,False,True,
2,stage115,scripts/run_stage115_provider_result_collector.py,True,False,True,
3,stage113,scripts/run_stage113_job_result_evidence_assembler.py,True,False,True,
4,stage101,scripts/run_stage101_known_state_calibration_gate.py,True,False,True,
5,stage103,scripts/run_stage103_robustness_metric_preregistration.py,True,False,True,
6,stage136,scripts/run_stage136_auditability_metric_preregistration.py,True,False,True,
7,stage137,scripts/run_stage137_auditability_metric_evaluator.py,True,False,True,
8,stage148,scripts/run_stage148_first_provider_statistical_interpretation_gate.py,True,False,True,
9,stage109,scripts/run_stage109_window_evidence_intake_validator.py,True,False,True,
10,stage110,scripts/run_stage110_replicated_advantage_claim_gate.py,True,False,True,
11,stage138,scripts/run_stage138_objective_claim_gate.py,True,False,True,
12,stage135,scripts/run_stage135_post_collection_claim_gate_sequence.py,True,False,True,
