noise_model_id,source_lane_id,circuit_template,locked_target_lane,primary_ibm_properties_model,phasewrap_mean_absolute_score_error,best_positional_comparator_mean_absolute_score_error,no_position_control_mean_absolute_score_error,positional_margin_shot_quanta,control_margin_shot_quanta,stable_strict_target
ibm_backend_median_stochastic,braket_cx_seed2718_rows8_shots1000,two_ry_cx_parity_z_readout_v1,False,True,0.01191038078,0.010609596142,0.0,-1.300785,-11.910381,False
ibm_backend_median_stochastic,braket_product_seed2718_rows8_shots1000,two_ry_product_state_z_readout_v1,False,True,0.00759788078,0.006118444174,0.0,-1.479437,-7.597881,False
ibm_backend_median_stochastic,ibm_cx_seed314_rows16_shots4096,two_ry_cx_parity_z_readout_v1,True,True,0.010753479826,0.010671881115,0.0,-0.334228,-44.046253,False
ibm_backend_median_stochastic,ibm_cx_seed577_rows16_shots4096,two_ry_cx_parity_z_readout_v1,False,True,0.012372742933,0.011637175987,0.0,-3.012882,-50.678755,False
ibm_backend_median_stochastic,ibm_product_seed314_rows16_shots4096,two_ry_product_state_z_readout_v1,True,True,0.007144776213,0.006268484789,0.0,-3.58929,-29.265003,False
ibm_backend_median_stochastic,ibm_product_seed577_rows16_shots4096,two_ry_product_state_z_readout_v1,False,True,0.007764588636,0.006678069542,0.0,-4.450382,-31.803755,False
ibm_backend_p75_stochastic,braket_cx_seed2718_rows8_shots1000,two_ry_cx_parity_z_readout_v1,False,True,0.02397288078,0.021109596142,0.0,-2.863285,-23.972881,False
ibm_backend_p75_stochastic,braket_product_seed2718_rows8_shots1000,two_ry_product_state_z_readout_v1,False,True,0.01553538078,0.012493444173,0.0,-3.041937,-15.535381,False
ibm_backend_p75_stochastic,ibm_cx_seed314_rows16_shots4096,two_ry_cx_parity_z_readout_v1,True,True,0.021282044279,0.021291998302,0.0,0.040772,-87.171253,False
ibm_backend_p75_stochastic,ibm_cx_seed577_rows16_shots4096,two_ry_cx_parity_z_readout_v1,False,True,0.024533997816,0.023210967491,0.0,-5.419132,-100.491255,False
ibm_backend_p75_stochastic,ibm_product_seed314_rows16_shots4096,two_ry_product_state_z_readout_v1,True,True,0.014186707365,0.01251695891,0.0,-6.83929,-58.108753,False
ibm_backend_p75_stochastic,ibm_product_seed577_rows16_shots4096,two_ry_product_state_z_readout_v1,False,True,0.015447388929,0.013308013389,0.0,-8.762882,-63.272505,False
ibm_backend_single_qubit_coherent_proxy,braket_cx_seed2718_rows8_shots1000,two_ry_cx_parity_z_readout_v1,False,False,0.01128538078,0.013055944174,0.0135,1.770563,2.214619,False
ibm_backend_single_qubit_coherent_proxy,braket_product_seed2718_rows8_shots1000,two_ry_product_state_z_readout_v1,False,False,0.00722288078,0.008555944173,0.014,1.333063,6.777119,False
ibm_backend_single_qubit_coherent_proxy,ibm_cx_seed314_rows16_shots4096,two_ry_cx_parity_z_readout_v1,True,False,0.012244649339,0.009008673107,0.013427734375,-13.254559,4.845916,False
ibm_backend_single_qubit_coherent_proxy,ibm_cx_seed577_rows16_shots4096,two_ry_cx_parity_z_readout_v1,False,False,0.01362449252,0.01345667039,0.013427734375,-0.687399,-0.805921,False
ibm_backend_single_qubit_coherent_proxy,ibm_product_seed314_rows16_shots4096,two_ry_product_state_z_readout_v1,True,False,0.009589620042,0.007300132762,0.013671875,-9.37774,16.720916,False
ibm_backend_single_qubit_coherent_proxy,ibm_product_seed577_rows16_shots4096,two_ry_product_state_z_readout_v1,False,False,0.00995475375,0.009911763671,0.013671875,-0.176087,15.225329,False
