method,split,row_count,loss,perplexity,top1_accuracy,top1_ci_low,top1_ci_high,mrr,mrr_ci_low,mrr_ci_high,mean_target_value_probability,target_value_probability_ci_low,target_value_probability_ci_high,mean_first_relevant_value_rank
no_position,train,120,0.006148,1.006167,1.0,1.0,1.0,1.0,1.0,1.0,0.993872,0.993595,0.994142,1.0
no_position,validation,60,6.563101,708.465017,0.05,0.0,0.116667,0.080115,0.030777,0.142955,0.023726,0.004439,0.048856,98.95
no_position,test,60,5.991129,399.86583,0.033333,0.0,0.083333,0.067669,0.029035,0.125353,0.009756,0.0053,0.015284,96.533333
alibi,train,120,0.00439,1.004399,1.0,1.0,1.0,1.0,1.0,1.0,0.995621,0.995386,0.995868,1.0
alibi,validation,60,7.553135,1906.71076,0.05,0.0,0.116667,0.089553,0.04169,0.153084,0.029795,0.009495,0.05621,107.433333
alibi,test,60,6.838712,933.286445,0.033333,0.0,0.083333,0.071416,0.029084,0.119189,0.0099,0.004404,0.01832,111.716667
rope_relative,train,120,0.002912,1.002917,1.0,1.0,1.0,1.0,1.0,1.0,0.997094,0.996692,0.997466,1.0
rope_relative,validation,60,4.375103,79.447985,0.3,0.183333,0.416667,0.373657,0.26046,0.491374,0.291219,0.186756,0.395868,77.6
rope_relative,test,60,4.506836,90.634628,0.383333,0.266667,0.5,0.429275,0.311751,0.559464,0.350653,0.24382,0.447711,78.2
sinusoidal,train,120,0.002964,1.002968,1.0,1.0,1.0,1.0,1.0,1.0,0.997044,0.996491,0.997458,1.0
sinusoidal,validation,60,4.672519,106.966904,0.3,0.183333,0.433333,0.347644,0.239689,0.466933,0.261576,0.170164,0.360589,74.616667
sinusoidal,test,60,4.802097,121.765442,0.3,0.183333,0.416667,0.338548,0.228294,0.431196,0.192121,0.131553,0.265102,89.116667
phasewrap_score,train,120,0.004508,1.004518,1.0,1.0,1.0,1.0,1.0,1.0,0.995503,0.995266,0.99573,1.0
phasewrap_score,validation,60,7.014046,1112.145422,0.016667,0.0,0.066667,0.055188,0.026115,0.101407,0.018174,0.004356,0.038465,103.183333
phasewrap_score,test,60,6.581127,721.351721,0.0,0.0,0.0,0.032774,0.016829,0.054547,0.006122,0.002737,0.010111,100.166667
phasewrap_residual_adapter,train,120,0.002799,1.002803,1.0,1.0,1.0,1.0,1.0,1.0,0.997208,0.996719,0.997575,1.0
phasewrap_residual_adapter,validation,60,5.578125,264.575076,0.216667,0.116667,0.316667,0.304017,0.206602,0.401846,0.18534,0.10929,0.266673,76.816667
phasewrap_residual_adapter,test,60,5.061907,157.891285,0.233333,0.133333,0.35,0.295736,0.197571,0.420924,0.141399,0.081494,0.206823,74.233333
phasewrap_distance_adapter,train,120,0.002734,1.002738,1.0,1.0,1.0,1.0,1.0,1.0,0.997273,0.996707,0.997632,1.0
phasewrap_distance_adapter,validation,60,4.888652,132.774447,0.3,0.183333,0.416667,0.359395,0.25133,0.477424,0.227569,0.145641,0.312717,71.816667
phasewrap_distance_adapter,test,60,4.786093,119.832272,0.25,0.133333,0.366667,0.32147,0.225022,0.429021,0.193673,0.117564,0.268656,76.3
