method,split,row_count,loss,perplexity,top1_accuracy,top1_ci_low,top1_ci_high,mrr,mrr_ci_low,mrr_ci_high,mean_target_value_probability,target_value_probability_ci_low,target_value_probability_ci_high,mean_first_relevant_value_rank,task
no_position,test:passkey_exact,20,6.704109,815.750689,0.0,0.0,0.0,0.022887,0.008821,0.045938,0.003627,0.001133,0.007054,114.05,passkey_exact
no_position,test:multi_needle,20,5.715024,303.391506,0.05,0.0,0.15,0.089049,0.020261,0.218331,0.012936,0.004165,0.023453,96.95,multi_needle
no_position,test:aggregation,20,5.554254,258.334264,0.05,0.0,0.15,0.091072,0.021519,0.201311,0.012704,0.004757,0.024756,78.6,aggregation
alibi,test:passkey_exact,20,7.23978,1393.787741,0.0,0.0,0.0,0.045949,0.012891,0.084672,0.008425,0.002323,0.015394,140.55,passkey_exact
alibi,test:multi_needle,20,6.870316,963.253223,0.05,0.0,0.15,0.090619,0.014789,0.212245,0.00728,0.001633,0.014793,108.1,multi_needle
alibi,test:aggregation,20,6.40604,605.4911,0.05,0.0,0.15,0.07768,0.015283,0.184705,0.013994,0.001919,0.036054,86.5,aggregation
rope_relative,test:passkey_exact,20,6.060794,428.715531,0.3,0.1,0.5,0.345657,0.155239,0.5366,0.276897,0.107046,0.469187,103.4,passkey_exact
rope_relative,test:multi_needle,20,3.433159,30.974349,0.55,0.3,0.75,0.612124,0.414716,0.776654,0.493511,0.303242,0.685504,50.05,multi_needle
rope_relative,test:aggregation,20,4.026556,56.067484,0.3,0.1,0.5,0.330045,0.156771,0.521005,0.281551,0.104609,0.478097,81.15,aggregation
sinusoidal,test:passkey_exact,20,5.290871,198.516344,0.3,0.1,0.5,0.32937,0.130638,0.553185,0.196849,0.062444,0.32925,104.55,passkey_exact
sinusoidal,test:multi_needle,20,3.811219,45.205498,0.4,0.2,0.65,0.473634,0.286977,0.659869,0.235481,0.129533,0.358737,66.35,multi_needle
sinusoidal,test:aggregation,20,5.3042,201.179916,0.2,0.05,0.35,0.21264,0.060621,0.36456,0.144034,0.021851,0.284312,96.45,aggregation
phasewrap_score,test:passkey_exact,20,7.38366,1609.469984,0.0,0.0,0.0,0.015414,0.009332,0.022592,0.001836,0.0008,0.003183,124.25,passkey_exact
phasewrap_score,test:multi_needle,20,6.083758,438.674477,0.0,0.0,0.0,0.066899,0.020729,0.120134,0.013047,0.004065,0.022901,85.95,multi_needle
phasewrap_score,test:aggregation,20,6.275963,531.637943,0.0,0.0,0.0,0.016008,0.011372,0.020814,0.003483,0.002027,0.005255,90.3,aggregation
phasewrap_residual_adapter,test:passkey_exact,20,6.216926,501.160399,0.15,0.0,0.3,0.203436,0.067927,0.370881,0.10278,0.016027,0.212956,92.7,passkey_exact
phasewrap_residual_adapter,test:multi_needle,20,4.059399,57.939489,0.35,0.15,0.55,0.442639,0.244353,0.654077,0.19714,0.091314,0.311754,60.7,multi_needle
phasewrap_residual_adapter,test:aggregation,20,4.909395,135.557348,0.2,0.05,0.35,0.241132,0.088263,0.417427,0.124276,0.027084,0.251817,69.3,aggregation
phasewrap_distance_adapter,test:passkey_exact,20,5.808985,333.280664,0.1,0.0,0.25,0.203273,0.080857,0.340625,0.12003,0.024999,0.235274,102.2,passkey_exact
phasewrap_distance_adapter,test:multi_needle,20,3.741936,42.17958,0.5,0.3,0.7,0.541936,0.329892,0.751312,0.310746,0.176287,0.461992,50.4,multi_needle
phasewrap_distance_adapter,test:aggregation,20,4.807358,122.407776,0.15,0.0,0.3,0.2192,0.07712,0.394876,0.150242,0.031233,0.292018,76.3,aggregation
