init_seed,method,split,row_count,loss,perplexity,top1_accuracy,top1_ci_low,top1_ci_high,mrr,mrr_ci_low,mrr_ci_high,mean_target_value_probability,target_value_probability_ci_low,target_value_probability_ci_high,mean_first_relevant_value_rank
2001,no_position,test,60,5.991129,399.86583,0.033333,0.0,0.083333,0.067669,0.029035,0.125353,0.009756,0.0053,0.015284,96.533333
2001,alibi,test,60,6.838712,933.286445,0.033333,0.0,0.083333,0.071416,0.029084,0.119189,0.0099,0.004404,0.01832,111.716667
2001,rope_relative,test,60,4.506836,90.634628,0.383333,0.266667,0.5,0.429275,0.311751,0.559464,0.350653,0.24382,0.447711,78.2
2001,sinusoidal,test,60,4.802097,121.765442,0.3,0.183333,0.416667,0.338548,0.228294,0.431196,0.192121,0.131553,0.265102,89.116667
2001,phasewrap_score,test,60,6.581127,721.351721,0.0,0.0,0.0,0.032774,0.016829,0.054547,0.006122,0.002737,0.010111,100.166667
2001,phasewrap_residual_adapter,test,60,5.061907,157.891285,0.233333,0.133333,0.35,0.295736,0.197571,0.420924,0.141399,0.081494,0.206823,74.233333
2001,phasewrap_distance_adapter,test,60,4.786093,119.832272,0.25,0.133333,0.366667,0.32147,0.225022,0.429021,0.193673,0.117564,0.268656,76.3
2011,no_position,test,60,5.970374,391.652171,0.016667,0.0,0.066667,0.056755,0.026759,0.096456,0.009738,0.005105,0.015477,91.7
2011,alibi,test,60,6.450538,633.042861,0.0,0.0,0.0,0.028668,0.018085,0.042436,0.006075,0.003261,0.00971,100.583333
2011,rope_relative,test,60,4.527109,92.490751,0.383333,0.266667,0.5,0.419861,0.29853,0.541609,0.351376,0.236917,0.449016,69.116667
2011,sinusoidal,test,60,4.659554,105.588944,0.25,0.15,0.35,0.325168,0.219332,0.422078,0.195394,0.131004,0.271425,88.866667
2011,phasewrap_score,test,60,7.076356,1183.647134,0.016667,0.0,0.05,0.045056,0.017845,0.086109,0.011601,0.002025,0.027012,103.916667
2011,phasewrap_residual_adapter,test,60,5.330253,206.490246,0.2,0.1,0.3,0.267908,0.176971,0.38342,0.124489,0.067163,0.193487,79.35
2011,phasewrap_distance_adapter,test,60,5.005964,149.301013,0.266667,0.15,0.383333,0.313002,0.205415,0.422308,0.193698,0.117209,0.275487,79.6
2027,no_position,test,60,6.109766,450.233549,0.033333,0.0,0.083333,0.063589,0.023983,0.123214,0.008024,0.004587,0.01229,99.35
2027,alibi,test,60,6.477477,650.328059,0.016667,0.0,0.05,0.046142,0.021151,0.083745,0.007358,0.003697,0.012314,103.45
2027,rope_relative,test,60,4.591158,98.608549,0.35,0.233333,0.466667,0.393652,0.272731,0.5157,0.352435,0.2381,0.450838,81.416667
2027,sinusoidal,test,60,4.664268,106.087878,0.283333,0.166667,0.383333,0.343693,0.23745,0.446166,0.221876,0.148317,0.308044,79.516667
2027,phasewrap_score,test,60,6.985199,1080.521657,0.0,0.0,0.0,0.043108,0.024095,0.064415,0.008538,0.00427,0.014047,104.816667
2027,phasewrap_residual_adapter,test,60,5.11206,166.011969,0.2,0.1,0.3,0.269976,0.176015,0.383,0.126947,0.071605,0.196649,79.383333
2027,phasewrap_distance_adapter,test,60,4.933285,138.834858,0.3,0.183333,0.416667,0.353192,0.245301,0.467794,0.198842,0.128226,0.27777,82.85
2039,no_position,test,60,6.103584,447.458626,0.016667,0.0,0.05,0.058041,0.02755,0.100702,0.009279,0.005306,0.013859,97.35
2039,alibi,test,60,6.676231,793.323108,0.0,0.0,0.0,0.028398,0.018739,0.03936,0.005568,0.003226,0.00846,107.233333
2039,rope_relative,test,60,4.548595,94.499559,0.383333,0.266667,0.5,0.42476,0.307967,0.55654,0.350115,0.238167,0.44907,82.483333
2039,sinusoidal,test,60,4.777449,118.800869,0.266667,0.15,0.366667,0.337409,0.22771,0.433057,0.195898,0.131131,0.270759,83.933333
2039,phasewrap_score,test,60,6.981481,1076.511989,0.016667,0.0,0.05,0.047294,0.02187,0.08671,0.010477,0.003054,0.022821,96.65
2039,phasewrap_residual_adapter,test,60,5.280894,196.545474,0.216667,0.116667,0.316667,0.285977,0.180919,0.394447,0.146523,0.088458,0.221332,81.0
2039,phasewrap_distance_adapter,test,60,4.820921,124.079363,0.316667,0.2,0.433333,0.355248,0.253048,0.460541,0.227261,0.14336,0.31064,81.75
2053,no_position,test,60,5.987353,398.358946,0.0,0.0,0.0,0.045613,0.028634,0.067226,0.008411,0.005328,0.011993,100.483333
2053,alibi,test,60,6.521482,679.584839,0.0,0.0,0.0,0.030459,0.016802,0.048656,0.005897,0.00278,0.01054,96.566667
2053,rope_relative,test,60,4.602192,99.702579,0.383333,0.266667,0.5,0.438514,0.315873,0.569685,0.353762,0.24221,0.452888,72.583333
2053,sinusoidal,test,60,4.686483,108.470995,0.333333,0.216667,0.45,0.374209,0.267151,0.48728,0.206966,0.140911,0.279904,82.316667
2053,phasewrap_score,test,60,6.301846,545.577902,0.0,0.0,0.0,0.032366,0.020562,0.046071,0.006373,0.003853,0.009392,98.983333
2053,phasewrap_residual_adapter,test,60,5.193062,180.018838,0.233333,0.133333,0.35,0.297993,0.198682,0.420148,0.132734,0.076604,0.199587,81.716667
2053,phasewrap_distance_adapter,test,60,4.819172,123.862529,0.3,0.183333,0.416667,0.353506,0.24244,0.466883,0.215961,0.138509,0.296773,83.166667
