method,row_count,seed_count,task_count,sequence_length_min,sequence_length_max,top1_accuracy,top1_ci_low,top1_ci_high,mrr,mrr_ci_low,mrr_ci_high,mean_target_probability_mass,target_probability_mass_ci_low,target_probability_mass_ci_high,mean_first_relevant_rank,sequence_length
phasewrap_rope_8_12,60,5,3,512,512,0.0,0.0,0.0,0.118103,0.105462,0.136553,0.031279,0.023599,0.042172,9.45,512
rope_relative,60,5,3,512,512,1.0,1.0,1.0,1.0,1.0,1.0,0.107909,0.102151,0.113187,1.0,512
alibi,60,5,3,512,512,0.0,0.0,0.0,0.204723,0.175662,0.233432,0.072599,0.066956,0.077986,7.1,512
sinusoidal,60,5,3,512,512,1.0,1.0,1.0,1.0,1.0,1.0,0.125153,0.119732,0.130566,1.0,512
no_position,60,5,3,512,512,0.016667,0.0,0.05,0.135436,0.104648,0.175897,0.068603,0.063275,0.074168,11.116667,512
phasewrap_rope_8_12,60,5,3,1024,1024,0.0,0.0,0.0,0.081836,0.05923,0.11006,0.019758,0.014483,0.026148,17.8,1024
rope_relative,60,5,3,1024,1024,1.0,1.0,1.0,1.0,1.0,1.0,0.061233,0.057905,0.064481,1.0,1024
alibi,60,5,3,1024,1024,0.0,0.0,0.0,0.163373,0.133352,0.194452,0.039612,0.03686,0.042391,11.616667,1024
sinusoidal,60,5,3,1024,1024,1.0,1.0,1.0,1.0,1.0,1.0,0.073106,0.069971,0.076421,1.0,1024
no_position,60,5,3,1024,1024,0.033333,0.0,0.083333,0.084992,0.04792,0.134024,0.035412,0.032487,0.03852,23.466667,1024
phasewrap_rope_8_12,60,5,3,2048,2048,0.033333,0.0,0.083333,0.108228,0.068381,0.158433,0.021136,0.01511,0.028486,16.2,2048
rope_relative,60,5,3,2048,2048,1.0,1.0,1.0,1.0,1.0,1.0,0.060936,0.057833,0.064028,1.0,2048
alibi,60,5,3,2048,2048,0.0,0.0,0.0,0.144946,0.111653,0.178454,0.033007,0.030641,0.035386,15.8,2048
sinusoidal,60,5,3,2048,2048,1.0,1.0,1.0,1.0,1.0,1.0,0.072804,0.069749,0.076088,1.0,2048
no_position,60,5,3,2048,2048,0.066667,0.0,0.133333,0.1413,0.086648,0.209304,0.033173,0.030423,0.036084,19.333333,2048
phasewrap_rope_8_12,60,5,3,4096,4096,0.016667,0.0,0.05,0.076445,0.056744,0.109871,0.014199,0.01059,0.018947,17.4,4096
rope_relative,60,5,3,4096,4096,1.0,1.0,1.0,1.0,1.0,1.0,0.057422,0.054619,0.060141,1.0,4096
alibi,60,5,3,4096,4096,0.0,0.0,0.0,0.153361,0.120087,0.187787,0.030567,0.028255,0.032892,14.083333,4096
sinusoidal,60,5,3,4096,4096,1.0,1.0,1.0,1.0,1.0,1.0,0.064491,0.06162,0.067631,1.0,4096
no_position,60,5,3,4096,4096,0.05,0.0,0.1,0.112677,0.067543,0.165639,0.02945,0.026992,0.032033,20.7,4096
