example_id,seed,task,sequence_length,reference_delta,target_deltas,target_rule,phasewrap_rope_8_12_first_relevant_rank,phasewrap_rope_8_12_target_probability_mass,rope_relative_first_relevant_rank,rope_relative_target_probability_mass,alibi_first_relevant_rank,alibi_target_probability_mass,sinusoidal_first_relevant_rank,sinusoidal_target_probability_mass,no_position_first_relevant_rank,no_position_target_probability_mass
passkey_exact_seed401_L512_000,401,passkey_exact,512,266,266,exact passkey offset chosen by RNG and exposed as the query offset,10,0.02148099,1,0.09546408,8,0.05317926,1,0.11230232,10,0.05487118
multi_needle_seed401_L512_000,401,multi_needle,512,43,43,third same-token occurrence in increasing delta order,10,0.01566223,1,0.08962621,3,0.07184273,1,0.10374996,16,0.05202366
aggregation_seed401_L512_000,401,aggregation,512,208,208;255,two explicit offsets selected by the aggregation packet generator,9,0.0660117,1,0.12519298,6,0.1069345,1,0.13519857,13,0.09891419
passkey_exact_seed401_L512_001,401,passkey_exact,512,321,321,exact passkey offset chosen by RNG and exposed as the query offset,9,0.03209799,1,0.09365737,13,0.04611282,1,0.11274465,5,0.05487118
multi_needle_seed401_L512_001,401,multi_needle,512,43,43,third same-token occurrence in increasing delta order,11,0.01518533,1,0.09470814,3,0.07005217,1,0.10965377,16,0.05202366
aggregation_seed401_L512_001,401,aggregation,512,281,281;305,two explicit offsets selected by the aggregation packet generator,9,0.04214542,1,0.14056854,8,0.09362084,1,0.14639915,9,0.09891419
passkey_exact_seed401_L512_002,401,passkey_exact,512,254,254,exact passkey offset chosen by RNG and exposed as the query offset,11,0.01729138,1,0.09389362,8,0.05169683,1,0.1106896,10,0.05487118
multi_needle_seed401_L512_002,401,multi_needle,512,56,56,third same-token occurrence in increasing delta order,13,0.0150991,1,0.09729839,3,0.0765362,1,0.113491,16,0.05202366
aggregation_seed401_L512_002,401,aggregation,512,363,363;416,two explicit offsets selected by the aggregation packet generator,2,0.22060441,1,0.12716027,10,0.08589684,1,0.13848006,7,0.09891419
passkey_exact_seed401_L512_003,401,passkey_exact,512,172,172,exact passkey offset chosen by RNG and exposed as the query offset,9,0.02218499,1,0.09173992,7,0.05828871,1,0.1102124,11,0.05487118
multi_needle_seed401_L512_003,401,multi_needle,512,46,46,third same-token occurrence in increasing delta order,12,0.01450725,1,0.09625771,3,0.07290856,1,0.11655523,16,0.05202366
aggregation_seed401_L512_003,401,aggregation,512,283,283;308,two explicit offsets selected by the aggregation packet generator,8,0.03911035,1,0.13697373,11,0.09622086,1,0.14391441,6,0.09891419
