method,row_count,seed_count,task_count,sequence_length_min,sequence_length_max,top1_accuracy,top1_ci_low,top1_ci_high,mrr,mrr_ci_low,mrr_ci_high,mean_target_probability_mass,target_probability_mass_ci_low,target_probability_mass_ci_high,mean_first_relevant_rank,task
phasewrap_rope_8_12,80,5,1,512,4096,0.0,0.0,0.0,0.07021,0.064274,0.076805,0.012047,0.010812,0.013417,16.0375,passkey_exact
rope_relative,80,5,1,512,4096,1.0,1.0,1.0,1.0,1.0,1.0,0.063435,0.059576,0.06746,1.0,passkey_exact
alibi,80,5,1,512,4096,0.0,0.0,0.0,0.083588,0.072605,0.097018,0.031133,0.028018,0.034278,16.4375,passkey_exact
sinusoidal,80,5,1,512,4096,1.0,1.0,1.0,1.0,1.0,1.0,0.076389,0.07174,0.081403,1.0,passkey_exact
no_position,80,5,1,512,4096,0.025,0.0,0.0625,0.130191,0.09793,0.171651,0.033154,0.030432,0.03618,13.5625,passkey_exact
phasewrap_rope_8_12,80,5,1,512,4096,0.0,0.0,0.0,0.064506,0.059387,0.07011,0.010948,0.00977,0.012267,17.275,multi_needle
rope_relative,80,5,1,512,4096,1.0,1.0,1.0,1.0,1.0,1.0,0.060945,0.057306,0.064979,1.0,multi_needle
alibi,80,5,1,512,4096,0.0,0.0,0.0,0.333333,0.333333,0.333333,0.044013,0.040816,0.0477,3.0,multi_needle
sinusoidal,80,5,1,512,4096,1.0,1.0,1.0,1.0,1.0,1.0,0.072231,0.067692,0.076855,1.0,multi_needle
no_position,80,5,1,512,4096,0.0,0.0,0.0,0.037684,0.034789,0.040993,0.031036,0.028388,0.033956,29.5,multi_needle
phasewrap_rope_8_12,80,5,1,512,4096,0.0375,0.0,0.0875,0.153743,0.114828,0.200235,0.041784,0.03335,0.051085,12.325,aggregation
rope_relative,80,5,1,512,4096,1.0,1.0,1.0,1.0,1.0,1.0,0.091245,0.085656,0.097405,1.0,aggregation
alibi,80,5,1,512,4096,0.0,0.0,0.0,0.08288,0.069942,0.097541,0.056692,0.05139,0.0624,17.0125,aggregation
sinusoidal,80,5,1,512,4096,1.0,1.0,1.0,1.0,1.0,1.0,0.103046,0.096789,0.109562,1.0,aggregation
no_position,80,5,1,512,4096,0.1,0.0375,0.175,0.18793,0.132313,0.245963,0.060788,0.056005,0.066096,12.9,aggregation
