method,split,row_count,loss,perplexity,top1_accuracy,top1_ci_low,top1_ci_high,mrr,mrr_ci_low,mrr_ci_high,mean_target_value_probability,target_value_probability_ci_low,target_value_probability_ci_high,mean_first_relevant_value_rank
no_position,train,120,0.008175,1.008208,1.0,1.0,1.0,1.0,1.0,1.0,0.991862,0.991414,0.99232,1.0
no_position,validation,60,7.282866,1455.152258,0.016667,0.0,0.05,0.037486,0.015647,0.076552,0.004737,0.001897,0.008506,112.166667
no_position,test,60,6.90696,999.20461,0.0,0.0,0.0,0.033871,0.019681,0.056168,0.006736,0.002958,0.011251,104.85
alibi,train,120,0.005552,1.005568,1.0,1.0,1.0,1.0,1.0,1.0,0.994465,0.994132,0.994816,1.0
alibi,validation,60,7.617767,2034.014216,0.0,0.0,0.0,0.023332,0.0162,0.03203,0.003972,0.002228,0.005728,115.85
alibi,test,60,7.465774,1747.206751,0.016667,0.0,0.066667,0.046827,0.018782,0.086319,0.008462,0.002194,0.019664,102.066667
rope_relative,train,120,0.011558,1.011625,1.0,1.0,1.0,1.0,1.0,1.0,0.989049,0.983635,0.993694,1.0
rope_relative,validation,60,4.81317,123.121278,0.333333,0.216667,0.466667,0.356949,0.231884,0.472808,0.302497,0.191479,0.406157,98.916667
rope_relative,test,60,4.331648,76.06952,0.35,0.233333,0.483333,0.399642,0.282967,0.514212,0.362745,0.259018,0.476085,84.533333
sinusoidal,train,120,0.003342,1.003348,1.0,1.0,1.0,1.0,1.0,1.0,0.996665,0.9964,0.996901,1.0
sinusoidal,validation,60,8.560837,5223.052961,0.0,0.0,0.0,0.025483,0.01354,0.043758,0.006497,0.00134,0.01556,116.25
sinusoidal,test,60,8.633972,5619.355315,0.033333,0.0,0.083333,0.064218,0.023961,0.118377,0.012284,0.002505,0.027204,105.683333
phasewrap_score,train,120,0.003772,1.003779,1.0,1.0,1.0,1.0,1.0,1.0,0.996237,0.995943,0.996535,1.0
phasewrap_score,validation,60,8.999028,8095.21526,0.0,0.0,0.0,0.017703,0.011479,0.025177,0.002114,0.000774,0.003562,139.083333
phasewrap_score,test,60,8.596923,5414.970991,0.016667,0.0,0.05,0.046642,0.01937,0.083401,0.010065,0.001781,0.02395,111.816667
phasewrap_residual_adapter,train,120,0.002984,1.002988,1.0,1.0,1.0,1.0,1.0,1.0,0.997021,0.996788,0.997266,1.0
phasewrap_residual_adapter,validation,60,6.399904,601.787163,0.116667,0.033333,0.216667,0.184957,0.109281,0.257538,0.061489,0.028823,0.098241,96.983333
phasewrap_residual_adapter,test,60,6.351848,573.55141,0.133333,0.05,0.216667,0.221899,0.140307,0.309847,0.118677,0.05856,0.195393,89.7
phasewrap_distance_adapter,train,120,0.003688,1.003695,1.0,1.0,1.0,1.0,1.0,1.0,0.996321,0.995957,0.996645,1.0
phasewrap_distance_adapter,validation,60,9.127497,9204.949917,0.0,0.0,0.0,0.034357,0.014315,0.059915,0.007528,0.000957,0.017553,109.5
phasewrap_distance_adapter,test,60,8.457781,4711.592093,0.016667,0.0,0.05,0.051084,0.020564,0.090855,0.007212,0.001926,0.014461,105.283333
