method,split,row_count,loss,perplexity,top1_accuracy,top1_ci_low,top1_ci_high,mrr,mrr_ci_low,mrr_ci_high,mean_target_value_probability,target_value_probability_ci_low,target_value_probability_ci_high,mean_first_relevant_value_rank,task
no_position,test:passkey_exact,20,7.194647,1332.279356,0.0,0.0,0.0,0.016683,0.011078,0.022514,0.002524,0.001256,0.003868,112.65,passkey_exact
no_position,test:multi_needle,20,7.653389,2107.777574,0.0,0.0,0.0,0.016722,0.009435,0.026619,0.002406,0.000786,0.00451,133.7,multi_needle
no_position,test:aggregation,20,5.872843,355.257462,0.0,0.0,0.0,0.068208,0.031542,0.115254,0.015277,0.005446,0.028201,68.2,aggregation
alibi,test:passkey_exact,20,7.911768,2729.212559,0.0,0.0,0.0,0.013059,0.009622,0.016844,0.000969,0.00046,0.00146,110.85,passkey_exact
alibi,test:multi_needle,20,7.814258,2475.648895,0.0,0.0,0.0,0.02718,0.009131,0.049442,0.003642,0.000428,0.007991,119.7,multi_needle
alibi,test:aggregation,20,6.671295,789.417018,0.05,0.0,0.15,0.100243,0.022209,0.223201,0.020776,0.003053,0.052725,75.65,aggregation
rope_relative,test:passkey_exact,20,3.636527,37.959766,0.35,0.15,0.55,0.413614,0.216282,0.619223,0.34722,0.170864,0.526239,86.1,passkey_exact
rope_relative,test:multi_needle,20,6.125146,457.211457,0.35,0.15,0.55,0.378387,0.179428,0.601961,0.354704,0.168239,0.558943,110.5,multi_needle
rope_relative,test:aggregation,20,3.23327,25.362462,0.35,0.15,0.55,0.406926,0.208261,0.580647,0.38631,0.200847,0.587876,57.0,aggregation
sinusoidal,test:passkey_exact,20,9.139633,9317.346022,0.0,0.0,0.0,0.020988,0.010195,0.038102,0.002943,0.000148,0.007748,117.95,passkey_exact
sinusoidal,test:multi_needle,20,9.163387,9541.318648,0.05,0.0,0.15,0.061608,0.007666,0.16183,0.020046,0.000117,0.059851,137.15,multi_needle
sinusoidal,test:aggregation,20,7.598897,1995.992277,0.05,0.0,0.15,0.110059,0.02745,0.231062,0.013864,0.002903,0.028665,61.95,aggregation
phasewrap_score,test:passkey_exact,20,9.49059,13234.60533,0.0,0.0,0.0,0.014879,0.009311,0.022624,0.000796,0.00025,0.001441,123.05,passkey_exact
phasewrap_score,test:multi_needle,20,8.934323,7587.999186,0.05,0.0,0.15,0.073358,0.008725,0.179489,0.01836,0.000129,0.050661,136.1,multi_needle
phasewrap_score,test:aggregation,20,7.365855,1581.066485,0.0,0.0,0.0,0.05169,0.016631,0.098124,0.011041,0.000868,0.025781,76.3,aggregation
phasewrap_residual_adapter,test:passkey_exact,20,6.140466,464.269873,0.15,0.0,0.3,0.242033,0.100578,0.396337,0.155871,0.033146,0.29264,87.65,passkey_exact
phasewrap_residual_adapter,test:multi_needle,20,7.801104,2443.298682,0.15,0.0,0.3,0.185544,0.036236,0.362607,0.089334,0.006387,0.189464,128.85,multi_needle
phasewrap_residual_adapter,test:aggregation,20,5.113972,166.329772,0.1,0.0,0.25,0.238121,0.11807,0.387432,0.110825,0.023911,0.236856,52.6,aggregation
phasewrap_distance_adapter,test:passkey_exact,20,9.840382,18776.880636,0.0,0.0,0.0,0.01493,0.009876,0.022543,0.00103,7.3e-05,0.002605,109.25,passkey_exact
phasewrap_distance_adapter,test:multi_needle,20,8.469851,4768.805589,0.05,0.0,0.15,0.088401,0.011694,0.193682,0.014052,0.000845,0.034901,134.45,multi_needle
phasewrap_distance_adapter,test:aggregation,20,7.063111,1168.073011,0.0,0.0,0.0,0.04992,0.019619,0.089673,0.006555,0.001751,0.014004,72.15,aggregation
