init_seed,method,split,row_count,loss,perplexity,top1_accuracy,top1_ci_low,top1_ci_high,mrr,mrr_ci_low,mrr_ci_high,mean_target_value_probability,target_value_probability_ci_low,target_value_probability_ci_high,mean_first_relevant_value_rank
2401,no_position,test,60,6.90696,999.20461,0.0,0.0,0.0,0.033871,0.019681,0.056168,0.006736,0.002958,0.011251,104.85
2401,alibi,test,60,7.465774,1747.206751,0.016667,0.0,0.066667,0.046827,0.018782,0.086319,0.008462,0.002194,0.019664,102.066667
2401,rope_relative,test,60,4.331648,76.06952,0.35,0.233333,0.483333,0.399642,0.282967,0.514212,0.362745,0.259018,0.476085,84.533333
2401,sinusoidal,test,60,8.633972,5619.355315,0.033333,0.0,0.083333,0.064218,0.023961,0.118377,0.012284,0.002505,0.027204,105.683333
2401,phasewrap_score,test,60,8.596923,5414.970991,0.016667,0.0,0.05,0.046642,0.01937,0.083401,0.010065,0.001781,0.02395,111.816667
2401,phasewrap_residual_adapter,test,60,6.351848,573.55141,0.133333,0.05,0.216667,0.221899,0.140307,0.309847,0.118677,0.05856,0.195393,89.7
2401,phasewrap_distance_adapter,test,60,8.457781,4711.592093,0.016667,0.0,0.05,0.051084,0.020564,0.090855,0.007212,0.001926,0.014461,105.283333
2411,no_position,test,60,6.572063,714.843361,0.066667,0.016667,0.133333,0.102984,0.046667,0.175139,0.024141,0.009288,0.044894,97.116667
2411,alibi,test,60,7.142491,1264.574957,0.016667,0.0,0.066667,0.046381,0.020717,0.084785,0.010098,0.002994,0.022825,94.233333
2411,rope_relative,test,60,4.282048,72.388522,0.4,0.266667,0.533333,0.436054,0.314628,0.560093,0.370478,0.267261,0.4817,80.733333
2411,sinusoidal,test,60,6.060037,428.3914,0.2,0.116667,0.3,0.285469,0.190576,0.386317,0.211075,0.132963,0.297466,89.033333
2411,phasewrap_score,test,60,7.264861,1429.186568,0.0,0.0,0.0,0.023524,0.015587,0.033594,0.003859,0.002103,0.005966,112.216667
2411,phasewrap_residual_adapter,test,60,8.322971,4117.373806,0.033333,0.0,0.083333,0.052544,0.015298,0.104688,0.009416,0.001306,0.022276,109.033333
2411,phasewrap_distance_adapter,test,60,9.320672,11166.479805,0.0,0.0,0.0,0.018217,0.012539,0.025198,0.001114,0.000451,0.001899,113.516667
2423,no_position,test,60,6.959353,1052.951866,0.0,0.0,0.0,0.04214,0.021616,0.068712,0.007684,0.003967,0.012896,103.55
2423,alibi,test,60,7.580741,1960.080879,0.0,0.0,0.0,0.038682,0.020974,0.063597,0.007263,0.002737,0.012201,111.3
2423,rope_relative,test,60,4.97234,144.364294,0.35,0.233333,0.483333,0.424634,0.310593,0.538881,0.341198,0.246873,0.446497,68.666667
2423,sinusoidal,test,60,5.950036,383.766963,0.233333,0.133333,0.333333,0.303537,0.20341,0.407353,0.21638,0.137673,0.298405,91.05
2423,phasewrap_score,test,60,7.372082,1590.94248,0.0,0.0,0.0,0.027523,0.016312,0.040411,0.004594,0.002087,0.007996,106.166667
2423,phasewrap_residual_adapter,test,60,8.487891,4855.614756,0.016667,0.0,0.05,0.048489,0.018563,0.095777,0.00793,0.002171,0.017169,112.75
2423,phasewrap_distance_adapter,test,60,6.034432,417.561481,0.266667,0.15,0.383333,0.312769,0.210071,0.423597,0.221146,0.137869,0.314923,79.866667
2437,no_position,test,60,6.85446,948.099759,0.0,0.0,0.0,0.039715,0.022413,0.061765,0.007834,0.003387,0.013814,111.6
2437,alibi,test,60,7.290927,1466.929803,0.05,0.0,0.116667,0.07618,0.026987,0.129394,0.012934,0.00395,0.02561,103.45
2437,rope_relative,test,60,4.721493,112.335879,0.433333,0.3,0.566667,0.44901,0.318376,0.571816,0.373645,0.27175,0.485522,77.783333
2437,sinusoidal,test,60,9.740924,16999.24793,0.0,0.0,0.0,0.020441,0.014025,0.028267,0.001151,0.000389,0.002187,108.05
2437,phasewrap_score,test,60,7.266109,1430.971182,0.016667,0.0,0.05,0.045993,0.0187,0.082837,0.01077,0.002761,0.025731,102.816667
2437,phasewrap_residual_adapter,test,60,8.163609,3510.834686,0.033333,0.0,0.083333,0.056367,0.01777,0.108341,0.01311,0.002475,0.029112,112.033333
2437,phasewrap_distance_adapter,test,60,9.112427,9067.274778,0.0,0.0,0.0,0.028659,0.014762,0.047809,0.003213,0.001119,0.006458,111.616667
2459,no_position,test,60,6.691217,805.301373,0.016667,0.0,0.05,0.048355,0.022327,0.084208,0.008212,0.00385,0.013365,102.883333
2459,alibi,test,60,7.971387,2896.872916,0.016667,0.0,0.05,0.045621,0.017141,0.08425,0.009694,0.001797,0.021399,122.55
2459,rope_relative,test,60,4.33502,76.326523,0.383333,0.266667,0.516667,0.423152,0.304042,0.541265,0.364392,0.263713,0.477169,76.166667
2459,sinusoidal,test,60,6.064509,430.311287,0.233333,0.133333,0.333333,0.301826,0.202701,0.408558,0.205675,0.1288,0.288921,89.85
2459,phasewrap_score,test,60,8.598625,5424.195688,0.0,0.0,0.0,0.033504,0.015339,0.055441,0.007954,0.001625,0.018374,115.35
2459,phasewrap_residual_adapter,test,60,6.016123,409.986198,0.15,0.066667,0.233333,0.224397,0.134902,0.312772,0.128866,0.063855,0.204987,79.433333
2459,phasewrap_distance_adapter,test,60,8.726064,6161.427437,0.0,0.0,0.0,0.02589,0.014755,0.040639,0.003207,0.001092,0.006403,113.15
