method,split,row_count,loss,perplexity,top1_accuracy,top1_ci_low,top1_ci_high,mrr,mrr_ci_low,mrr_ci_high,mean_target_probability,mean_first_relevant_rank
no_position,train,40,1.144373,3.140471,0.0,0.0,0.0,0.327083,0.320833,0.333333,0.319489,3.075
no_position,validation,20,1.158517,3.185207,0.0,0.0,0.0,0.320833,0.304167,0.333333,0.315454,3.15
no_position,test,20,1.158517,3.185207,0.0,0.0,0.0,0.325,0.3125,0.333333,0.315454,3.1
alibi,train,40,0.506719,1.659836,0.975,0.925,1.0,0.9875,0.9625,1.0,0.676041,1.025
alibi,validation,20,0.451371,1.570464,1.0,1.0,1.0,1.0,1.0,1.0,0.663977,1.0
alibi,test,20,0.355061,1.426268,0.95,0.85,1.0,0.975,0.925,1.0,0.729148,1.05
rope_relative,train,40,0.344349,1.411072,0.95,0.875,1.0,0.975,0.9375,1.0,0.80991,1.05
rope_relative,validation,20,0.51416,1.672233,0.85,0.65,1.0,0.908333,0.808333,0.975,0.732039,1.25
rope_relative,test,20,1.517872,4.562504,0.5,0.3,0.7,0.716667,0.608333,0.85,0.495112,1.7
sinusoidal,train,40,0.501814,1.651715,0.9,0.8,0.975,0.95,0.9,0.9875,0.66524,1.1
sinusoidal,validation,20,0.52843,1.696268,0.9,0.75,1.0,0.95,0.875,1.0,0.622354,1.1
sinusoidal,test,20,0.477266,1.611663,0.9,0.75,1.0,0.95,0.875,1.0,0.652003,1.1
phasewrap_score,train,40,1.136583,3.116101,0.375,0.225,0.525,0.614583,0.51875,0.695833,0.325127,2.1
phasewrap_score,validation,20,1.197706,3.31251,0.2,0.05,0.4,0.55,0.45,0.658333,0.304258,2.1
phasewrap_score,test,20,1.134525,3.109696,0.3,0.1,0.5,0.608333,0.516667,0.725,0.325043,1.95
phasewrap_residual_adapter,train,40,0.516282,1.675785,0.9,0.8,0.975,0.95,0.9,0.9875,0.654088,1.1
phasewrap_residual_adapter,validation,20,0.508092,1.662117,1.0,1.0,1.0,1.0,1.0,1.0,0.627758,1.0
phasewrap_residual_adapter,test,20,0.38098,1.463718,0.95,0.85,1.0,0.975,0.925,1.0,0.712015,1.05
phasewrap_distance_adapter,train,40,0.470481,1.600763,0.925,0.85,1.0,0.9625,0.925,1.0,0.710387,1.075
phasewrap_distance_adapter,validation,20,0.430332,1.537769,1.0,1.0,1.0,1.0,1.0,1.0,0.681598,1.0
phasewrap_distance_adapter,test,20,0.310376,1.363937,0.95,0.85,1.0,0.975,0.925,1.0,0.767915,1.05
