row_count,loss,perplexity,top1_accuracy,mrr,mean_target_probability,target_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_rank,method,model_seed
60,3.323466,27.75639,0.05,0.118035,0.037879,0.962121,0.02862,0.02138,21.016667,no_position,2801
60,3.323466,27.75639,0.05,0.118035,0.037879,0.962121,0.02862,0.02138,21.016667,no_position,2819
60,3.323466,27.75639,0.05,0.118035,0.037879,0.962121,0.02862,0.02138,21.016667,no_position,2833
60,3.323466,27.75639,0.05,0.118035,0.037879,0.962121,0.02862,0.02138,21.016667,no_position,2837
60,3.323466,27.75639,0.05,0.118035,0.037879,0.962121,0.02862,0.02138,21.016667,no_position,2843
60,3.319754,27.653535,0.0,0.153196,0.037937,0.962063,0.029183,0.029183,13.9,alibi,2801
60,3.316634,27.567398,0.0,0.153196,0.037988,0.962012,0.02968,0.02968,13.9,alibi,2819
60,3.319207,27.638414,0.0,0.153196,0.037946,0.962054,0.029268,0.029268,13.9,alibi,2833
60,3.319207,27.638415,0.0,0.153196,0.037946,0.962054,0.029268,0.029268,13.9,alibi,2837
60,3.321472,27.70109,0.0,0.153196,0.03791,0.96209,0.028919,0.028919,13.9,alibi,2843
60,0.367668,1.444362,1.0,1.0,0.70306,0.29694,0.700713,0.299287,1.0,rope_relative,2801
60,0.370901,1.449039,1.0,1.0,0.70101,0.29899,0.698694,0.301306,1.0,rope_relative,2819
60,0.364998,1.440511,1.0,1.0,0.706036,0.293964,0.703853,0.296147,1.0,rope_relative,2833
60,0.363505,1.438363,1.0,1.0,0.704494,0.295506,0.702104,0.297896,1.0,rope_relative,2837
60,0.356263,1.427983,1.0,1.0,0.709735,0.290265,0.707365,0.292635,1.0,rope_relative,2843
60,0.798412,2.22201,0.666667,0.825,0.468288,0.531712,0.465451,0.253824,1.383333,sinusoidal,2801
60,0.808495,2.244528,0.666667,0.825,0.463386,0.536614,0.46055,0.256594,1.383333,sinusoidal,2819
60,0.805853,2.238604,0.666667,0.825,0.464692,0.535308,0.46186,0.255635,1.383333,sinusoidal,2833
60,0.793354,2.210798,0.666667,0.825,0.470806,0.529194,0.467909,0.252044,1.383333,sinusoidal,2837
60,0.793012,2.210043,0.666667,0.825,0.47099,0.52901,0.468125,0.252088,1.383333,sinusoidal,2843
60,3.119313,22.630832,0.016667,0.08086,0.046014,0.953986,0.05207,0.035404,16.766667,phasewrap_score,2801
60,3.123038,22.715293,0.016667,0.08086,0.045851,0.954149,0.052617,0.035951,16.766667,phasewrap_score,2819
60,3.138277,23.064082,0.016667,0.08086,0.045181,0.954819,0.054689,0.038022,16.766667,phasewrap_score,2833
60,3.12669,22.798393,0.016667,0.08086,0.045687,0.954313,0.053053,0.036386,16.766667,phasewrap_score,2837
60,3.131635,22.911413,0.016667,0.08086,0.045472,0.954528,0.053809,0.037143,16.766667,phasewrap_score,2843
60,1.198632,3.31558,0.45,0.673611,0.317476,0.682524,0.312473,0.175868,1.9,phasewrap_residual_adapter,2801
60,1.194259,3.30111,0.45,0.673611,0.318886,0.681114,0.313983,0.1755,1.9,phasewrap_residual_adapter,2819
60,1.1761,3.241706,0.45,0.673611,0.324989,0.675011,0.32011,0.199793,1.9,phasewrap_residual_adapter,2833
60,1.16201,3.19635,0.45,0.673611,0.329887,0.670113,0.324994,0.224605,1.9,phasewrap_residual_adapter,2837
60,1.1939,3.299927,0.45,0.673611,0.318904,0.681096,0.313985,0.175781,1.9,phasewrap_residual_adapter,2843
60,0.674708,1.96346,1.0,1.0,0.519551,0.480449,0.509381,0.490619,1.0,phasewrap_distance_adapter,2801
60,0.674031,1.962131,1.0,1.0,0.519819,0.480181,0.509746,0.490254,1.0,phasewrap_distance_adapter,2819
60,0.703854,2.021528,1.0,1.0,0.50602,0.49398,0.494996,0.505004,1.0,phasewrap_distance_adapter,2833
60,0.685099,1.983968,1.0,1.0,0.514695,0.485305,0.503996,0.496004,1.0,phasewrap_distance_adapter,2837
60,0.648678,1.91301,1.0,1.0,0.532121,0.467879,0.522418,0.477582,1.0,phasewrap_distance_adapter,2843
