row_count,loss,perplexity,top1_accuracy,mrr,mean_target_probability,target_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_rank,method,model_seed,task
20,3.496508,33.0,0.05,0.122659,0.030303,0.969697,0.030303,0.019697,16.55,no_position,2801,passkey_exact
20,3.583519,36.0,0.0,0.029412,0.027778,0.972222,0.027778,0.027778,34.0,no_position,2801,multi_needle
20,2.890372,18.0,0.1,0.202034,0.055556,0.944444,0.027778,0.072222,12.5,no_position,2801,aggregation
20,3.496508,33.0,0.05,0.122659,0.030303,0.969697,0.030303,0.019697,16.55,no_position,2819,passkey_exact
20,3.583519,36.0,0.0,0.029412,0.027778,0.972222,0.027778,0.027778,34.0,no_position,2819,multi_needle
20,2.890372,18.0,0.1,0.202034,0.055556,0.944444,0.027778,0.072222,12.5,no_position,2819,aggregation
20,3.496508,33.0,0.05,0.122659,0.030303,0.969697,0.030303,0.019697,16.55,no_position,2833,passkey_exact
20,3.583519,36.0,0.0,0.029412,0.027778,0.972222,0.027778,0.027778,34.0,no_position,2833,multi_needle
20,2.890372,18.0,0.1,0.202034,0.055556,0.944444,0.027778,0.072222,12.5,no_position,2833,aggregation
20,3.496508,33.0,0.05,0.122659,0.030303,0.969697,0.030303,0.019697,16.55,no_position,2837,passkey_exact
20,3.583519,36.0,0.0,0.029412,0.027778,0.972222,0.027778,0.027778,34.0,no_position,2837,multi_needle
20,2.890372,18.0,0.1,0.202034,0.055556,0.944444,0.027778,0.072222,12.5,no_position,2837,aggregation
20,3.496508,33.0,0.05,0.122659,0.030303,0.969697,0.030303,0.019697,16.55,no_position,2843,passkey_exact
20,3.583519,36.0,0.0,0.029412,0.027778,0.972222,0.027778,0.027778,34.0,no_position,2843,multi_needle
20,2.890372,18.0,0.1,0.202034,0.055556,0.944444,0.027778,0.072222,12.5,no_position,2843,aggregation
20,3.497289,33.025785,0.0,0.06895,0.030281,0.969719,0.030908,0.030908,17.45,alibi,2801,passkey_exact
20,3.566529,35.393514,0.0,0.333333,0.028254,0.971746,0.028302,0.028302,3.0,alibi,2801,multi_needle
20,2.895444,18.091524,0.0,0.057303,0.055277,0.944723,0.02834,0.02834,21.25,alibi,2801,aggregation
20,3.498081,33.051974,0.0,0.06895,0.03026,0.96974,0.031441,0.031441,17.45,alibi,2819,passkey_exact
20,3.551842,34.877493,0.0,0.333333,0.028672,0.971328,0.028763,0.028763,3.0,alibi,2819,multi_needle
20,2.899979,18.173756,0.0,0.057303,0.055032,0.944968,0.028835,0.028835,21.25,alibi,2819,aggregation
20,3.497414,33.029935,0.0,0.06895,0.030277,0.969723,0.030999,0.030999,17.45,alibi,2833,passkey_exact
