period_pair,period_a,period_b,gcd,fundamental_period,row_count,sequence_length_min,sequence_length_max,loss,perplexity,top1_accuracy,mrr,mean_target_probability,mean_first_relevant_rank,target_top_tie_rate,mean_target_score_gap,mean_top_score_tie_count,mean_target_score_tie_count,sequence_length
4/8,4,8,4,8,60,512,512,2.559494,12.92927,0.0,0.185946,0.080991,6.166667,0.083333,0.379696,2.95,3.216667,512
5/10,5,10,5,10,60,512,512,2.945343,19.01719,0.016667,0.157172,0.057695,8.05,0.05,1.029263,2.216667,2.583333,512
6/12,6,12,6,12,60,512,512,3.148298,23.29638,0.0,0.126163,0.048487,9.266667,0.016667,1.190267,1.716667,2.366667,512
7/11,7,11,1,77,60,512,512,3.340063,28.220901,0.0,0.159023,0.044184,7.283333,0.016667,2.058913,1.366667,1.283333,512
8/12,8,12,4,24,60,512,512,3.642181,38.175008,0.0,0.118103,0.033898,9.45,0.016667,2.224643,1.833333,1.85,512
8/16,8,16,8,16,60,512,512,3.46156,31.866652,0.016667,0.114493,0.037493,11.3,0.016667,1.642479,2.0,2.083333,512
8/24,8,24,8,24,60,512,512,3.841766,46.60769,0.0,0.101694,0.028146,11.25,0.016667,2.786252,1.683333,1.8,512
9/15,9,15,3,45,60,512,512,3.607821,36.885609,0.033333,0.156096,0.040755,8.833333,0.05,2.423999,1.483333,1.25,512
10/16,10,16,2,80,60,512,512,3.686033,39.886301,0.033333,0.155223,0.049233,9.65,0.066667,2.499811,1.266667,1.233333,512
12/24,12,24,12,24,60,512,512,3.619011,37.300662,0.016667,0.110459,0.035883,12.733333,0.05,1.871672,1.85,1.766667,512
16/32,16,32,16,32,60,512,512,3.561882,35.22944,0.033333,0.136883,0.042838,12.416667,0.05,1.769013,1.516667,1.566667,512
4/8,4,8,4,8,60,1024,1024,3.255725,25.938412,0.0,0.086931,0.04031,12.65,0.0,0.400406,2.483333,5.166667,1024
5/10,5,10,5,10,60,1024,1024,3.590039,36.235496,0.0,0.083589,0.031074,15.35,0.066667,0.984878,2.883333,4.866667,1024
6/12,6,12,6,12,60,1024,1024,3.789165,44.219481,0.0,0.063478,0.026607,18.45,0.0,1.091463,1.633333,3.933333,1024
7/11,7,11,1,77,60,1024,1024,4.204385,66.979361,0.0,0.080403,0.019183,14.566667,0.0,2.484325,1.35,1.416667,1024
8/12,8,12,4,24,60,1024,1024,4.204101,66.960368,0.0,0.081836,0.02131,17.8,0.033333,2.144352,1.45,2.433333,1024
8/16,8,16,8,16,60,1024,1024,3.982462,53.648945,0.016667,0.102439,0.025446,20.166667,0.1,1.492312,1.8,3.416667,1024
8/24,8,24,8,24,60,1024,1024,4.424694,83.48726,0.016667,0.073173,0.01816,21.05,0.016667,2.938813,1.516667,2.583333,1024
9/15,9,15,3,45,60,1024,1024,4.604447,99.927696,0.0,0.054671,0.01197,19.9,0.0,3.001708,1.516667,1.666667,1024
10/16,10,16,2,80,60,1024,1024,4.412886,82.507258,0.016667,0.089223,0.02128,18.383333,0.033333,2.85831,1.366667,1.6,1024
12/24,12,24,12,24,60,1024,1024,4.189434,65.985431,0.0,0.057977,0.021246,23.416667,0.033333,1.764186,2.116667,2.733333,1024
16/32,16,32,16,32,60,1024,1024,4.284377,72.557294,0.0,0.062633,0.019801,24.4,0.0,1.866264,2.05,2.266667,1024
4/8,4,8,4,8,60,2048,2048,3.248889,25.761691,0.0,0.094584,0.040851,11.716667,0.0,0.379696,1.666667,5.333333,2048
5/10,5,10,5,10,60,2048,2048,3.572248,35.596512,0.0,0.084004,0.031308,15.016667,0.016667,1.007911,1.633333,4.4,2048
6/12,6,12,6,12,60,2048,2048,3.781529,43.883108,0.0,0.079718,0.027419,17.35,0.0,1.085363,1.4,3.666667,2048
7/11,7,11,1,77,60,2048,2048,3.995856,54.372363,0.016667,0.125744,0.030398,13.116667,0.016667,2.23748,1.1,1.433333,2048
8/12,8,12,4,24,60,2048,2048,4.132574,62.338203,0.033333,0.108228,0.024616,16.2,0.033333,2.111531,1.25,2.616667,2048
8/16,8,16,8,16,60,2048,2048,4.043317,57.015144,0.0,0.0685,0.022592,20.483333,0.033333,1.552723,1.616667,3.25,2048
8/24,8,24,8,24,60,2048,2048,4.542952,93.967742,0.0,0.056123,0.013327,20.516667,0.0,3.028905,1.8,2.483333,2048
9/15,9,15,3,45,60,2048,2048,4.375137,79.450753,0.016667,0.084636,0.019274,17.416667,0.033333,2.810486,1.15,1.566667,2048
10/16,10,16,2,80,60,2048,2048,4.37742,79.632352,0.0,0.072773,0.019518,18.05,0.0,2.813274,1.183333,1.566667,2048
12/24,12,24,12,24,60,2048,2048,4.149701,63.41505,0.016667,0.085197,0.022048,21.75,0.05,1.721525,1.9,2.433333,2048
16/32,16,32,16,32,60,2048,2048,4.277282,72.044376,0.0,0.06078,0.019787,24.533333,0.016667,1.878012,1.466667,2.216667,2048
4/8,4,8,4,8,60,4096,4096,3.240408,25.544145,0.0,0.11142,0.041417,11.1,0.0,0.379696,1.05,4.616667,4096
5/10,5,10,5,10,60,4096,4096,3.58017,35.879645,0.0,0.08002,0.031514,15.2,0.0,0.982159,1.216667,3.716667,4096
6/12,6,12,6,12,60,4096,4096,3.839605,46.507099,0.0,0.074214,0.025038,18.066667,0.0,1.134765,1.1,3.333333,4096
7/11,7,11,1,77,60,4096,4096,4.214634,67.669426,0.016667,0.084779,0.017629,15.016667,0.016667,2.46377,1.083333,1.566667,4096
8/12,8,12,4,24,60,4096,4096,4.262936,71.018213,0.016667,0.076445,0.018454,17.4,0.016667,2.210448,1.083333,1.983333,4096
8/16,8,16,8,16,60,4096,4096,4.030269,56.276054,0.016667,0.084773,0.02288,20.133333,0.033333,1.552723,1.233333,2.7,4096
8/24,8,24,8,24,60,4096,4096,4.401933,81.608426,0.033333,0.093344,0.020666,20.016667,0.033333,2.876612,1.683333,2.1,4096
9/15,9,15,3,45,60,4096,4096,4.414664,82.654052,0.016667,0.081999,0.017915,17.883333,0.016667,2.77858,1.05,1.6,4096
10/16,10,16,2,80,60,4096,4096,4.489721,89.096613,0.0,0.06344,0.01528,18.75,0.0,2.937212,1.116667,1.233333,4096
12/24,12,24,12,24,60,4096,4096,4.251097,70.182368,0.0,0.061346,0.019754,23.783333,0.0,1.801113,1.75,2.016667,4096
16/32,16,32,16,32,60,4096,4096,4.306151,74.154484,0.016667,0.067888,0.019548,25.066667,0.016667,1.875485,1.333333,2.05,4096
