period_pair,period_a,period_b,gcd,fundamental_period,row_count,sequence_length_min,sequence_length_max,loss,perplexity,top1_accuracy,mrr,mean_target_probability,mean_first_relevant_rank,target_top_tie_rate,mean_target_score_gap,mean_top_score_tie_count,mean_target_score_tie_count
4/8,4,8,4,8,240,128,1024,2.553701,12.854587,0.016667,0.220393,0.087437,6.454167,0.0875,0.371066,2.741667,3.154167
5/10,5,10,5,10,240,128,1024,2.916651,18.479296,0.008333,0.155863,0.063662,8.870833,0.033333,1.003351,2.541667,2.891667
6/12,6,12,6,12,240,128,1024,3.116739,22.572645,0.008333,0.136849,0.053425,10.091667,0.029167,1.153325,1.808333,2.541667
7/11,7,11,1,77,240,128,1024,3.441918,31.246829,0.008333,0.165233,0.042368,8.220833,0.016667,2.250156,1.295833,1.241667
8/12,8,12,4,24,240,128,1024,3.484774,32.615068,0.020833,0.156865,0.041892,9.3875,0.033333,2.085609,1.541667,1.833333
8/16,8,16,8,16,240,128,1024,3.333176,28.027207,0.008333,0.128813,0.047371,11.591667,0.041667,1.529984,1.766667,2.279167
8/24,8,24,8,24,240,128,1024,3.666861,39.128882,0.045833,0.163001,0.047964,11.075,0.058333,2.600683,1.5,1.8125
9/15,9,15,3,45,240,128,1024,3.641331,38.142555,0.016667,0.153759,0.039754,9.658333,0.025,2.483976,1.441667,1.416667
10/16,10,16,2,80,240,128,1024,3.648805,38.428706,0.0375,0.15878,0.043671,10.308333,0.0375,2.531585,1.225,1.270833
12/24,12,24,12,24,240,128,1024,3.534536,34.279095,0.025,0.12457,0.04016,12.808333,0.029167,1.783475,1.754167,1.829167
16/32,16,32,16,32,240,128,1024,3.562361,35.246305,0.008333,0.116832,0.041847,13.533333,0.020833,1.7844,1.5875,1.7375
