period_pair,period_a,period_b,gcd,fundamental_period,row_count,sequence_length_min,sequence_length_max,loss,perplexity,top1_accuracy,mrr,mean_target_probability,mean_first_relevant_rank,target_top_tie_rate,mean_target_score_gap,mean_top_score_tie_count,mean_target_score_tie_count
4/8,4,8,4,8,240,512,4096,3.076129,21.674335,0.0,0.11972,0.050892,10.408333,0.020833,0.384873,2.0375,4.583333
5/10,5,10,5,10,240,512,4096,3.42195,30.629086,0.004167,0.101196,0.037898,13.404167,0.033333,1.001053,1.9875,3.891667
6/12,6,12,6,12,240,512,4096,3.639649,38.078487,0.0,0.085893,0.031888,15.783333,0.004167,1.125464,1.4625,3.325
7/11,7,11,1,77,240,512,4096,3.938734,51.35357,0.008333,0.112487,0.027849,12.495833,0.0125,2.311122,1.225,1.425
8/12,8,12,4,24,240,512,4096,4.060448,58.000301,0.0125,0.096153,0.024569,15.2125,0.025,2.172744,1.404167,2.220833
8/16,8,16,8,16,240,512,4096,3.879402,48.395265,0.0125,0.092551,0.027103,18.020833,0.045833,1.560059,1.6625,2.8625
8/24,8,24,8,24,240,512,4096,4.302836,73.909097,0.0125,0.081084,0.020075,18.208333,0.016667,2.907645,1.670833,2.241667
9/15,9,15,3,45,240,512,4096,4.250517,70.141694,0.016667,0.09435,0.022479,16.008333,0.025,2.753693,1.3,1.520833
10/16,10,16,2,80,240,512,4096,4.241515,69.513101,0.0125,0.095165,0.026328,16.208333,0.025,2.777152,1.233333,1.408333
12/24,12,24,12,24,240,512,4096,4.052311,57.530247,0.008333,0.078745,0.024733,20.420833,0.033333,1.789624,1.904167,2.2375
16/32,16,32,16,32,240,512,4096,4.107423,60.789851,0.0125,0.082046,0.025493,21.604167,0.020833,1.847194,1.591667,2.025
