period_pair,period_a,period_b,gcd,fundamental_period,row_count,sequence_length_min,sequence_length_max,loss,perplexity,top1_accuracy,mrr,mean_target_probability,mean_first_relevant_rank,target_top_tie_rate,mean_target_score_gap,mean_top_score_tie_count,mean_target_score_tie_count,task
4/8,4,8,4,8,80,128,1024,2.676754,14.537822,0.0,0.218406,0.075686,6.225,0.0125,0.409036,2.3875,2.9375,passkey_exact
5/10,5,10,5,10,80,128,1024,3.107473,22.364454,0.0,0.145683,0.049786,8.9625,0.0,1.100759,2.5125,2.6,passkey_exact
6/12,6,12,6,12,80,128,1024,3.333242,28.029052,0.0,0.128047,0.039777,9.975,0.0,1.290665,1.7125,2.275,passkey_exact
7/11,7,11,1,77,80,128,1024,3.651228,38.521944,0.0,0.167808,0.030638,8.1375,0.0,2.31889,1.2125,1.125,passkey_exact
8/12,8,12,4,24,80,128,1024,3.719624,41.248862,0.0,0.134915,0.028825,9.6375,0.0,2.2228,1.4,1.625,passkey_exact
8/16,8,16,8,16,80,128,1024,3.599703,36.587376,0.0,0.105606,0.030873,11.9125,0.0,1.779126,1.6,1.9375,passkey_exact
8/24,8,24,8,24,80,128,1024,4.026718,56.076584,0.0,0.105646,0.021256,11.8,0.0,2.870101,1.425,1.625,passkey_exact
9/15,9,15,3,45,80,128,1024,3.926369,50.72249,0.0,0.124295,0.024347,10.2875,0.0,2.611648,1.4625,1.2375,passkey_exact
10/16,10,16,2,80,80,128,1024,3.920591,50.430261,0.0,0.117749,0.024205,10.8875,0.0,2.673465,1.275,1.15,passkey_exact
12/24,12,24,12,24,80,128,1024,3.874959,48.180704,0.0,0.088872,0.023315,13.9625,0.0,2.065124,1.65,1.625,passkey_exact
16/32,16,32,16,32,80,128,1024,3.948114,51.837529,0.0,0.082141,0.022239,15.1625,0.0,2.150922,1.5625,1.525,passkey_exact
4/8,4,8,4,8,80,128,1024,2.749091,15.628414,0.0,0.175086,0.069965,7.35,0.025,0.403858,2.725,3.15,multi_needle
5/10,5,10,5,10,80,128,1024,3.179795,24.041827,0.0,0.130044,0.04581,9.8375,0.0,1.100759,2.5375,2.7875,multi_needle
6/12,6,12,6,12,80,128,1024,3.391077,29.697929,0.0,0.111328,0.03791,11.425,0.0,1.255677,1.6625,2.65,multi_needle
7/11,7,11,1,77,80,128,1024,3.791642,44.329109,0.0,0.136241,0.025401,9.025,0.0,2.433533,1.425,1.2625,multi_needle
8/12,8,12,4,24,80,128,1024,3.885427,48.687725,0.0,0.115296,0.023518,10.85,0.0,2.33171,1.725,1.75,multi_needle
8/16,8,16,8,16,80,128,1024,3.71051,40.874649,0.0,0.091507,0.027671,13.6375,0.0,1.786341,1.7125,2.1625,multi_needle
8/24,8,24,8,24,80,128,1024,4.144342,63.076089,0.0,0.09399,0.01911,13.25,0.0,2.989133,1.475,1.75,multi_needle
9/15,9,15,3,45,80,128,1024,3.99271,54.201599,0.0,0.122688,0.022188,10.5125,0.0,2.70354,1.475,1.3875,multi_needle
10/16,10,16,2,80,80,128,1024,4.098341,60.240283,0.0,0.111035,0.019781,11.65,0.0,2.873369,1.1625,1.2,multi_needle
12/24,12,24,12,24,80,128,1024,3.958688,52.38854,0.0,0.079087,0.02125,15.35,0.0,2.075597,1.9125,1.75,multi_needle
16/32,16,32,16,32,80,128,1024,4.045075,57.115457,0.0,0.073954,0.019413,16.475,0.0,2.168662,1.65,1.4625,multi_needle
4/8,4,8,4,8,80,128,1024,2.235258,9.348891,0.05,0.267687,0.116661,5.7875,0.225,0.300305,3.1125,3.375,aggregation
5/10,5,10,5,10,80,128,1024,2.462685,11.736281,0.025,0.191863,0.095391,7.8125,0.1,0.808536,2.575,3.2875,aggregation
6/12,6,12,6,12,80,128,1024,2.625897,13.816969,0.025,0.171172,0.082589,8.875,0.0875,0.913634,2.05,2.7,aggregation
7/11,7,11,1,77,80,128,1024,2.882884,17.865725,0.025,0.19165,0.071064,7.5,0.05,1.998044,1.25,1.3375,aggregation
8/12,8,12,4,24,80,128,1024,2.849273,17.275213,0.0625,0.220384,0.073333,7.675,0.1,1.702316,1.5,2.125,aggregation
8/16,8,16,8,16,80,128,1024,2.689314,14.721571,0.025,0.189327,0.083569,9.225,0.125,1.024486,1.9875,2.7375,aggregation
8/24,8,24,8,24,80,128,1024,2.829522,16.937371,0.1375,0.289366,0.103527,8.175,0.175,1.942815,1.6,2.0625,aggregation
9/15,9,15,3,45,80,128,1024,3.004912,20.184438,0.05,0.214296,0.072728,8.175,0.075,2.13674,1.3875,1.625,aggregation
10/16,10,16,2,80,80,128,1024,2.927482,18.680525,0.1125,0.247554,0.087028,8.3875,0.1125,2.047921,1.2375,1.4625,aggregation
12/24,12,24,12,24,80,128,1024,2.769961,15.958006,0.075,0.205751,0.075916,9.1125,0.0875,1.209703,1.7,2.1125,aggregation
16/32,16,32,16,32,80,128,1024,2.693893,14.789137,0.025,0.194402,0.083889,8.9625,0.0625,1.033617,1.55,2.225,aggregation
