row_count,loss,perplexity,top1_accuracy,mrr,mean_target_probability,target_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_rank,method,model_seed
60,3.332952,28.020933,0.0,0.153196,0.036896,0.963104,0.034733,0.034733,13.9,no_position,3203
60,3.33679,28.128682,0.0,0.153196,0.036755,0.963245,0.03456,0.03456,13.9,no_position,3217
60,3.337408,28.14608,0.0,0.153196,0.036732,0.963268,0.034684,0.034684,13.9,no_position,3221
60,3.352913,28.585871,0.0,0.153196,0.036182,0.963818,0.03375,0.03375,13.9,no_position,3229
60,3.335665,28.097072,0.0,0.153196,0.036794,0.963206,0.034705,0.034705,13.9,no_position,3251
60,3.339957,28.217915,0.0,0.153196,0.036697,0.963303,0.033023,0.033023,13.9,alibi,3203
60,3.337351,28.144466,0.0,0.153196,0.036784,0.963216,0.033282,0.033282,13.9,alibi,3217
60,3.344211,28.338207,0.0,0.153196,0.036557,0.963443,0.032645,0.032645,13.9,alibi,3221
60,3.342424,28.287602,0.0,0.153196,0.036619,0.963381,0.032762,0.032762,13.9,alibi,3229
60,3.356866,28.699098,0.0,0.153196,0.036163,0.963837,0.031321,0.031321,13.9,alibi,3251
60,0.33887,1.403361,1.0,1.0,0.714987,0.285013,0.710794,0.289206,1.0,rope_relative,3203
60,0.342804,1.408892,1.0,1.0,0.712156,0.287844,0.707972,0.292028,1.0,rope_relative,3217
60,0.342997,1.409165,1.0,1.0,0.711967,0.288033,0.707846,0.292154,1.0,rope_relative,3221
60,0.342706,1.408755,1.0,1.0,0.712302,0.287698,0.708102,0.291898,1.0,rope_relative,3229
60,0.340743,1.405992,1.0,1.0,0.713718,0.286282,0.709506,0.290494,1.0,rope_relative,3251
60,0.882063,2.415879,0.816667,0.904167,0.428433,0.571567,0.426802,0.389865,1.216667,sinusoidal,3203
60,0.886176,2.425836,0.816667,0.904167,0.426652,0.573348,0.425005,0.391662,1.216667,sinusoidal,3217
60,0.882921,2.417953,0.666667,0.825,0.428286,0.571714,0.42632,0.302295,1.383333,sinusoidal,3221
60,0.87686,2.403343,0.816667,0.904167,0.430974,0.569026,0.428908,0.387759,1.216667,sinusoidal,3229
60,0.88468,2.422209,0.816667,0.904167,0.427306,0.572694,0.425666,0.391001,1.216667,sinusoidal,3251
60,0.860633,2.364656,1.0,1.0,0.435101,0.564899,0.424476,0.575524,1.0,phasewrap_distance_adapter,3203
60,0.876368,2.40216,1.0,1.0,0.428556,0.571444,0.418244,0.581756,1.0,phasewrap_distance_adapter,3217
60,0.891566,2.438945,1.0,1.0,0.421837,0.578163,0.411556,0.588444,1.0,phasewrap_distance_adapter,3221
60,0.88316,2.418529,1.0,1.0,0.425086,0.574914,0.414526,0.585474,1.0,phasewrap_distance_adapter,3229
60,0.861364,2.366386,1.0,1.0,0.434794,0.565206,0.424195,0.575805,1.0,phasewrap_distance_adapter,3251
60,0.759595,2.13741,1.0,1.0,0.47812,0.52188,0.468502,0.531498,1.0,phasewrap_multiscale_adapter,3203
60,0.7552,2.128036,1.0,1.0,0.480207,0.519793,0.470414,0.529586,1.0,phasewrap_multiscale_adapter,3217
60,0.747058,2.110781,1.0,1.0,0.483811,0.516189,0.473641,0.526359,1.0,phasewrap_multiscale_adapter,3221
60,0.757866,2.133718,1.0,1.0,0.478976,0.521024,0.469243,0.530757,1.0,phasewrap_multiscale_adapter,3229
60,0.754817,2.127222,1.0,1.0,0.480435,0.519565,0.470772,0.529228,1.0,phasewrap_multiscale_adapter,3251
