row_count,loss,perplexity,top1_accuracy,mrr,mean_target_probability,target_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_rank,method,model_seed,task
20,3.565986,35.374308,0.0,0.06895,0.028469,0.971531,0.036795,0.036795,17.45,no_position,3203,passkey_exact
20,3.419537,30.555267,0.0,0.333333,0.032737,0.967263,0.033426,0.033426,3.0,no_position,3203,multi_needle
20,3.013333,20.355124,0.0,0.057303,0.049481,0.950519,0.033979,0.033979,21.25,no_position,3203,aggregation
20,3.569834,35.510713,0.0,0.06895,0.028356,0.971644,0.036603,0.036603,17.45,no_position,3217,passkey_exact
20,3.424331,30.702098,0.0,0.333333,0.032581,0.967419,0.033267,0.033267,3.0,no_position,3217,multi_needle
20,3.016204,20.413652,0.0,0.057303,0.04933,0.95067,0.03381,0.03381,21.25,no_position,3217,aggregation
20,3.571417,35.566965,0.0,0.06895,0.028325,0.971675,0.036734,0.036734,17.45,no_position,3221,passkey_exact
20,3.421004,30.600119,0.0,0.333333,0.03269,0.96731,0.033379,0.033379,3.0,no_position,3221,multi_needle
20,3.019803,20.487257,0.0,0.057303,0.049181,0.950819,0.03394,0.03394,21.25,no_position,3221,aggregation
20,3.584338,36.029494,0.0,0.06895,0.027941,0.972059,0.035709,0.035709,17.45,no_position,3229,passkey_exact
20,3.445849,31.369895,0.0,0.333333,0.031886,0.968114,0.032514,0.032514,3.0,no_position,3229,multi_needle
20,3.028551,20.667268,0.0,0.057303,0.048718,0.951282,0.033026,0.033026,21.25,no_position,3229,aggregation
20,3.569508,35.499116,0.0,0.06895,0.028371,0.971629,0.03676,0.03676,17.45,no_position,3251,passkey_exact
20,3.420611,30.588094,0.0,0.333333,0.032702,0.967298,0.0334,0.0334,3.0,no_position,3251,multi_needle
20,3.016877,20.427407,0.0,0.057303,0.049308,0.950692,0.033955,0.033955,21.25,no_position,3251,aggregation
20,3.560923,35.195653,0.0,0.06895,0.028536,0.971464,0.034956,0.034956,17.45,alibi,3203,passkey_exact
20,3.463409,31.925626,0.0,0.333333,0.031329,0.968671,0.03185,0.03185,3.0,alibi,3203,multi_needle
20,2.99554,19.996146,0.0,0.057303,0.050228,0.949772,0.032263,0.032263,21.25,alibi,3203,aggregation
20,3.559643,35.150662,0.0,0.06895,0.028581,0.971419,0.035237,0.035237,17.45,alibi,3217,passkey_exact
20,3.45643,31.703585,0.0,0.333333,0.031548,0.968452,0.032089,0.032089,3.0,alibi,3217,multi_needle
20,2.995979,20.004936,0.0,0.057303,0.050221,0.949779,0.032519,0.032519,21.25,alibi,3217,aggregation
20,3.562999,35.268804,0.0,0.06895,0.028471,0.971529,0.034546,0.034546,17.45,alibi,3221,passkey_exact
20,3.473267,32.241907,0.0,0.333333,0.031021,0.968979,0.031497,0.031497,3.0,alibi,3221,multi_needle
20,2.996367,20.012699,0.0,0.057303,0.050179,0.949821,0.031892,0.031892,21.25,alibi,3221,aggregation
20,3.561692,35.222745,0.0,0.06895,0.02851,0.97149,0.034674,0.034674,17.45,alibi,3229,passkey_exact
20,3.470114,32.140417,0.0,0.333333,0.031119,0.968881,0.031606,0.031606,3.0,alibi,3229,multi_needle
20,2.995465,19.994646,0.0,0.057303,0.050227,0.949773,0.032006,0.032006,21.25,alibi,3229,aggregation
20,3.568291,35.455934,0.0,0.06895,0.028278,0.971722,0.033114,0.033114,17.45,alibi,3251,passkey_exact
20,3.510318,33.4589,0.0,0.333333,0.029891,0.970109,0.030273,0.030273,3.0,alibi,3251,multi_needle
20,2.991989,19.925266,0.0,0.057303,0.050321,0.949679,0.030575,0.030575,21.25,alibi,3251,aggregation
20,0.341737,1.40739,1.0,1.0,0.712924,0.287076,0.712924,0.287076,1.0,rope_relative,3203,passkey_exact
20,0.33464,1.397437,1.0,1.0,0.717926,0.282074,0.717926,0.282074,1.0,rope_relative,3203,multi_needle
20,0.340232,1.405274,1.0,1.0,0.714111,0.285889,0.701532,0.298468,1.0,rope_relative,3203,aggregation
20,0.345503,1.4127,1.0,1.0,0.710222,0.289778,0.710222,0.289778,1.0,rope_relative,3217,passkey_exact
20,0.338884,1.403381,1.0,1.0,0.714863,0.285137,0.714863,0.285137,1.0,rope_relative,3217,multi_needle
20,0.344024,1.410613,1.0,1.0,0.711384,0.288616,0.698831,0.301169,1.0,rope_relative,3217,aggregation
20,0.345336,1.412465,1.0,1.0,0.710257,0.289743,0.710257,0.289743,1.0,rope_relative,3221,passkey_exact
20,0.33951,1.40426,1.0,1.0,0.714404,0.285596,0.714404,0.285596,1.0,rope_relative,3221,multi_needle
20,0.344145,1.410783,1.0,1.0,0.711242,0.288758,0.698876,0.301124,1.0,rope_relative,3221,aggregation
20,0.345049,1.412059,1.0,1.0,0.710628,0.289372,0.710628,0.289372,1.0,rope_relative,3229,passkey_exact
20,0.340037,1.404999,1.0,1.0,0.714099,0.285901,0.714099,0.285901,1.0,rope_relative,3229,multi_needle
20,0.343034,1.409216,1.0,1.0,0.712178,0.287822,0.69958,0.30042,1.0,rope_relative,3229,aggregation
20,0.343555,1.409951,1.0,1.0,0.711707,0.288293,0.711707,0.288293,1.0,rope_relative,3251,passkey_exact
20,0.337188,1.401003,1.0,1.0,0.71615,0.28385,0.71615,0.28385,1.0,rope_relative,3251,multi_needle
20,0.341486,1.407037,1.0,1.0,0.713297,0.286703,0.700661,0.299339,1.0,rope_relative,3251,aggregation
20,0.819777,2.269993,0.85,0.925,0.456282,0.543718,0.456497,0.393503,1.15,sinusoidal,3203,passkey_exact
20,0.913815,2.493818,1.0,1.0,0.411003,0.588997,0.411003,0.588997,1.0,sinusoidal,3203,multi_needle
20,0.912598,2.490786,0.6,0.7875,0.418013,0.581987,0.412906,0.299821,1.5,sinusoidal,3203,aggregation
20,0.822889,2.277069,0.85,0.925,0.454892,0.545108,0.455091,0.394909,1.15,sinusoidal,3217,passkey_exact
20,0.919009,2.506805,1.0,1.0,0.408861,0.591139,0.408861,0.591139,1.0,sinusoidal,3217,multi_needle
20,0.91663,2.500849,0.6,0.7875,0.416203,0.583797,0.411063,0.300509,1.5,sinusoidal,3217,aggregation
20,0.817547,2.264936,0.75,0.858333,0.457608,0.542392,0.457717,0.338865,1.35,sinusoidal,3221,passkey_exact
20,0.922644,2.515933,0.45,0.716667,0.407614,0.592386,0.408061,0.410148,1.6,sinusoidal,3221,multi_needle
20,0.908574,2.480782,0.8,0.9,0.419635,0.580365,0.413184,0.437746,1.2,sinusoidal,3221,aggregation
20,0.811961,2.252319,0.85,0.925,0.460242,0.539758,0.460287,0.389713,1.15,sinusoidal,3229,passkey_exact
20,0.914204,2.494789,1.0,1.0,0.411116,0.588884,0.411116,0.588884,1.0,sinusoidal,3229,multi_needle
20,0.904417,2.470491,0.6,0.7875,0.421564,0.578436,0.41532,0.297212,1.5,sinusoidal,3229,aggregation
20,0.821853,2.274712,0.85,0.925,0.455363,0.544637,0.455577,0.394423,1.15,sinusoidal,3251,passkey_exact
20,0.917093,2.502008,1.0,1.0,0.409643,0.590357,0.409643,0.590357,1.0,sinusoidal,3251,multi_needle
20,0.915093,2.497006,0.6,0.7875,0.416913,0.583087,0.411777,0.300282,1.5,sinusoidal,3251,aggregation
20,0.926128,2.524713,1.0,1.0,0.406536,0.593464,0.406536,0.593464,1.0,phasewrap_distance_adapter,3203,passkey_exact
20,0.758777,2.135662,1.0,1.0,0.480752,0.519248,0.480752,0.519248,1.0,phasewrap_distance_adapter,3203,multi_needle
20,0.896994,2.45222,1.0,1.0,0.418015,0.581985,0.386139,0.613861,1.0,phasewrap_distance_adapter,3203,aggregation
20,0.944206,2.570772,1.0,1.0,0.399495,0.600505,0.399495,0.600505,1.0,phasewrap_distance_adapter,3217,passkey_exact
20,0.770552,2.160959,1.0,1.0,0.475281,0.524719,0.475281,0.524719,1.0,phasewrap_distance_adapter,3217,multi_needle
20,0.914346,2.495144,1.0,1.0,0.410891,0.589109,0.379958,0.620042,1.0,phasewrap_distance_adapter,3217,aggregation
20,0.959149,2.609474,1.0,1.0,0.393354,0.606646,0.393354,0.606646,1.0,phasewrap_distance_adapter,3221,passkey_exact
20,0.787861,2.198689,1.0,1.0,0.466913,0.533087,0.466913,0.533087,1.0,phasewrap_distance_adapter,3221,multi_needle
20,0.927687,2.528654,1.0,1.0,0.405244,0.594756,0.374402,0.625598,1.0,phasewrap_distance_adapter,3221,aggregation
20,0.948917,2.582912,1.0,1.0,0.397073,0.602927,0.397073,0.602927,1.0,phasewrap_distance_adapter,3229,passkey_exact
20,0.782643,2.187246,1.0,1.0,0.469083,0.530917,0.469083,0.530917,1.0,phasewrap_distance_adapter,3229,multi_needle
20,0.917918,2.504072,1.0,1.0,0.409101,0.590899,0.377422,0.622578,1.0,phasewrap_distance_adapter,3229,aggregation
20,0.927056,2.527057,1.0,1.0,0.406164,0.593836,0.406164,0.593836,1.0,phasewrap_distance_adapter,3251,passkey_exact
20,0.759115,2.136384,1.0,1.0,0.480595,0.519405,0.480595,0.519405,1.0,phasewrap_distance_adapter,3251,multi_needle
20,0.897921,2.454495,1.0,1.0,0.417621,0.582379,0.385826,0.614174,1.0,phasewrap_distance_adapter,3251,aggregation
20,0.847586,2.334006,1.0,1.0,0.437896,0.562104,0.437896,0.562104,1.0,phasewrap_multiscale_adapter,3203,passkey_exact
20,0.642276,1.900802,1.0,1.0,0.533942,0.466058,0.533942,0.466058,1.0,phasewrap_multiscale_adapter,3203,multi_needle
20,0.788923,2.201024,1.0,1.0,0.462522,0.537478,0.433669,0.566331,1.0,phasewrap_multiscale_adapter,3203,aggregation
20,0.842796,2.322852,1.0,1.0,0.439962,0.560038,0.439962,0.560038,1.0,phasewrap_multiscale_adapter,3217,passkey_exact
20,0.638714,1.894044,1.0,1.0,0.535902,0.464098,0.535902,0.464098,1.0,phasewrap_multiscale_adapter,3217,multi_needle
20,0.784089,2.190412,1.0,1.0,0.464756,0.535244,0.435378,0.564622,1.0,phasewrap_multiscale_adapter,3217,aggregation
20,0.831361,2.296441,1.0,1.0,0.444753,0.555247,0.444753,0.555247,1.0,phasewrap_multiscale_adapter,3221,passkey_exact
20,0.636364,1.889599,1.0,1.0,0.53707,0.46293,0.53707,0.46293,1.0,phasewrap_multiscale_adapter,3221,multi_needle
20,0.773449,2.167227,1.0,1.0,0.46961,0.53039,0.4391,0.5609,1.0,phasewrap_multiscale_adapter,3221,aggregation
20,0.845716,2.329646,1.0,1.0,0.438779,0.561221,0.438779,0.561221,1.0,phasewrap_multiscale_adapter,3229,passkey_exact
20,0.641161,1.898685,1.0,1.0,0.534594,0.465406,0.534594,0.465406,1.0,phasewrap_multiscale_adapter,3229,multi_needle
20,0.78672,2.196182,1.0,1.0,0.463556,0.536444,0.434357,0.565643,1.0,phasewrap_multiscale_adapter,3229,aggregation
20,0.842187,2.321438,1.0,1.0,0.440314,0.559686,0.440314,0.559686,1.0,phasewrap_multiscale_adapter,3251,passkey_exact
20,0.637854,1.892415,1.0,1.0,0.536336,0.463664,0.536336,0.463664,1.0,phasewrap_multiscale_adapter,3251,multi_needle
20,0.78441,2.191114,1.0,1.0,0.464654,0.535346,0.435666,0.564334,1.0,phasewrap_multiscale_adapter,3251,aggregation
