row_count,temperature,loss,perplexity,top1_accuracy,mrr,mean_target_probability,target_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_rank,method,model_seed,selected_temperature,uncalibrated_mean_target_probability,uncalibrated_expected_calibration_error,delta_target_probability,delta_expected_calibration_error
60,0.25,0.00674,1.006762,1.0,1.0,0.993694,0.006306,0.993694,0.006306,1.0,rope_relative,3203,0.25,0.714987,0.289206,0.278707,-0.2829
60,0.25,0.006661,1.006683,1.0,1.0,0.993763,0.006237,0.993763,0.006237,1.0,rope_relative,3217,0.25,0.712156,0.292028,0.281607,-0.285791
60,0.25,0.006351,1.006371,1.0,1.0,0.994035,0.005965,0.994035,0.005965,1.0,rope_relative,3221,0.25,0.711967,0.292154,0.282068,-0.286189
60,0.25,0.007237,1.007263,1.0,1.0,0.993262,0.006738,0.993262,0.006738,1.0,rope_relative,3229,0.25,0.712302,0.291898,0.28096,-0.28516
60,0.25,0.007227,1.007253,1.0,1.0,0.99327,0.00673,0.99327,0.00673,1.0,rope_relative,3251,0.25,0.713718,0.290494,0.279552,-0.283764
60,0.25,0.369609,1.447169,0.816667,0.904167,0.749017,0.250983,0.751995,0.08188,1.216667,sinusoidal,3203,0.25,0.428433,0.389865,0.320584,-0.307985
60,0.25,0.370206,1.448033,0.816667,0.904167,0.748699,0.251301,0.751509,0.082333,1.216667,sinusoidal,3217,0.25,0.426652,0.391662,0.322047,-0.309329
60,0.25,0.374977,1.454958,0.666667,0.825,0.7463,0.2537,0.747531,0.098424,1.383333,sinusoidal,3221,0.25,0.428286,0.302295,0.318014,-0.203871
60,0.25,0.373202,1.452378,0.816667,0.904167,0.747174,0.252826,0.747782,0.085659,1.216667,sinusoidal,3229,0.25,0.430974,0.387759,0.3162,-0.3021
60,0.25,0.369886,1.44757,0.816667,0.904167,0.748864,0.251136,0.751876,0.082003,1.216667,sinusoidal,3251,0.25,0.427306,0.391001,0.321558,-0.308998
60,0.25,0.09274,1.097177,1.0,1.0,0.919447,0.080553,0.918249,0.081751,1.0,phasewrap_distance_adapter,3203,0.25,0.435101,0.575524,0.484346,-0.493773
60,0.25,0.097489,1.102399,1.0,1.0,0.915752,0.084248,0.914524,0.085476,1.0,phasewrap_distance_adapter,3217,0.25,0.428556,0.581756,0.487196,-0.49628
60,0.25,0.099279,1.104374,1.0,1.0,0.914218,0.085782,0.912939,0.087061,1.0,phasewrap_distance_adapter,3221,0.25,0.421837,0.588444,0.492381,-0.501383
60,0.25,0.09581,1.10055,1.0,1.0,0.916912,0.083088,0.915648,0.084352,1.0,phasewrap_distance_adapter,3229,0.25,0.425086,0.585474,0.491826,-0.501122
60,0.25,0.09298,1.09744,1.0,1.0,0.919263,0.080737,0.918069,0.081931,1.0,phasewrap_distance_adapter,3251,0.25,0.434794,0.575805,0.484469,-0.493874
60,0.25,0.044664,1.045676,1.0,1.0,0.959496,0.040504,0.9583,0.0417,1.0,phasewrap_multiscale_adapter,3203,0.25,0.47812,0.531498,0.481376,-0.489798
60,0.25,0.043805,1.044779,1.0,1.0,0.960197,0.039803,0.959032,0.040968,1.0,phasewrap_multiscale_adapter,3217,0.25,0.480207,0.529586,0.47999,-0.488618
60,0.25,0.041335,1.042201,1.0,1.0,0.962244,0.037756,0.961124,0.038876,1.0,phasewrap_multiscale_adapter,3221,0.25,0.483811,0.526359,0.478433,-0.487483
60,0.25,0.045307,1.046349,1.0,1.0,0.958966,0.041034,0.957746,0.042254,1.0,phasewrap_multiscale_adapter,3229,0.25,0.478976,0.530757,0.47999,-0.488503
60,0.25,0.044547,1.045554,1.0,1.0,0.959605,0.040395,0.958398,0.041602,1.0,phasewrap_multiscale_adapter,3251,0.25,0.480435,0.529228,0.47917,-0.487626
