row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed
60,8.417599,4526.024354,0.0,0.036073,0.005018,0.994982,0.296949,0.296949,101.55,no_position,3407
60,7.179643,1312.439896,0.0,0.036127,0.006694,0.993306,0.138127,0.138127,106.15,no_position,3413
60,8.192079,3612.225468,0.0,0.029925,0.005849,0.994151,0.263228,0.263228,101.15,no_position,3433
60,8.766279,6414.257908,0.0,0.041221,0.007082,0.992918,0.286047,0.286047,102.133333,no_position,3449
60,8.855772,7014.761537,0.0,0.030137,0.004202,0.995798,0.326607,0.326607,101.95,no_position,3457
60,8.261254,3870.946227,0.016667,0.040612,0.009717,0.990283,0.251246,0.234579,104.683333,alibi,3407
60,8.863768,7071.075854,0.0,0.029015,0.00483,0.99517,0.271517,0.271517,115.2,alibi,3413
60,8.184567,3585.191328,0.0,0.036141,0.00525,0.99475,0.296241,0.296241,92.6,alibi,3433
60,8.537614,5103.15411,0.0,0.023741,0.003672,0.996328,0.281627,0.281627,113.0,alibi,3449
60,8.446318,4657.889829,0.0,0.025828,0.003831,0.996169,0.272324,0.272324,108.766667,alibi,3457
60,5.846386,345.981909,0.366667,0.423482,0.348293,0.651707,0.584496,0.222357,76.05,rope_relative,3407
60,6.263724,525.171054,0.35,0.39281,0.341304,0.658696,0.572943,0.241021,82.183333,rope_relative,3413
60,5.664414,288.418944,0.35,0.394721,0.348542,0.651458,0.522402,0.177289,76.25,rope_relative,3433
60,5.654193,285.486078,0.366667,0.404629,0.343471,0.656529,0.524695,0.161685,84.366667,rope_relative,3449
60,6.310448,550.291674,0.366667,0.404217,0.34645,0.65355,0.549456,0.199128,79.85,rope_relative,3457
60,5.344204,209.39105,0.316667,0.369159,0.292466,0.707534,0.444713,0.184662,82.483333,sinusoidal,3407
60,6.241209,513.478702,0.366667,0.404672,0.285985,0.714015,0.447941,0.139371,90.2,sinusoidal,3413
60,5.643293,282.391051,0.283333,0.350861,0.29438,0.70562,0.476649,0.193316,84.383333,sinusoidal,3433
60,5.736659,310.026922,0.316667,0.372732,0.288499,0.711501,0.46243,0.16003,78.316667,sinusoidal,3449
60,6.018252,410.85961,0.283333,0.343407,0.305477,0.694523,0.464607,0.197923,85.466667,sinusoidal,3457
60,6.51109,672.559303,0.266667,0.327524,0.232783,0.767217,0.461448,0.215681,87.5,phasewrap_distance_adapter,3407
60,6.39132,596.643868,0.3,0.3371,0.2477,0.7523,0.470792,0.193195,84.3,phasewrap_distance_adapter,3413
60,6.860436,953.783238,0.3,0.340264,0.23896,0.76104,0.46683,0.203037,83.033333,phasewrap_distance_adapter,3433
60,6.546893,697.075153,0.283333,0.334925,0.255447,0.744553,0.479003,0.209913,81.033333,phasewrap_distance_adapter,3449
60,6.113926,452.110431,0.266667,0.32763,0.246596,0.753404,0.467179,0.214357,82.2,phasewrap_distance_adapter,3457
60,6.160515,473.671915,0.283333,0.330904,0.218275,0.781725,0.454923,0.214171,86.35,phasewrap_multiscale_adapter,3407
60,6.349753,572.351461,0.233333,0.306364,0.202325,0.797675,0.455877,0.227494,78.233333,phasewrap_multiscale_adapter,3413
60,6.60258,736.994458,0.283333,0.328504,0.209585,0.790415,0.433322,0.149989,89.8,phasewrap_multiscale_adapter,3433
60,6.784527,884.062175,0.216667,0.28501,0.190962,0.809038,0.444155,0.227489,88.3,phasewrap_multiscale_adapter,3449
60,6.602826,737.175751,0.25,0.315179,0.202928,0.797072,0.463806,0.22756,85.833333,phasewrap_multiscale_adapter,3457
