row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,task
20,10.077181,23793.815991,0.0,0.014584,0.000983,0.999017,0.395701,0.395701,130.25,no_position,3407,passkey_exact
20,7.178141,1310.469765,0.0,0.059774,0.008469,0.991531,0.247837,0.247837,81.6,no_position,3407,multi_needle
20,7.997476,2973.442575,0.0,0.033862,0.005601,0.994399,0.247308,0.247308,92.8,no_position,3407,aggregation
20,8.156889,3487.320978,0.0,0.015263,0.002879,0.997121,0.146322,0.146322,128.1,no_position,3413,passkey_exact
20,6.738862,844.598668,0.0,0.033744,0.006887,0.993113,0.122243,0.122243,94.7,no_position,3413,multi_needle
20,6.643179,767.531055,0.0,0.059373,0.010316,0.989684,0.145815,0.145815,95.65,no_position,3413,aggregation
20,9.956059,21079.557612,0.0,0.013843,0.001385,0.998615,0.312575,0.312575,138.1,no_position,3433,passkey_exact
20,7.004795,1101.90399,0.0,0.051339,0.012211,0.987789,0.232512,0.232512,81.95,no_position,3433,multi_needle
20,7.615384,2029.174064,0.0,0.024594,0.003951,0.996049,0.244597,0.244597,83.4,no_position,3433,aggregation
20,10.335841,30817.598054,0.0,0.016964,0.001863,0.998137,0.27679,0.27679,136.2,no_position,3449,passkey_exact
20,8.265819,3888.657,0.0,0.047519,0.009146,0.990854,0.288591,0.288591,85.95,no_position,3449,multi_needle
20,7.697175,2202.119237,0.0,0.05918,0.010235,0.989765,0.292761,0.292761,84.25,no_position,3449,aggregation
20,10.630726,41387.148001,0.0,0.016512,0.001745,0.998255,0.375936,0.375936,131.35,no_position,3457,passkey_exact
20,7.496617,1801.93557,0.0,0.046422,0.006775,0.993225,0.314354,0.314354,77.8,no_position,3457,multi_needle
20,8.439974,4628.432961,0.0,0.027477,0.004087,0.995913,0.289531,0.289531,96.7,no_position,3457,aggregation
20,9.954718,21051.301142,0.0,0.013334,0.001855,0.998145,0.249876,0.249876,143.1,alibi,3407,passkey_exact
20,6.690264,804.534688,0.05,0.084165,0.024111,0.975889,0.233565,0.183565,74.75,alibi,3407,multi_needle
20,8.138781,3424.740719,0.0,0.024337,0.003186,0.996814,0.270296,0.270296,96.2,alibi,3407,aggregation
20,9.946091,20870.480377,0.0,0.01622,0.002031,0.997969,0.245627,0.245627,138.8,alibi,3413,passkey_exact
20,8.428777,4576.90001,0.0,0.039248,0.006313,0.993687,0.328706,0.328706,101.25,alibi,3413,multi_needle
20,8.216436,3701.285776,0.0,0.031577,0.006147,0.993853,0.240217,0.240217,105.55,alibi,3413,aggregation
20,9.92586,20452.501291,0.0,0.028466,0.004337,0.995663,0.332917,0.332917,125.75,alibi,3433,passkey_exact
20,7.065428,1170.782869,0.0,0.047019,0.006881,0.993119,0.270004,0.270004,74.35,alibi,3433,multi_needle
20,7.562413,1924.483641,0.0,0.032939,0.004533,0.995467,0.285802,0.285802,77.7,alibi,3433,aggregation
20,9.919104,20314.785341,0.0,0.010522,0.000561,0.999439,0.287944,0.287944,149.75,alibi,3449,passkey_exact
20,7.608217,2014.682808,0.0,0.028645,0.005255,0.994745,0.268523,0.268523,88.1,alibi,3449,multi_needle
20,8.085521,3247.110988,0.0,0.032055,0.0052,0.9948,0.288413,0.288413,101.15,alibi,3449,aggregation
20,9.100396,8958.842184,0.0,0.024813,0.003419,0.996581,0.217088,0.217088,135.25,alibi,3457,passkey_exact
20,8.555743,5196.514053,0.0,0.023181,0.002747,0.997253,0.348885,0.348885,100.65,alibi,3457,multi_needle
20,7.682814,2170.719182,0.0,0.02949,0.005326,0.994674,0.250999,0.250999,90.4,alibi,3457,aggregation
20,7.831673,2519.139151,0.3,0.353717,0.26212,0.73788,0.594517,0.367565,102.8,rope_relative,3407,passkey_exact
20,4.17382,64.963125,0.5,0.589458,0.503448,0.496552,0.683292,0.239218,50.95,rope_relative,3407,multi_needle
20,5.533667,253.070256,0.3,0.32727,0.279311,0.720689,0.475679,0.228461,74.4,rope_relative,3407,aggregation
20,8.143724,3441.709346,0.25,0.306482,0.251864,0.748136,0.568513,0.324292,121.2,rope_relative,3413,passkey_exact
20,4.723238,112.532076,0.55,0.585211,0.497411,0.502589,0.714251,0.283519,51.6,rope_relative,3413,multi_needle
