row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed
60,2.762534,15.839926,0.533333,0.552629,0.490006,0.509994,0.487842,0.071683,75.966667,no_position,3503
60,2.755969,15.736289,0.533333,0.552515,0.490933,0.509067,0.486276,0.057398,78.316667,no_position,3511
60,2.786563,16.225158,0.5,0.533085,0.487897,0.512103,0.491361,0.052423,78.2,no_position,3517
60,2.773497,16.014544,0.516667,0.544167,0.490064,0.509936,0.493326,0.044674,80.25,no_position,3527
60,2.762765,15.843591,0.55,0.556787,0.494286,0.505714,0.493559,0.073162,75.766667,no_position,3529
60,2.76366,15.85778,0.516667,0.544099,0.4962,0.5038,0.492348,0.042828,82.25,alibi,3503
60,2.779622,16.112928,0.533333,0.552512,0.48503,0.51497,0.485211,0.058608,80.1,alibi,3511
60,2.75284,15.687123,0.533333,0.552451,0.494817,0.505183,0.492601,0.050434,80.75,alibi,3517
60,2.762899,15.84571,0.566667,0.569191,0.494454,0.505546,0.488263,0.08865,78.516667,alibi,3527
60,2.787607,16.242105,0.5,0.531881,0.483622,0.516378,0.487833,0.066642,72.85,alibi,3529
60,2.759788,15.796489,0.533333,0.552592,0.494634,0.505366,0.490622,0.061028,76.866667,rope_relative,3503
60,2.770735,15.970365,0.516667,0.541349,0.491644,0.508356,0.490171,0.049815,80.566667,rope_relative,3511
60,2.76278,15.843827,0.516667,0.541438,0.499537,0.500463,0.497947,0.040283,77.183333,rope_relative,3517
60,2.769558,15.951576,0.533333,0.549819,0.491298,0.508702,0.489658,0.058457,76.566667,rope_relative,3527
60,2.754026,15.705735,0.533333,0.549696,0.493423,0.506577,0.489261,0.061543,80.7,rope_relative,3529
60,2.779763,16.115206,0.483333,0.527419,0.490953,0.509047,0.491031,0.076218,81.633333,sinusoidal,3503
60,2.769233,15.946401,0.483333,0.527471,0.491793,0.508207,0.491524,0.070591,80.833333,sinusoidal,3511
60,2.75682,15.749684,0.516667,0.544174,0.488058,0.511942,0.487652,0.044929,78.166667,sinusoidal,3517
60,2.759288,15.788598,0.516667,0.544032,0.493105,0.506895,0.489111,0.043391,83.15,sinusoidal,3527
60,2.776355,16.060373,0.533333,0.548313,0.487848,0.512152,0.489843,0.061236,79.8,sinusoidal,3529
60,2.788369,16.254481,0.5,0.533093,0.484718,0.515282,0.494273,0.040959,78.083333,phasewrap_distance_adapter,3503
60,2.772853,16.004227,0.5,0.533365,0.492413,0.507587,0.496666,0.048285,70.4,phasewrap_distance_adapter,3511
60,2.754041,15.705976,0.533333,0.552542,0.493548,0.506452,0.491839,0.059596,78.983333,phasewrap_distance_adapter,3517
60,2.77076,15.970769,0.55,0.554177,0.493413,0.506587,0.491337,0.072819,73.75,phasewrap_distance_adapter,3527
60,2.793275,16.334426,0.516667,0.537045,0.487037,0.512963,0.486581,0.04251,84.316667,phasewrap_distance_adapter,3529
60,2.761861,15.829271,0.516667,0.544149,0.499774,0.500226,0.49367,0.047904,80.166667,phasewrap_multiscale_adapter,3503
60,2.786103,16.217699,0.483333,0.521945,0.482661,0.517339,0.485908,0.048398,79.316667,phasewrap_multiscale_adapter,3511
60,2.799768,16.440828,0.5,0.531642,0.476763,0.523237,0.480828,0.041689,80.066667,phasewrap_multiscale_adapter,3517
60,2.779253,16.106977,0.483333,0.524598,0.489498,0.510502,0.489986,0.03945,84.6,phasewrap_multiscale_adapter,3527
60,2.770646,15.968943,0.516667,0.541474,0.496145,0.503855,0.495862,0.072076,77.6,phasewrap_multiscale_adapter,3529
