row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,task
20,3.8826,48.550301,0.35,0.378273,0.344478,0.655522,0.350112,0.06311,115.3,no_position,3503,passkey_exact
20,1.94952,7.025317,0.65,0.67694,0.663982,0.336018,0.666801,0.039758,49.1,no_position,3503,multi_needle
20,2.45548,11.652031,0.6,0.602676,0.461557,0.538443,0.446611,0.162161,63.5,no_position,3503,aggregation
20,3.885068,48.670239,0.4,0.403575,0.34307,0.65693,0.349176,0.065141,105.7,no_position,3511,passkey_exact
20,1.963287,7.122704,0.65,0.676556,0.652383,0.347617,0.655453,0.051674,59.25,no_position,3511,multi_needle
20,2.419553,11.240836,0.55,0.577413,0.477347,0.522653,0.454199,0.105346,70.0,no_position,3511,aggregation
20,3.898769,49.341655,0.4,0.403714,0.345344,0.654656,0.351978,0.06334,102.4,no_position,3517,passkey_exact
20,1.958612,7.089482,0.65,0.676459,0.664094,0.335906,0.667589,0.040127,63.2,no_position,3517,multi_needle
20,2.502308,12.210645,0.45,0.519081,0.454254,0.545746,0.454515,0.103787,69.0,no_position,3517,aggregation
20,3.894363,49.124765,0.35,0.378112,0.34753,0.65247,0.353191,0.060034,121.05,no_position,3527,passkey_exact
20,1.962118,7.114376,0.65,0.676814,0.659585,0.340415,0.662483,0.044197,53.25,no_position,3527,multi_needle
20,2.464011,11.751855,0.55,0.577575,0.463077,0.536923,0.464303,0.094583,66.45,no_position,3527,aggregation
20,3.876271,48.243983,0.4,0.403546,0.347352,0.652648,0.35272,0.060136,106.8,no_position,3529,passkey_exact
20,1.945993,7.000582,0.7,0.701712,0.665955,0.334045,0.668638,0.037789,56.15,no_position,3529,multi_needle
20,2.466031,11.775615,0.55,0.565103,0.469551,0.530449,0.45932,0.121562,64.35,no_position,3529,aggregation
20,3.90089,49.446423,0.4,0.402993,0.345006,0.654994,0.350879,0.062909,125.3,alibi,3503,passkey_exact
20,1.956767,7.076413,0.65,0.676716,0.6663,0.3337,0.669527,0.037527,54.35,alibi,3503,multi_needle
20,2.433324,11.3967,0.5,0.552588,0.477294,0.522706,0.45664,0.078003,67.1,alibi,3503,aggregation
20,3.894707,49.141672,0.4,0.403016,0.341841,0.658159,0.348062,0.066456,123.65,alibi,3511,passkey_exact
20,1.953651,7.054398,0.65,0.676957,0.664566,0.335434,0.667716,0.039479,50.7,alibi,3511,multi_needle
20,2.490507,12.067396,0.55,0.577562,0.448682,0.551318,0.439854,0.119825,65.95,alibi,3511,aggregation
20,3.87521,48.192839,0.4,0.403116,0.349258,0.650742,0.354917,0.058517,119.9,alibi,3517,passkey_exact
20,1.949614,7.025976,0.7,0.70163,0.663124,0.336876,0.665953,0.040764,58.1,alibi,3517,multi_needle
20,2.433696,11.400942,0.5,0.552608,0.47207,0.52793,0.456934,0.096009,64.25,alibi,3517,aggregation
20,3.898835,49.344921,0.4,0.403204,0.342239,0.657761,0.348303,0.065886,118.2,alibi,3527,passkey_exact
20,1.970184,7.171994,0.7,0.701948,0.651553,0.348447,0.654585,0.052509,47.5,alibi,3527,multi_needle
20,2.419678,11.242236,0.6,0.602421,0.489569,0.510431,0.461903,0.147556,69.85,alibi,3527,aggregation
20,3.895251,49.168377,0.35,0.378688,0.338211,0.661789,0.343818,0.019336,102.35,alibi,3529,passkey_exact
20,1.954078,7.057406,0.65,0.676733,0.662884,0.337116,0.665734,0.040838,54.3,alibi,3529,multi_needle
20,2.513493,12.347981,0.5,0.540221,0.449771,0.550229,0.453948,0.139858,61.9,alibi,3529,aggregation
20,3.893036,49.059599,0.35,0.378312,0.344103,0.655897,0.350715,0.014381,116.0,rope_relative,3503,passkey_exact
20,1.955945,7.0706,0.7,0.701738,0.662861,0.337139,0.666116,0.041432,54.1,rope_relative,3503,multi_needle
20,2.430382,11.363219,0.55,0.577726,0.476938,0.523062,0.455034,0.127269,60.5,rope_relative,3503,aggregation
20,3.892285,49.02278,0.35,0.378297,0.348843,0.651157,0.354517,0.008837,115.25,rope_relative,3511,passkey_exact
20,1.954742,7.062098,0.7,0.701632,0.665985,0.334015,0.668778,0.037838,57.7,rope_relative,3511,multi_needle
20,2.465177,11.765568,0.5,0.544119,0.460104,0.539896,0.447217,0.102893,68.75,rope_relative,3511,aggregation
20,3.895739,49.192398,0.35,0.378444,0.345762,0.654238,0.351446,0.01197,108.7,rope_relative,3517,passkey_exact
20,1.958862,7.091251,0.65,0.676487,0.662537,0.337463,0.665386,0.04127,62.6,rope_relative,3517,multi_needle
20,2.433739,11.401434,0.55,0.569383,0.49031,0.50969,0.477007,0.117557,60.25,rope_relative,3517,aggregation
20,3.895124,49.16217,0.4,0.403579,0.341664,0.658336,0.34768,0.066428,105.05,rope_relative,3527,passkey_exact
20,1.954128,7.057761,0.7,0.701636,0.66463,0.33537,0.667639,0.039415,58.8,rope_relative,3527,multi_needle
20,2.459421,11.698031,0.5,0.544243,0.4676,0.5324,0.453654,0.069528,65.85,rope_relative,3527,aggregation
20,3.883996,48.618123,0.35,0.378059,0.339162,0.660838,0.345458,0.069142,122.4,rope_relative,3529,passkey_exact
20,1.95609,7.071624,0.7,0.701795,0.655963,0.344037,0.659089,0.048226,53.7,rope_relative,3529,multi_needle
20,2.421991,11.268276,0.55,0.569233,0.485143,0.514857,0.463236,0.117231,66.0,rope_relative,3529,aggregation
20,3.899144,49.360174,0.3,0.353126,0.347142,0.652858,0.35296,0.06044,118.35,sinusoidal,3503,passkey_exact
20,1.954494,7.060345,0.65,0.676449,0.668853,0.331147,0.67186,0.034945,63.9,sinusoidal,3503,multi_needle
20,2.485652,12.008949,0.5,0.552681,0.456863,0.543137,0.448272,0.13327,62.65,sinusoidal,3503,aggregation
20,3.887346,48.781246,0.3,0.353092,0.34626,0.65374,0.352424,0.061682,120.8,sinusoidal,3511,passkey_exact
20,1.949824,7.027452,0.65,0.676808,0.66704,0.33296,0.670193,0.036948,53.9,sinusoidal,3511,multi_needle
20,2.470529,11.828706,0.5,0.552512,0.462079,0.537921,0.451954,0.113143,67.8,sinusoidal,3511,aggregation
20,3.867265,47.811436,0.35,0.378289,0.345368,0.654632,0.351097,0.012361,113.5,sinusoidal,3517,passkey_exact
20,1.950801,7.034317,0.65,0.676723,0.656971,0.343029,0.659803,0.046856,55.8,sinusoidal,3517,multi_needle
20,2.452395,11.616139,0.55,0.57751,0.461836,0.538164,0.452057,0.1255,65.2,sinusoidal,3517,aggregation
20,3.882784,48.559211,0.35,0.378198,0.343946,0.656054,0.350079,0.014065,116.45,sinusoidal,3527,passkey_exact
20,1.952179,7.044019,0.7,0.701415,0.661659,0.338341,0.664668,0.042404,64.7,sinusoidal,3527,multi_needle
20,2.442901,11.506376,0.5,0.552483,0.473709,0.526291,0.452585,0.073704,68.3,sinusoidal,3527,aggregation
20,3.878033,48.329034,0.35,0.378367,0.345358,0.654642,0.351714,0.063035,114.25,sinusoidal,3529,passkey_exact
20,1.954834,7.062746,0.7,0.701674,0.657817,0.342183,0.660989,0.046416,55.95,sinusoidal,3529,multi_needle
20,2.496198,12.136268,0.55,0.564899,0.460368,0.539632,0.456825,0.124199,69.2,sinusoidal,3529,aggregation
20,3.886773,48.753315,0.35,0.378307,0.34926,0.65074,0.355459,0.008851,112.15,phasewrap_distance_adapter,3503,passkey_exact
20,1.949196,7.023036,0.7,0.701802,0.668839,0.331161,0.671898,0.035257,54.3,phasewrap_distance_adapter,3503,multi_needle
20,2.529137,12.542677,0.45,0.51917,0.436055,0.563945,0.455463,0.123287,67.8,phasewrap_distance_adapter,3503,aggregation
20,3.896868,49.247957,0.35,0.378753,0.343642,0.656358,0.349992,0.064525,101.55,phasewrap_distance_adapter,3511,passkey_exact
20,1.958635,7.08964,0.65,0.67689,0.661979,0.338021,0.66513,0.042031,50.15,phasewrap_distance_adapter,3511,multi_needle
20,2.463056,11.740638,0.5,0.544451,0.471618,0.528382,0.474876,0.088247,59.5,phasewrap_distance_adapter,3511,aggregation
20,3.874477,48.157503,0.4,0.403127,0.345579,0.654421,0.351006,0.061981,120.45,phasewrap_distance_adapter,3517,passkey_exact
20,1.947663,7.012282,0.7,0.701615,0.662755,0.337245,0.665469,0.041025,59.4,phasewrap_distance_adapter,3517,multi_needle
20,2.439984,11.472854,0.5,0.552884,0.472308,0.527692,0.459043,0.120682,57.1,phasewrap_distance_adapter,3517,aggregation
20,3.86909,47.898764,0.4,0.403751,0.346958,0.653042,0.352589,0.060821,98.7,phasewrap_distance_adapter,3527,passkey_exact
20,1.952516,7.046393,0.7,0.701694,0.65692,0.34308,0.659736,0.046969,55.75,phasewrap_distance_adapter,3527,multi_needle
20,2.490675,12.069419,0.55,0.557085,0.476363,0.523637,0.461686,0.110667,66.8,phasewrap_distance_adapter,3527,aggregation
20,3.880469,48.446917,0.4,0.403121,0.348475,0.651525,0.354075,0.059227,118.95,phasewrap_distance_adapter,3529,passkey_exact
20,1.965692,7.13985,0.65,0.676481,0.65115,0.34885,0.654013,0.052594,62.8,phasewrap_distance_adapter,3529,multi_needle
20,2.533664,12.59959,0.5,0.531532,0.461487,0.538513,0.451655,0.065665,71.2,phasewrap_distance_adapter,3529,aggregation
20,3.907639,49.781292,0.35,0.37833,0.341681,0.658319,0.347695,0.066066,113.5,phasewrap_multiscale_adapter,3503,passkey_exact
20,1.961585,7.110587,0.65,0.676394,0.663443,0.336557,0.66643,0.040373,66.4,phasewrap_multiscale_adapter,3503,multi_needle
20,2.416358,11.204982,0.55,0.577723,0.4942,0.5058,0.466883,0.134348,60.6,phasewrap_multiscale_adapter,3503,aggregation
20,3.873848,48.127206,0.35,0.37828,0.349674,0.650326,0.355214,0.007873,114.8,phasewrap_multiscale_adapter,3511,passkey_exact
20,1.945759,6.998943,0.65,0.676744,0.666254,0.333746,0.669096,0.037441,55.1,phasewrap_multiscale_adapter,3511,multi_needle
20,2.538703,12.663232,0.45,0.510811,0.432053,0.567947,0.433415,0.099973,68.05,phasewrap_multiscale_adapter,3511,aggregation
20,3.88922,48.872761,0.35,0.378302,0.343237,0.656763,0.348649,0.014215,115.05,phasewrap_multiscale_adapter,3517,passkey_exact
20,1.970329,7.173035,0.65,0.676817,0.649481,0.350519,0.652198,0.054138,51.75,phasewrap_multiscale_adapter,3517,multi_needle
20,2.539754,12.676556,0.5,0.539807,0.437571,0.562429,0.441635,0.106692,73.4,phasewrap_multiscale_adapter,3517,aggregation
20,3.893987,49.106298,0.3,0.35302,0.346724,0.653276,0.35273,0.060791,126.25,phasewrap_multiscale_adapter,3527,passkey_exact
20,1.953528,7.05353,0.7,0.701612,0.666826,0.333174,0.669641,0.03702,60.3,phasewrap_multiscale_adapter,3527,multi_needle
20,2.490242,12.064196,0.45,0.519161,0.454945,0.545055,0.447586,0.103543,67.25,phasewrap_multiscale_adapter,3527,aggregation
20,3.899867,49.395884,0.3,0.353661,0.338746,0.661254,0.345171,0.069365,105.0,phasewrap_multiscale_adapter,3529,passkey_exact
20,1.958423,7.088141,0.7,0.701459,0.661389,0.338611,0.66449,0.042746,63.65,phasewrap_multiscale_adapter,3529,multi_needle
20,2.453647,11.630689,0.55,0.569303,0.4883,0.5117,0.477923,0.104118,64.15,phasewrap_multiscale_adapter,3529,aggregation
