row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,mean_target_attention_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed
60,3.231527,25.318299,0.116667,0.222907,0.042677,0.037915,0.957323,0.054523,0.062144,12.166667,no_position,3607
60,3.232926,25.353734,0.083333,0.215279,0.04265,0.037893,0.95735,0.054429,0.028904,12.116667,no_position,3613
60,3.232576,25.344867,0.116667,0.220627,0.042658,0.037899,0.957342,0.054463,0.062204,12.183333,no_position,3617
60,3.232814,25.350894,0.1,0.216293,0.042653,0.037895,0.957347,0.054438,0.045562,12.233333,no_position,3623
60,3.231725,25.323311,0.116667,0.222443,0.042673,0.037912,0.957327,0.054511,0.062156,12.183333,no_position,3631
60,3.225781,25.173239,0.083333,0.212071,0.042775,0.037999,0.957225,0.054858,0.028476,12.083333,alibi,3607
60,3.226631,25.194629,0.083333,0.215058,0.042754,0.037983,0.957246,0.054803,0.028531,12.166667,alibi,3613
60,3.225288,25.160811,0.1,0.21451,0.042786,0.038008,0.957214,0.054892,0.045108,12.2,alibi,3617
60,3.230482,25.291853,0.083333,0.213962,0.042691,0.037927,0.957309,0.054572,0.028761,12.166667,alibi,3623
60,3.227711,25.221847,0.083333,0.210345,0.042741,0.03797,0.957259,0.054736,0.028598,12.133333,alibi,3631
60,0.425169,1.529849,1.0,1.0,0.654613,0.652978,0.345387,0.650069,0.349931,1.0,rope_relative,3607
60,0.420869,1.523285,1.0,1.0,0.657411,0.655766,0.342589,0.652718,0.347282,1.0,rope_relative,3613
60,0.425016,1.529616,1.0,1.0,0.654757,0.653125,0.345243,0.650211,0.349789,1.0,rope_relative,3617
60,0.402063,1.494905,1.0,1.0,0.670332,0.668838,0.329668,0.665793,0.334207,1.0,rope_relative,3623
60,0.416803,1.517103,1.0,1.0,0.660023,0.65839,0.339977,0.65533,0.34467,1.0,rope_relative,3631
60,0.739852,2.095626,0.816667,0.905556,0.492701,0.487894,0.507299,0.494794,0.334381,1.2,sinusoidal,3607
60,0.746964,2.110582,0.8,0.9,0.489419,0.484622,0.510581,0.49041,0.311286,1.2,sinusoidal,3613
60,0.732874,2.081054,0.8,0.897222,0.4963,0.491457,0.5037,0.499418,0.303494,1.216667,sinusoidal,3617
60,0.731552,2.078304,0.816667,0.905556,0.496907,0.492042,0.503093,0.499215,0.330338,1.2,sinusoidal,3623
60,0.739661,2.095224,0.816667,0.905556,0.49289,0.488076,0.50711,0.494587,0.334407,1.2,sinusoidal,3631
60,0.848656,2.336504,1.0,1.0,0.441696,0.438301,0.558304,0.433172,0.566828,1.0,phasewrap_distance_adapter,3607
60,0.828154,2.289088,1.0,1.0,0.449973,0.446516,0.550027,0.442178,0.557822,1.0,phasewrap_distance_adapter,3613
60,0.833109,2.300461,1.0,1.0,0.448056,0.444707,0.551944,0.43981,0.56019,1.0,phasewrap_distance_adapter,3617
60,0.84011,2.316621,1.0,1.0,0.445336,0.442001,0.554664,0.436515,0.563485,1.0,phasewrap_distance_adapter,3623
60,0.817175,2.264095,1.0,1.0,0.454547,0.451228,0.545453,0.44681,0.55319,1.0,phasewrap_distance_adapter,3631
60,0.7028,2.019399,1.0,1.0,0.509505,0.507672,0.490495,0.501829,0.498171,1.0,phasewrap_multiscale_adapter,3607
60,0.69403,2.001767,1.0,1.0,0.513024,0.511084,0.486976,0.50511,0.49489,1.0,phasewrap_multiscale_adapter,3613
60,0.705724,2.025313,1.0,1.0,0.50739,0.50547,0.49261,0.499161,0.500839,1.0,phasewrap_multiscale_adapter,3617
60,0.696248,2.00621,1.0,1.0,0.511522,0.509517,0.488478,0.502964,0.497036,1.0,phasewrap_multiscale_adapter,3623
60,0.69594,2.005593,1.0,1.0,0.512323,0.510454,0.487677,0.504495,0.495505,1.0,phasewrap_multiscale_adapter,3631
