row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,mean_target_attention_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,task
20,3.392966,29.754078,0.1,0.180795,0.034842,0.030295,0.965158,0.057649,0.042351,15.35,no_position,3607,passkey_exact
20,3.504433,33.262576,0.15,0.304008,0.030847,0.028061,0.969153,0.055683,0.094317,5.15,no_position,3607,multi_needle
20,2.797183,16.39839,0.1,0.18392,0.062341,0.05539,0.937659,0.050236,0.049764,16.0,no_position,3607,aggregation
20,3.392855,29.750777,0.1,0.181699,0.034841,0.030296,0.965159,0.057599,0.042401,15.75,no_position,3613,passkey_exact
20,3.510074,33.450729,0.05,0.273175,0.030677,0.027897,0.969323,0.055607,0.005607,4.8,no_position,3613,multi_needle
20,2.795849,16.376531,0.1,0.190963,0.062433,0.055486,0.937567,0.050082,0.049918,15.8,no_position,3613,aggregation
20,3.3927,29.746155,0.1,0.179915,0.034847,0.030301,0.965153,0.057621,0.042379,15.4,no_position,3617,passkey_exact
20,3.508895,33.411318,0.15,0.292758,0.030714,0.027931,0.969286,0.055629,0.094371,5.7,no_position,3617,multi_needle
20,2.796134,16.381197,0.1,0.189208,0.062414,0.055466,0.937586,0.050138,0.049862,15.45,no_position,3617,aggregation
20,3.392784,29.748647,0.1,0.17931,0.034844,0.030298,0.965156,0.057605,0.042395,15.65,no_position,3623,passkey_exact
20,3.509724,33.439027,0.1,0.28506,0.030688,0.027907,0.969312,0.055611,0.044389,4.9,no_position,3623,multi_needle
20,2.795935,16.377929,0.1,0.18451,0.062427,0.05548,0.937573,0.050098,0.049902,16.15,no_position,3623,aggregation
20,3.392916,29.752599,0.1,0.180474,0.034843,0.030296,0.965157,0.057644,0.042356,15.4,no_position,3631,passkey_exact
20,3.505275,33.290601,0.15,0.302817,0.030822,0.028037,0.969178,0.055672,0.094328,5.2,no_position,3631,multi_needle
20,2.796984,16.395132,0.1,0.184039,0.062354,0.055404,0.937646,0.050217,0.049783,15.95,no_position,3631,aggregation
20,3.394236,29.791888,0.1,0.180342,0.034826,0.03028,0.965174,0.057822,0.042178,15.7,alibi,3607,passkey_exact
20,3.479795,32.453057,0.05,0.26881,0.031592,0.028782,0.968408,0.055985,0.005985,4.7,alibi,3607,multi_needle
20,2.803314,16.499229,0.1,0.187061,0.061908,0.054936,0.938092,0.050765,0.049235,15.85,alibi,3607,aggregation
20,3.395,29.814655,0.1,0.183477,0.034796,0.030254,0.965204,0.05778,0.04222,15.55,alibi,3613,passkey_exact
