row_count,temperature,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,mean_target_attention_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,selected_temperature,uncalibrated_mean_target_value_probability,uncalibrated_mean_target_attention_probability,uncalibrated_expected_calibration_error,delta_target_value_probability,delta_target_attention_probability,delta_expected_calibration_error
60,0.25,3.221801,25.07323,0.116667,0.220942,0.042863,0.038078,0.957137,0.055196,0.06147,12.266667,no_position,3707,0.25,0.042692,0.037928,0.062085,0.000171,0.00015,-0.000615
60,0.25,3.223654,25.11975,0.083333,0.215848,0.0428,0.03803,0.9572,0.054992,0.028341,12.216667,no_position,3719,0.25,0.042676,0.037916,0.028803,0.000124,0.000114,-0.000462
60,0.25,3.228151,25.23297,0.083333,0.213734,0.04273,0.037964,0.95727,0.054697,0.028636,12.2,no_position,3727,0.25,0.042658,0.0379,0.028876,7.2e-05,6.4e-05,-0.00024
60,0.25,3.230893,25.302254,0.083333,0.215952,0.042682,0.037922,0.957318,0.054543,0.028791,12.1,no_position,3733,0.25,0.042647,0.037889,0.028915,3.5e-05,3.3e-05,-0.000124
60,0.25,3.2267,25.196372,0.116667,0.217978,0.042771,0.037996,0.957229,0.054893,0.061774,12.233333,no_position,3739,0.25,0.042669,0.037908,0.062161,0.000102,8.8e-05,-0.000387
60,0.25,3.221283,25.060244,0.1,0.216415,0.042862,0.038072,0.957138,0.05516,0.04484,12.183333,alibi,3707,0.25,0.042692,0.037927,0.045427,0.00017,0.000145,-0.000587
60,0.25,3.208436,24.740353,0.1,0.214582,0.043129,0.038301,0.956871,0.056092,0.043908,12.2,alibi,3719,0.25,0.04276,0.037986,0.045194,0.000369,0.000315,-0.001286
60,0.25,3.219333,25.011442,0.083333,0.215373,0.042888,0.038098,0.957112,0.055276,0.028058,12.183333,alibi,3727,0.25,0.042699,0.037934,0.028732,0.000189,0.000164,-0.000674
60,0.25,3.209088,24.756498,0.083333,0.215258,0.043093,0.038283,0.956907,0.056017,0.027316,12.166667,alibi,3733,0.25,0.042751,0.03798,0.028546,0.000342,0.000303,-0.00123
60,0.25,3.202427,24.592153,0.083333,0.21548,0.04326,0.038426,0.95674,0.056585,0.026748,12.083333,alibi,3739,0.25,0.042794,0.038017,0.028404,0.000466,0.000409,-0.001656
60,0.25,0.001259,1.00126,1.0,1.0,0.998757,0.998757,0.001243,0.998757,0.001243,1.0,rope_relative,3707,0.25,0.651855,0.650187,0.352714,0.346902,0.34857,-0.351471
60,0.25,0.001671,1.001672,1.0,1.0,0.998357,0.998357,0.001643,0.998357,0.001643,1.0,rope_relative,3719,0.25,0.662332,0.660757,0.342165,0.336025,0.3376,-0.340522
60,0.25,0.0007,1.000701,1.0,1.0,0.999305,0.999305,0.000695,0.999305,0.000695,1.0,rope_relative,3727,0.25,0.652078,0.650354,0.352646,0.347227,0.348951,-0.351951
60,0.25,0.001952,1.001954,1.0,1.0,0.998085,0.998085,0.001915,0.998085,0.001915,1.0,rope_relative,3733,0.25,0.662078,0.660524,0.342417,0.336007,0.337561,-0.340502
60,0.25,0.001813,1.001814,1.0,1.0,0.99822,0.99822,0.00178,0.99822,0.00178,1.0,rope_relative,3739,0.25,0.662253,0.660687,0.342262,0.335967,0.337533,-0.340482
60,0.33,0.321246,1.378845,0.816667,0.905556,0.777364,0.773454,0.222636,0.804628,0.080326,1.2,sinusoidal,3707,0.33,0.491719,0.48691,0.335707,0.285645,0.286544,-0.255381
60,0.33,0.320763,1.378179,0.816667,0.905556,0.778375,0.774509,0.221625,0.807779,0.080468,1.2,sinusoidal,3719,0.33,0.491014,0.486226,0.325972,0.287361,0.288283,-0.245504
60,0.33,0.31916,1.375971,0.816667,0.905556,0.778917,0.775047,0.221083,0.806793,0.065956,1.2,sinusoidal,3727,0.33,0.494203,0.489365,0.333314,0.284714,0.285682,-0.267358
60,0.33,0.32203,1.379926,0.816667,0.905556,0.775699,0.771767,0.224301,0.79873,0.062499,1.2,sinusoidal,3733,0.33,0.492035,0.487208,0.336105,0.283664,0.284559,-0.273606
60,0.33,0.319482,1.376415,0.816667,0.905556,0.778773,0.774858,0.221227,0.806923,0.079813,1.2,sinusoidal,3739,0.33,0.493759,0.488928,0.333716,0.285014,0.28593,-0.253903
60,0.25,0.109804,1.116059,1.0,1.0,0.907381,0.907337,0.092619,0.906587,0.093413,1.0,phasewrap_distance_adapter,3707,0.25,0.447667,0.444326,0.56073,0.459714,0.463011,-0.467317
60,0.25,0.108401,1.114494,1.0,1.0,0.909371,0.909335,0.090629,0.908714,0.091286,1.0,phasewrap_distance_adapter,3719,0.25,0.459966,0.456643,0.547501,0.449405,0.452692,-0.456215
60,0.25,0.107736,1.113754,1.0,1.0,0.909539,0.9095,0.090461,0.908848,0.091152,1.0,phasewrap_distance_adapter,3727,0.25,0.455658,0.452356,0.552141,0.453881,0.457144,-0.460989
60,0.25,0.109735,1.115982,1.0,1.0,0.906937,0.906891,0.093063,0.906049,0.093951,1.0,phasewrap_distance_adapter,3733,0.25,0.444119,0.440791,0.564906,0.462818,0.4661,-0.470955
60,0.25,0.114955,1.121822,1.0,1.0,0.902847,0.902791,0.097153,0.901941,0.098059,1.0,phasewrap_distance_adapter,3739,0.25,0.438904,0.435495,0.56999,0.463943,0.467296,-0.471931
