row_count,temperature,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,mean_target_attention_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,task,selected_temperature
20,0.25,3.394998,29.814586,0.1,0.179634,0.034819,0.030265,0.965181,0.057993,0.042007,15.5,no_position,3707,passkey_exact,0.25
20,0.25,3.462778,31.905487,0.15,0.294504,0.032126,0.029304,0.967874,0.056264,0.093736,5.6,no_position,3707,multi_needle,0.25
20,0.25,2.807627,16.570542,0.1,0.188686,0.061644,0.054664,0.938356,0.051332,0.048668,15.7,no_position,3707,aggregation,0.25
20,0.25,3.398354,29.91481,0.1,0.185343,0.034697,0.030164,0.965303,0.057817,0.042183,15.9,no_position,3719,passkey_exact,0.25
20,0.25,3.465982,32.007879,0.05,0.25381,0.032001,0.029206,0.967999,0.056233,0.006233,5.6,no_position,3719,multi_needle,0.25
20,0.25,2.806627,16.553995,0.1,0.208393,0.061702,0.054719,0.938298,0.050926,0.049074,15.15,no_position,3719,aggregation,0.25
20,0.25,3.394834,29.809703,0.1,0.181683,0.034792,0.030249,0.965208,0.057715,0.042285,15.75,no_position,3727,passkey_exact,0.25
20,0.25,3.488676,32.742563,0.05,0.26873,0.031315,0.028524,0.968685,0.055879,0.005879,5.0,no_position,3727,multi_needle,0.25
20,0.25,2.800945,16.460188,0.1,0.190788,0.062082,0.055118,0.937918,0.050497,0.049503,15.85,no_position,3727,aggregation,0.25
20,0.25,3.393851,29.780412,0.1,0.184001,0.034814,0.030271,0.965186,0.057645,0.042355,15.65,no_position,3733,passkey_exact,0.25
20,0.25,3.500813,33.142392,0.05,0.258671,0.03095,0.028167,0.96905,0.05573,0.00573,5.25,no_position,3733,multi_needle,0.25
20,0.25,2.798016,16.412059,0.1,0.205185,0.062282,0.055327,0.937718,0.050253,0.049747,15.4,no_position,3733,aggregation,0.25
20,0.25,3.393355,29.765634,0.1,0.180548,0.034849,0.030297,0.965151,0.057858,0.042142,15.3,no_position,3739,passkey_exact,0.25
20,0.25,3.484722,32.613356,0.15,0.281827,0.031449,0.028643,0.968551,0.055988,0.094012,6.25,no_position,3739,multi_needle,0.25
20,0.25,2.802024,16.477959,0.1,0.191559,0.062014,0.05505,0.937986,0.050832,0.049168,15.15,no_position,3739,aggregation,0.25
20,0.25,3.395004,29.814766,0.1,0.178599,0.03483,0.03028,0.96517,0.057988,0.042012,15.85,alibi,3707,passkey_exact,0.25
20,0.25,3.460295,31.826368,0.1,0.283929,0.032199,0.029366,0.967801,0.056239,0.043761,4.75,alibi,3707,multi_needle,0.25
20,0.25,2.808549,16.585838,0.1,0.186717,0.061556,0.054569,0.938444,0.051252,0.048748,15.95,alibi,3707,aggregation,0.25
20,0.25,3.400932,29.992039,0.1,0.179672,0.034761,0.030208,0.965239,0.058431,0.041569,15.75,alibi,3719,passkey_exact,0.25
20,0.25,3.396755,29.867023,0.1,0.277143,0.034249,0.031359,0.965751,0.057092,0.042908,4.95,alibi,3719,multi_needle,0.25
20,0.25,2.82762,16.905178,0.1,0.18693,0.060375,0.053336,0.939625,0.052753,0.047247,15.9,alibi,3719,aggregation,0.25
20,0.25,3.397512,29.889634,0.1,0.182537,0.034761,0.03022,0.965239,0.058014,0.041986,15.7,alibi,3727,passkey_exact,0.25
20,0.25,3.448893,31.465528,0.05,0.260119,0.032546,0.029716,0.967454,0.05641,0.00641,5.15,alibi,3727,multi_needle,0.25
20,0.25,2.811596,16.636447,0.1,0.203463,0.061356,0.054358,0.938644,0.051403,0.048597,15.7,alibi,3727,aggregation,0.25
20,0.25,3.4048,30.108266,0.1,0.182296,0.034623,0.030093,0.965377,0.058323,0.041677,15.7,alibi,3733,passkey_exact,0.25
20,0.25,3.39476,29.80751,0.05,0.259563,0.034295,0.031435,0.965705,0.057168,0.007168,5.2,alibi,3733,multi_needle,0.25
20,0.25,2.827704,16.906597,0.1,0.203915,0.060362,0.053323,0.939638,0.05256,0.04744,15.6,alibi,3733,aggregation,0.25
20,0.25,3.408387,30.216471,0.1,0.182261,0.034603,0.030066,0.965397,0.058592,0.041408,15.65,alibi,3739,passkey_exact,0.25
20,0.25,3.358872,28.756728,0.05,0.273175,0.035519,0.032621,0.964481,0.057665,0.007665,4.8,alibi,3739,multi_needle,0.25
20,0.25,2.840023,17.116165,0.1,0.191004,0.059657,0.05259,0.940343,0.053499,0.046501,15.8,alibi,3739,aggregation,0.25
20,0.25,0.001145,1.001145,1.0,1.0,0.998868,0.998868,0.001132,0.998868,0.001132,1.0,rope_relative,3707,passkey_exact,0.25
20,0.25,0.001525,1.001527,1.0,1.0,0.998498,0.998498,0.001502,0.998498,0.001502,1.0,rope_relative,3707,multi_needle,0.25
20,0.25,0.001108,1.001108,1.0,1.0,0.998904,0.998904,0.001096,0.998904,0.001096,1.0,rope_relative,3707,aggregation,0.25
20,0.25,0.001562,1.001563,1.0,1.0,0.998462,0.998462,0.001538,0.998462,0.001538,1.0,rope_relative,3719,passkey_exact,0.25
20,0.25,0.001943,1.001945,1.0,1.0,0.998094,0.998094,0.001906,0.998094,0.001906,1.0,rope_relative,3719,multi_needle,0.25
20,0.25,0.001507,1.001508,1.0,1.0,0.998515,0.998515,0.001485,0.998515,0.001485,1.0,rope_relative,3719,aggregation,0.25
20,0.25,0.000592,1.000592,1.0,1.0,0.999412,0.999412,0.000588,0.999412,0.000588,1.0,rope_relative,3727,passkey_exact,0.25
20,0.25,0.000902,1.000903,1.0,1.0,0.999106,0.999106,0.000894,0.999106,0.000894,1.0,rope_relative,3727,multi_needle,0.25
20,0.25,0.000607,1.000607,1.0,1.0,0.999396,0.999396,0.000604,0.999396,0.000604,1.0,rope_relative,3727,aggregation,0.25
20,0.25,0.001967,1.001968,1.0,1.0,0.998072,0.998072,0.001928,0.998072,0.001928,1.0,rope_relative,3733,passkey_exact,0.25
20,0.25,0.002036,1.002038,1.0,1.0,0.998005,0.998005,0.001995,0.998005,0.001995,1.0,rope_relative,3733,multi_needle,0.25
20,0.25,0.001855,1.001856,1.0,1.0,0.998179,0.998179,0.001821,0.998179,0.001821,1.0,rope_relative,3733,aggregation,0.25
20,0.25,0.001686,1.001687,1.0,1.0,0.998342,0.998342,0.001658,0.998342,0.001658,1.0,rope_relative,3739,passkey_exact,0.25
20,0.25,0.002136,1.002138,1.0,1.0,0.997909,0.997909,0.002091,0.997909,0.002091,1.0,rope_relative,3739,multi_needle,0.25
20,0.25,0.001616,1.001618,1.0,1.0,0.998409,0.998409,0.001591,0.998409,0.001591,1.0,rope_relative,3739,aggregation,0.25
20,0.33,0.26273,1.300475,0.9,0.95,0.819898,0.819897,0.180102,0.827538,0.104673,1.1,sinusoidal,3707,passkey_exact,0.33
20,0.33,0.260029,1.296967,0.95,0.975,0.797934,0.797934,0.202066,0.802693,0.147307,1.05,sinusoidal,3707,multi_needle,0.33
20,0.33,0.440979,1.554228,0.6,0.791667,0.714259,0.702531,0.285741,0.783653,0.21354,1.45,sinusoidal,3707,aggregation,0.33
20,0.33,0.261689,1.299122,0.9,0.95,0.820419,0.820418,0.179581,0.828715,0.103808,1.1,sinusoidal,3719,passkey_exact,0.33
20,0.33,0.253087,1.287996,0.95,0.975,0.802635,0.802635,0.197365,0.807294,0.142706,1.05,sinusoidal,3719,multi_needle,0.33
20,0.33,0.447513,1.564416,0.6,0.791667,0.712071,0.700472,0.287929,0.787328,0.216778,1.45,sinusoidal,3719,aggregation,0.33
20,0.33,0.259648,1.296474,0.9,0.95,0.821489,0.821489,0.178511,0.828641,0.104332,1.1,sinusoidal,3727,passkey_exact,0.33
20,0.33,0.259675,1.296509,0.95,0.975,0.798905,0.798905,0.201095,0.805973,0.144027,1.05,sinusoidal,3727,multi_needle,0.33
20,0.33,0.438156,1.549846,0.6,0.791667,0.716357,0.704747,0.283643,0.785766,0.21369,1.45,sinusoidal,3727,aggregation,0.33
20,0.33,0.263281,1.301192,0.9,0.95,0.81955,0.81955,0.18045,0.825031,0.074969,1.1,sinusoidal,3733,passkey_exact,0.33
20,0.33,0.277996,1.32048,0.95,0.975,0.786918,0.786918,0.213082,0.794799,0.155201,1.05,sinusoidal,3733,multi_needle,0.33
20,0.33,0.424814,1.529305,0.6,0.791667,0.720627,0.708834,0.279373,0.776359,0.20679,1.45,sinusoidal,3733,aggregation,0.33
20,0.33,0.260393,1.29744,0.9,0.95,0.821143,0.821143,0.178857,0.828982,0.103676,1.1,sinusoidal,3739,passkey_exact,0.33
20,0.33,0.256765,1.292742,0.95,0.975,0.800417,0.800417,0.199583,0.805742,0.144258,1.05,sinusoidal,3739,multi_needle,0.33
20,0.33,0.441289,1.55471,0.6,0.791667,0.714757,0.703016,0.285243,0.786045,0.214414,1.45,sinusoidal,3739,aggregation,0.33
20,0.25,0.087966,1.091951,1.0,1.0,0.922581,0.922581,0.077419,0.922581,0.077419,1.0,phasewrap_distance_adapter,3707,passkey_exact,0.25
20,0.25,0.101518,1.10685,1.0,1.0,0.915718,0.915588,0.084282,0.915718,0.084282,1.0,phasewrap_distance_adapter,3707,multi_needle,0.25
