row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,split
60,5.925603,374.504173,0.033333,0.069907,0.010025,0.989975,0.204089,0.170756,98.65,no_position,3803,test
60,5.968254,390.822509,0.016667,0.05467,0.008604,0.991396,0.178537,0.16187,106.75,no_position,3821,test
60,5.908927,368.31066,0.016667,0.069511,0.011482,0.988518,0.226002,0.209335,95.15,no_position,3823,test
60,5.885452,359.765218,0.0,0.047172,0.00939,0.99061,0.196886,0.196886,91.066667,no_position,3833,test
60,5.831764,340.959504,0.05,0.085062,0.010646,0.989354,0.194762,0.159662,101.533333,no_position,3847,test
60,5.938992,379.552058,0.016667,0.049442,0.007677,0.992323,0.193052,0.176385,106.716667,alibi,3803,test
60,5.926568,374.865787,0.016667,0.053158,0.007465,0.992535,0.174128,0.157462,105.133333,alibi,3821,test
60,5.817191,336.026875,0.016667,0.037389,0.005876,0.994124,0.135021,0.118354,101.333333,alibi,3823,test
60,5.880595,358.022137,0.033333,0.068461,0.0105,0.9895,0.186745,0.153412,105.283333,alibi,3833,test
60,5.931696,376.793196,0.016667,0.049119,0.006459,0.993541,0.181222,0.164555,103.0,alibi,3847,test
60,3.765505,43.185508,0.366667,0.414619,0.355193,0.644807,0.454315,0.118436,82.2,rope_relative,3803,test
60,3.88695,48.76192,0.383333,0.432893,0.35999,0.64001,0.487305,0.131348,81.1,rope_relative,3821,test
60,3.834275,46.259869,0.366667,0.422265,0.340846,0.659154,0.46336,0.124701,80.166667,rope_relative,3823,test
60,3.762254,43.04534,0.383333,0.428426,0.360749,0.639251,0.471781,0.097268,86.983333,rope_relative,3833,test
60,3.883274,48.583027,0.35,0.401094,0.335668,0.664332,0.456714,0.1218,82.05,rope_relative,3847,test
60,4.019492,55.672815,0.266667,0.344326,0.184035,0.815965,0.274813,0.097096,83.55,sinusoidal,3803,test
60,4.126463,61.95838,0.266667,0.338358,0.159187,0.840813,0.258765,0.0769,86.6,sinusoidal,3821,test
60,4.116787,61.361751,0.266667,0.339929,0.174301,0.825699,0.270486,0.123052,82.383333,sinusoidal,3823,test
60,4.064438,58.232173,0.283333,0.351102,0.169107,0.830893,0.252793,0.0862,82.816667,sinusoidal,3833,test
60,4.063288,58.165266,0.3,0.357646,0.180805,0.819195,0.262898,0.085117,85.25,sinusoidal,3847,test
60,4.29442,73.289724,0.25,0.32279,0.176161,0.823839,0.315147,0.085903,84.05,phasewrap_distance_adapter,3803,test
60,4.252354,70.270637,0.266667,0.331624,0.177414,0.822586,0.308378,0.096693,77.466667,phasewrap_distance_adapter,3821,test
60,4.264487,71.128447,0.266667,0.330802,0.183678,0.816322,0.332525,0.145763,79.183333,phasewrap_distance_adapter,3823,test
60,4.226569,68.481836,0.283333,0.341114,0.185384,0.814616,0.315869,0.137763,82.066667,phasewrap_distance_adapter,3833,test
60,4.214495,67.660013,0.283333,0.343236,0.182757,0.817243,0.321012,0.153134,81.516667,phasewrap_distance_adapter,3847,test
60,4.260341,70.83412,0.316667,0.368376,0.216434,0.783566,0.383504,0.097451,74.866667,phasewrap_multiscale_adapter,3803,test
60,4.290254,72.984973,0.3,0.3572,0.21407,0.78593,0.384697,0.165596,88.483333,phasewrap_multiscale_adapter,3821,test
60,4.255503,70.492264,0.316667,0.363252,0.211297,0.788703,0.371076,0.162949,88.45,phasewrap_multiscale_adapter,3823,test
60,4.284576,72.571755,0.3,0.352602,0.21504,0.78496,0.386532,0.125247,81.716667,phasewrap_multiscale_adapter,3833,test
60,4.335671,76.376178,0.3,0.349193,0.211348,0.788652,0.377278,0.16902,91.466667,phasewrap_multiscale_adapter,3847,test
