row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,task
20,6.813832,910.352401,0.0,0.022966,0.003848,0.996152,0.23475,0.23475,127.55,no_position,3803,passkey_exact
20,5.349712,210.547669,0.05,0.109716,0.01467,0.98533,0.177684,0.17087,75.75,no_position,3803,multi_needle
20,5.613265,274.037504,0.05,0.07704,0.011555,0.988445,0.199833,0.149833,92.65,no_position,3803,aggregation
20,6.769279,870.683805,0.0,0.03431,0.007253,0.992747,0.210659,0.210659,139.5,no_position,3821,passkey_exact
20,5.489035,242.023621,0.0,0.063554,0.010108,0.989892,0.161424,0.161424,90.65,no_position,3821,multi_needle
20,5.646446,283.28298,0.05,0.066147,0.008452,0.991548,0.163529,0.148748,90.1,no_position,3821,aggregation
20,6.595773,731.994245,0.0,0.039616,0.008181,0.991819,0.247369,0.247369,124.3,no_position,3823,passkey_exact
20,5.278796,196.133645,0.0,0.102235,0.016306,0.983694,0.176067,0.176067,70.65,no_position,3823,multi_needle
20,5.852211,348.003088,0.05,0.066682,0.009959,0.990041,0.254569,0.23664,90.5,no_position,3823,aggregation
20,6.651629,774.043865,0.0,0.029321,0.007334,0.992666,0.247844,0.247844,114.7,no_position,3833,passkey_exact
20,5.355485,211.76674,0.0,0.068612,0.011305,0.988695,0.157276,0.157276,71.45,no_position,3833,multi_needle
20,5.649241,284.075773,0.0,0.043584,0.009532,0.990468,0.185538,0.185538,87.05,no_position,3833,aggregation
20,6.714942,824.636316,0.0,0.035585,0.004894,0.995106,0.248876,0.248876,135.5,no_position,3847,passkey_exact
20,5.335671,207.612027,0.1,0.13895,0.016878,0.983122,0.147597,0.110845,80.5,no_position,3847,multi_needle
20,5.444678,231.522624,0.05,0.08065,0.010166,0.989834,0.187815,0.178616,88.6,no_position,3847,aggregation
20,6.612303,744.194718,0.0,0.019382,0.002895,0.997105,0.222605,0.222605,137.5,alibi,3803,passkey_exact
20,5.402732,222.012117,0.05,0.098529,0.014942,0.985058,0.164573,0.153639,86.3,alibi,3803,multi_needle
20,5.801941,330.941166,0.0,0.030415,0.005194,0.994806,0.191978,0.191978,96.35,alibi,3803,aggregation
20,6.634673,761.030176,0.0,0.033795,0.004269,0.995731,0.184421,0.184421,137.0,alibi,3821,passkey_exact
20,5.482399,240.422672,0.05,0.08275,0.009958,0.990042,0.152925,0.133204,71.0,alibi,3821,multi_needle
