row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,split
60,16.084752,9672061.866112,0.016667,0.040847,0.00806,0.99194,0.39965,0.382983,105.566667,no_position,3907,test
60,16.373251,12906619.607114,0.016667,0.043977,0.010523,0.989477,0.418613,0.401946,104.1,no_position,3911,test
60,16.101159,9832056.165819,0.016667,0.043798,0.010473,0.989527,0.354709,0.338042,110.85,no_position,3917,test
60,17.644249,46004457.732499,0.0,0.020878,0.002079,0.997921,0.305661,0.305661,105.583333,no_position,3923,test
60,16.42982,13657787.79589,0.016667,0.040185,0.008152,0.991848,0.348969,0.332302,110.55,no_position,3929,test
60,18.075318,70796380.113537,0.0,0.019733,0.00196,0.99804,0.289042,0.289042,107.816667,alibi,3907,test
60,14.827369,2750707.417666,0.0,0.022939,0.005041,0.994959,0.177776,0.177776,107.25,alibi,3911,test
60,15.678502,6442980.310031,0.016667,0.041287,0.009617,0.990383,0.395374,0.378708,108.366667,alibi,3917,test
60,15.709529,6646020.106883,0.0,0.036016,0.008001,0.991999,0.344126,0.344126,111.116667,alibi,3923,test
60,15.532676,5568721.544719,0.016667,0.041056,0.009708,0.990292,0.441044,0.424377,101.383333,alibi,3929,test
60,16.078944,9616049.384521,0.0,0.030702,0.003599,0.996401,0.529949,0.529949,107.733333,rope_relative,3907,test
60,17.926181,60987600.333748,0.016667,0.040369,0.006975,0.993025,0.490436,0.473769,110.15,rope_relative,3911,test
60,16.072769,9556853.931976,0.016667,0.045029,0.008556,0.991444,0.347728,0.331062,106.583333,rope_relative,3917,test
60,17.14841,28019461.374177,0.016667,0.044087,0.009007,0.990993,0.41647,0.399803,102.716667,rope_relative,3923,test
60,16.559547,15549625.559208,0.0,0.037259,0.008422,0.991578,0.439067,0.439067,104.5,rope_relative,3929,test
60,17.406545,36271582.236891,0.016667,0.033214,0.012104,0.987896,0.612022,0.595355,112.033333,sinusoidal,3907,test
60,16.722178,18295720.949983,0.016667,0.033802,0.010456,0.989544,0.619182,0.602516,115.366667,sinusoidal,3911,test
60,15.91826,8188651.722709,0.0,0.023738,0.002425,0.997575,0.491439,0.491439,117.5,sinusoidal,3917,test
60,16.394801,13187780.357172,0.016667,0.035448,0.014873,0.985127,0.629768,0.613101,113.65,sinusoidal,3923,test
60,16.381589,13014690.813324,0.0,0.016504,0.001996,0.998004,0.506807,0.506807,113.133333,sinusoidal,3929,test
60,14.44032,1867889.555927,0.0,0.022194,0.003401,0.996599,0.477952,0.477952,109.85,phasewrap_distance_adapter,3907,test
60,14.848896,2810564.824965,0.0,0.018453,0.001302,0.998698,0.405296,0.405296,113.15,phasewrap_distance_adapter,3911,test
60,14.911073,2990864.456933,0.0,0.032023,0.004181,0.995819,0.464987,0.464987,110.733333,phasewrap_distance_adapter,3917,test
60,14.340931,1691170.287246,0.0,0.023663,0.003491,0.996509,0.398961,0.398961,110.916667,phasewrap_distance_adapter,3923,test
60,16.203664,10893360.018658,0.0,0.030643,0.006419,0.993581,0.51226,0.51226,109.966667,phasewrap_distance_adapter,3929,test
60,13.432866,682055.18599,0.0,0.02255,0.002602,0.997398,0.388564,0.388564,115.383333,phasewrap_multiscale_adapter,3907,test
60,14.987932,3229804.910798,0.0,0.026639,0.00228,0.99772,0.507396,0.507396,105.733333,phasewrap_multiscale_adapter,3911,test
60,13.755953,942181.068604,0.0,0.021172,0.002515,0.997485,0.377836,0.377836,117.433333,phasewrap_multiscale_adapter,3917,test
60,14.717489,2464474.422903,0.0,0.032805,0.005024,0.994976,0.491244,0.491244,109.533333,phasewrap_multiscale_adapter,3923,test
60,14.908837,2984184.750467,0.016667,0.037534,0.005294,0.994706,0.392333,0.375667,119.6,phasewrap_multiscale_adapter,3929,test
