row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,task
20,18.818492,148856267.853481,0.05,0.059044,0.019399,0.980601,0.388371,0.338371,134.05,no_position,3907,passkey_exact
20,13.691881,883707.373585,0.0,0.03962,0.003211,0.996789,0.407324,0.407324,85.85,no_position,3907,multi_needle
20,15.743883,6878307.580802,0.0,0.023877,0.001569,0.998431,0.403255,0.403255,96.8,no_position,3907,aggregation
20,19.214188,221113757.541532,0.05,0.060068,0.023551,0.976449,0.405169,0.355169,128.15,no_position,3911,passkey_exact
20,14.263183,1564666.761178,0.0,0.043532,0.006341,0.993659,0.417026,0.417026,95.2,no_position,3911,multi_needle
20,15.642381,6214410.097422,0.0,0.02833,0.001678,0.998322,0.433644,0.433644,88.95,no_position,3911,aggregation
20,19.228229,224240326.181377,0.05,0.059301,0.01894,0.98106,0.370943,0.320943,140.5,no_position,3917,passkey_exact
20,14.186373,1448984.356412,0.0,0.045619,0.010564,0.989436,0.332298,0.332298,100.35,no_position,3917,multi_needle
20,14.888874,2925200.501289,0.0,0.026473,0.001914,0.998086,0.360885,0.360885,91.7,no_position,3917,aggregation
20,20.865039,1152314817.981484,0.0,0.014186,0.000792,0.999208,0.323429,0.323429,130.65,no_position,3923,passkey_exact
20,16.891083,21662285.332535,0.0,0.023344,0.002598,0.997402,0.293369,0.293369,90.6,no_position,3923,multi_needle
20,15.176625,3900536.345975,0.0,0.025104,0.002846,0.997154,0.300184,0.300184,95.5,no_position,3923,aggregation
20,19.749875,377799645.070363,0.05,0.059066,0.01415,0.98585,0.363861,0.356418,141.6,no_position,3929,passkey_exact
20,14.43106,1850672.599608,0.0,0.038328,0.008665,0.991335,0.327057,0.327057,93.8,no_position,3929,multi_needle
20,15.108527,3643761.489549,0.0,0.023162,0.00164,0.99836,0.355988,0.355988,96.25,no_position,3929,aggregation
20,20.723781,1000515464.37599,0.0,0.020608,0.003721,0.996279,0.287628,0.287628,134.7,alibi,3907,passkey_exact
20,17.817716,54718706.575067,0.0,0.015023,0.000227,0.999773,0.308697,0.308697,100.35,alibi,3907,multi_needle
20,15.684458,6481470.195959,0.0,0.023569,0.001932,0.998068,0.270802,0.270802,88.4,alibi,3907,aggregation
20,17.386653,35557193.780771,0.0,0.025209,0.00773,0.99227,0.157454,0.157454,126.65,alibi,3911,passkey_exact
20,13.730136,918168.299366,0.0,0.016855,0.001914,0.998086,0.178428,0.178428,106.65,alibi,3911,multi_needle
20,13.365317,637504.746936,0.0,0.026752,0.005478,0.994522,0.197447,0.197447,88.45,alibi,3911,aggregation
20,18.325379,90909886.729565,0.05,0.059286,0.021253,0.978747,0.377409,0.327409,139.45,alibi,3917,passkey_exact
20,13.614553,817947.505943,0.0,0.040401,0.00649,0.99351,0.39478,0.39478,93.15,alibi,3917,multi_needle
20,15.095573,3596862.725271,0.0,0.024173,0.001108,0.998892,0.413934,0.413934,92.5,alibi,3917,aggregation
20,18.69296,131295408.159967,0.0,0.034674,0.009933,0.990067,0.362092,0.362092,139.6,alibi,3923,passkey_exact
20,14.116931,1351776.911504,0.0,0.051914,0.013067,0.986933,0.316561,0.316561,97.15,alibi,3923,multi_needle
20,14.318695,1653980.521158,0.0,0.021459,0.001004,0.998996,0.353725,0.353725,96.6,alibi,3923,aggregation
20,18.221843,81968277.168137,0.05,0.05957,0.024255,0.975745,0.419534,0.369534,128.0,alibi,3929,passkey_exact
