row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,split
60,12.842011,377758.837297,0.0,0.020477,0.00438,0.99562,0.158994,0.158994,116.183333,no_position,4001,test
60,13.483193,717259.848579,0.016667,0.049261,0.009896,0.990104,0.196409,0.179742,120.1,no_position,4003,test
60,10.020089,22473.424394,0.0,0.0261,0.004742,0.995258,0.096811,0.096811,118.083333,no_position,4007,test
60,12.670301,318157.150404,0.0,0.0207,0.00394,0.99606,0.154863,0.154863,119.916667,no_position,4013,test
60,13.217402,549850.797846,0.0,0.019882,0.003165,0.996835,0.16093,0.16093,124.15,no_position,4019,test
60,13.319509,608960.704858,0.016667,0.032572,0.003753,0.996247,0.17979,0.163123,115.383333,alibi,4001,test
60,13.401488,660985.978074,0.0,0.040156,0.009237,0.990763,0.151332,0.151332,119.133333,alibi,4003,test
60,13.174492,526755.84893,0.0,0.040712,0.009426,0.990574,0.211917,0.211917,119.05,alibi,4007,test
60,11.154355,69867.464673,0.0,0.021389,0.0045,0.9955,0.136272,0.136272,116.85,alibi,4013,test
60,13.033364,457423.108799,0.016667,0.042391,0.008143,0.991857,0.199389,0.182723,119.416667,alibi,4019,test
60,16.700321,17900180.664285,0.0,0.026522,0.01103,0.98897,0.471941,0.471941,119.983333,rope_relative,4001,test
60,16.881126,21447660.181472,0.0,0.030472,0.002453,0.997547,0.577068,0.577068,117.566667,rope_relative,4003,test
60,12.443108,253497.1832,0.016667,0.038129,0.006054,0.993946,0.239292,0.222625,118.733333,rope_relative,4007,test
60,13.085516,481911.713765,0.0,0.022017,0.00389,0.99611,0.170344,0.170344,120.716667,rope_relative,4013,test
60,14.852181,2819813.757353,0.016667,0.040227,0.005562,0.994438,0.278639,0.261972,118.283333,rope_relative,4019,test
60,12.762459,348871.438468,0.016667,0.043391,0.00668,0.99332,0.439112,0.422445,114.95,sinusoidal,4001,test
60,14.406385,1805565.898167,0.033333,0.056105,0.012367,0.987633,0.511938,0.478605,105.033333,sinusoidal,4003,test
60,14.608516,2210029.59866,0.033333,0.06744,0.024355,0.975645,0.643007,0.609673,113.883333,sinusoidal,4007,test
60,12.572829,288609.325198,0.016667,0.057599,0.017988,0.982012,0.574755,0.558088,105.883333,sinusoidal,4013,test
60,16.241689,11315557.03927,0.0,0.045687,0.011063,0.988937,0.583461,0.583461,115.666667,sinusoidal,4019,test
60,12.905693,402597.85463,0.05,0.076908,0.034598,0.965402,0.51092,0.467191,115.25,phasewrap_distance_adapter,4001,test
60,12.115752,182727.666212,0.05,0.075999,0.029794,0.970206,0.427455,0.377455,109.65,phasewrap_distance_adapter,4003,test
60,12.274017,214061.057275,0.0,0.045335,0.009364,0.990636,0.377418,0.377418,118.583333,phasewrap_distance_adapter,4007,test
60,11.92884,151575.593169,0.016667,0.048192,0.008928,0.991072,0.336093,0.319426,110.45,phasewrap_distance_adapter,4013,test
60,12.079186,176166.645887,0.033333,0.05823,0.020091,0.979909,0.431208,0.397874,116.9,phasewrap_distance_adapter,4019,test
60,11.611194,110325.877849,0.016667,0.042359,0.01268,0.98732,0.333126,0.316459,115.783333,phasewrap_multiscale_adapter,4001,test
60,11.998229,162466.779426,0.016667,0.059131,0.013724,0.986276,0.362456,0.345789,113.566667,phasewrap_multiscale_adapter,4003,test
60,11.637663,113285.164396,0.016667,0.048991,0.01377,0.98623,0.442977,0.42631,114.766667,phasewrap_multiscale_adapter,4007,test
60,10.93064,55862.019662,0.033333,0.07062,0.027223,0.972777,0.366792,0.335621,109.566667,phasewrap_multiscale_adapter,4013,test
60,12.330838,226576.567512,0.033333,0.070866,0.030903,0.969097,0.384581,0.355104,109.683333,phasewrap_multiscale_adapter,4019,test
